ZIPCODE,AREA,SHAPE_ar_1,ParkInZipA,Error
10470,21543461.58,6288012.279,497957,5790055
10470,21543461.58,820.6002888,820.5999756,0
10470,21543461.58,46907819.86,5838850,41068970
10466,55262490.61,101979.1661,101979,0
10466,55262490.61,115297.9577,115298,0
10466,55262490.61,1525005.148,1525010,-5
10466,55262490.61,53897.85323,53897.89844,0
10466,55262490.61,6288012.279,217877,6070135
10466,55262490.61,27571.06947,27571.09961,0
10466,55262490.61,25001.00482,25001,0
10466,55262490.61,48867.08588,48867.10156,0
10467,69336166.37,32946.84492,32946.80078,0
10467,69336166.37,43689.91813,43689.89844,0
10467,69336166.37,1098.119886,1098.119995,0
10467,69336166.37,2911325.779,366929,2544397
10467,69336166.37,39186.21677,39186.19922,0
10467,69336166.37,52541.77748,52541.80078,0
10467,69336166.37,56435.39912,56435.39844,0
10467,69336166.37,29547.07426,29547.09961,0
10467,69336166.37,17268.24189,17268.19922,0
10467,69336166.37,6288012.279,3544690,2743322
10467,69336166.37,20465.71314,20465.69922,0
10467,69336166.37,36543.1678,53.7461014,36489
10467,69336166.37,14153.42948,14153.40039,0
10467,69336166.37,20153.22328,20153.19922,0
10467,69336166.37,822557.277,822557,0
10467,69336166.37,2441282.411,1554870,886412
10467,69336166.37,29159312.98,3499020,25660293
10467,69336166.37,30391.86383,30391.90039,0
10463,36703381.51,4309091.044,816959,3492132
10463,36703381.51,29713.45818,29713.5,0
10463,36703381.51,18303.90522,18303.90039,0
10463,36703381.51,9158.374649,9158.379883,0
10463,36703381.51,4996.558258,4996.560059,0
10463,36703381.51,56443.80181,56443.80078,0
10463,36703381.51,14297.69174,14297.7002,0
10463,36703381.51,13249.56756,13249.59961,0
10463,36703381.51,141342.493,141343,-1
10463,36703381.51,4279.726399,4279.729981,0
10463,36703381.51,14824.98242,14825,0
10463,36703381.51,825379.8906,66165.89844,759214
10463,36703381.51,79655.68346,49725.60156,29930
10463,36703381.51,118819.1109,49403.10156,69416
10463,36703381.51,14610.42927,14610.40039,0
10463,36703381.51,121101.8095,121102,0
10463,36703381.51,379630.597,379631,0
10463,36703381.51,291794.3245,291794,0
10463,36703381.51,343357.2138,343357,0
10463,36703381.51,91484.06987,73430.20313,18054
10463,36703381.51,5333.197959,5333.200195,0
10463,36703381.51,67607.59201,67607.60156,0
