"zip","name","empflag","emp","qp1","ap","est"
"10001","NEW YORK, NY",,120608,1316123,5436960,7084
"10002","NEW YORK, NY",,16541,86347,354262,2402
"10003","NEW YORK, NY",,64242,754648,3066132,3704
"10004","NEW YORK, NY",,48300,2237112,5840226,1252
"10005","NEW YORK, NY",,40693,1493776,4202725,1200
"10006","NEW YORK, NY",,18398,498489,1738298,862
"10007","NEW YORK, NY",,22156,348320,1202889,1603
"10009","NEW YORK, NY",,7087,54894,260364,953
"10010","NEW YORK, NY",,78793,1702393,4772587,3045
"10011","NEW YORK, NY",,51283,568791,2406460,3711
"10012","NEW YORK, NY",,43637,404871,1747452,2818
"10013","NEW YORK, NY",,59417,2277023,4670600,4870
"10014","NEW YORK, NY",,30296,489782,1772654,2297
"10016","NEW YORK, NY",,107358,1479625,5917315,6018
"10017","NEW YORK, NY",,152628,5410830,15903843,5275
"10018","NEW YORK, NY",,96692,1258916,5271561,6255
"10019","NEW YORK, NY",,165421,5787340,16016399,4935
"10020","NEW YORK, NY",,60344,1660416,4804557,747
"10021","NEW YORK, NY",,83911,1208745,4543467,5530
"10022","NEW YORK, NY",,133066,3773280,13257086,6574
"10023","NEW YORK, NY",,40254,456131,1845585,2259
"10024","NEW YORK, NY",,21981,152394,652461,2001
"10025","NEW YORK, NY",,20088,160046,675809,1896
"10026","NEW YORK, NY",,1557,7282,32245,258
"10027","NEW YORK, NY",,15614,98563,416941,835
"10028","NEW YORK, NY",,18565,149989,652973,1963
"10029","NEW YORK, NY",,24262,298860,1185473,780
"10030","NEW YORK, NY",,1526,7693,31875,213
"10031","NEW YORK, NY",,3554,19921,85394,570
"10032","NEW YORK, NY",,14408,149560,675382,713
"10033","NEW YORK, NY",,6541,43696,178186,933
"10034","NEW YORK, NY",,4021,32302,115797,546
"10035","NEW YORK, NY",,9765,75744,317953,477
"10036","NEW YORK, NY",,141633,2717324,9409248,6278
"10037","NEW YORK, NY",,4040,38988,151524,166
