"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"10001","NEW YORK, NY",,"G",136948,"G",1802798,"G",7631215,7227,"NEW YORK","NY","NEW YORK"
"10002","NEW YORK, NY",,"G",20325,"G",133045,"G",571111,2912,"NEW YORK","NY","NEW YORK"
"10003","NEW YORK, NY",,"G",77201,"G",1225469,"G",4998605,4159,"NEW YORK","NY","NEW YORK"
"10004","NEW YORK, NY",,"G",49261,"H",6229168,"H",10920387,1404,"NEW YORK","NY","NEW YORK"
"10005","NEW YORK, NY",,"G",40616,"G",2517469,"G",6083466,1301,"NEW YORK","NY","NEW YORK"
"10006","NEW YORK, NY",,"G",18355,"G",549638,"G",1944629,834,"NEW YORK","NY","NEW YORK"
"10007","NEW YORK, NY",,"G",25590,"G",632199,"G",1975437,1368,"NEW YORK","NY","NEW YORK"
"10009","NEW YORK, NY",,"G",9140,"H",84169,"H",381451,1128,"NEW YORK","NY","NEW YORK"
"10010","NEW YORK, NY",,"G",68840,"H",2548599,"H",7866656,3022,"NEW YORK","NY","NEW YORK"
"10011","NEW YORK, NY",,"G",60214,"G",1001225,"G",3977207,3869,"NEW YORK","NY","NEW YORK"
"10012","NEW YORK, NY",,"H",51848,"G",632004,"G",2819738,2935,"NEW YORK","NY","NEW YORK"
"10013","NEW YORK, NY",,"G",71714,"H",2598853,"H",6443113,5229,"NEW YORK","NY","NEW YORK"
"10014","NEW YORK, NY",,"G",35892,"G",522395,"G",2226919,2299,"NEW YORK","NY","NEW YORK"
"10016","NEW YORK, NY",,"G",101311,"G",1919236,"G",7751566,5772,"NEW YORK","NY","NEW YORK"
"10017","NEW YORK, NY",,"G",130632,"G",7345052,"G",19009055,5052,"NEW YORK","NY","NEW YORK"
"10018","NEW YORK, NY",,"G",116004,"G",2330710,"G",8819882,6449,"NEW YORK","NY","NEW YORK"
"10019","NEW YORK, NY",,"G",138789,"H",5957464,"G",16960087,4854,"NEW YORK","NY","NEW YORK"
"10020","NEW YORK, NY",,"G",31623,"G",2105472,"G",5404976,733,"NEW YORK","NY","NEW YORK"
"10021","NEW YORK, NY",,"G",66725,"G",1158033,"G",4793993,3622,"NEW YORK","NY","NEW YORK"
"10022","NEW YORK, NY",,"G",124710,"G",6214294,"G",19063340,6529,"NEW YORK","NY","NEW YORK"
"10023","NEW YORK, NY",,"G",40722,"G",656260,"G",2438982,2265,"NEW YORK","NY","NEW YORK"
"10024","NEW YORK, NY",,"G",19211,"G",172047,"G",762354,1961,"NEW YORK","NY","NEW YORK"
"10025","NEW YORK, NY",,"G",21328,"H",224203,"H",955558,2040,"NEW YORK","NY","NEW YORK"
"10026","NEW YORK, NY",,"G",2871,"G",18844,"G",86750,421,"NEW YORK","NY","NEW YORK"
"10027","NEW YORK, NY",,"G",39903,"G",485666,"G",1981776,966,"NEW YORK","NY","NEW YORK"
"10028","NEW YORK, NY",,"G",21325,"H",244245,"H",1137894,1959,"NEW YORK","NY","NEW YORK"
"10029","NEW YORK, NY",,"G",26452,"G",371616,"G",1598544,1009,"NEW YORK","NY","NEW YORK"
"10030","NEW YORK, NY",,"H",2221,"G",14352,"G",64090,252,"NEW YORK","NY","NEW YORK"
"10031","NEW YORK, NY",,"G",4195,"G",29606,"G",124763,670,"NEW YORK","NY","NEW YORK"
"10032","NEW YORK, NY",,"G",14907,"G",262149,"G",1052466,764,"NEW YORK","NY","NEW YORK"
"10033","NEW YORK, NY",,"G",6864,"G",55976,"G",248270,1002,"NEW YORK","NY","NEW YORK"
"10034","NEW YORK, NY",,"G",3617,"G",23094,"G",98609,588,"NEW YORK","NY","NEW YORK"
"10035","NEW YORK, NY",,"G",12638,"G",101929,"G",432020,608,"NEW YORK","NY","NEW YORK"
"10036","NEW YORK, NY",,"G",142385,"G",6739737,"G",17634088,6043,"NEW YORK","NY","NEW YORK"
"10037","NEW YORK, NY",,"G",4195,"G",44495,"G",194101,214,"NEW YORK","NY","NEW YORK"
"10038","NEW YORK, NY",,"G",40205,"G",911901,"G",3078413,1991,"NEW YORK","NY","NEW YORK"
"10039","NEW YORK, NY",,"G",1342,"G",8860,"G",37113,189,"NEW YORK","NY","NEW YORK"
"10040","NEW YORK, NY",,"G",3506,"G",26948,"G",118308,538,"NEW YORK","NY","NEW YORK"
"10044","NEW YORK, NY",,"G",2227,"G",28376,"G",125201,105,"NEW YORK","NY","NEW YORK"
"10065","NEW YORK, NY",,"G",19692,"G",344138,"G",1433852,1242,"NEW YORK","NY","NEW YORK"
"10069","NEW YORK, NY",,"H",563,"H",6761,"H",25364,84,"NEW YORK","NY","NEW YORK"
"10075","NEW YORK, NY",,"G",4858,"G",64506,"G",315346,703,"NEW YORK","NY","NEW YORK"
"10103","NEW YORK, NY",,"G",3938,"H",349510,"G",761088,88,"NEW YORK","NY","NEW YORK"
"10110","NEW YORK, NY",,"G",1719,"G",40178,"G",200918,158,"NEW YORK","NY","NEW YORK"
"10111","NEW YORK, NY",,"G",3251,"G",164456,"G",701555,163,"NEW YORK","NY","NEW YORK"
"10112","NEW YORK, NY","I","S",0,"H",232699,"H",876189,121,"NEW YORK","NY","NEW YORK"
"10115","NEW YORK, NY","G","S",0,"H",25230,"H",102073,65,"NEW YORK","NY","NEW YORK"
"10119","NEW YORK, NY",,"G",8138,"G",233155,"G",883806,303,"NEW YORK","NY","NEW YORK"
"10128","NEW YORK, NY",,"G",16227,"G",156047,"G",670520,1699,"NEW YORK","NY","NEW YORK"
"10152","NEW YORK, NY",,"G",1601,"G",262592,"G",553027,77,"NEW YORK","NY","NEW YORK"
"10153","NEW YORK, NY",,"G",6498,"G",366313,"G",1310819,120,"NEW YORK","NY","NEW YORK"
"10154","NEW YORK, NY","H","D",0,"D",0,"D",0,56,"NEW YORK","NY","NEW YORK"
"10162","NEW YORK, NY",,"G",161,"G",1184,"G",4843,15,"NEW YORK","NY","NEW YORK"
"10165","NEW YORK, NY",,"G",3856,"G",78411,"G",309712,393,"NEW YORK","NY","NEW YORK"
"10167","NEW YORK, NY",,"G",3676,"G",392194,"G",855186,133,"NEW YORK","NY","NEW YORK"
"10168","NEW YORK, NY",,"G",3533,"G",64642,"G",238929,179,"NEW YORK","NY","NEW YORK"
"10169","NEW YORK, NY",,"G",4268,"G",165890,"G",537599,192,"NEW YORK","NY","NEW YORK"
"10170","NEW YORK, NY",,"G",5835,"G",130016,"G",520148,305,"NEW YORK","NY","NEW YORK"
"10171","NEW YORK, NY",,"H",2083,"H",371654,"H",638620,55,"NEW YORK","NY","NEW YORK"
"10172","NEW YORK, NY",,"H",4237,"H",370067,"H",988677,61,"NEW YORK","NY","NEW YORK"
"10173","NEW YORK, NY",,"G",1295,"G",64041,"G",196316,57,"NEW YORK","NY","NEW YORK"
"10174","NEW YORK, NY",,"H",3730,"G",88645,"H",346601,128,"NEW YORK","NY","NEW YORK"
"10177","NEW YORK, NY","G","S",0,"H",72333,"H",255927,50,"NEW YORK","NY","NEW YORK"
"10199","NEW YORK, NY",,"G",29,"H",377,"G",1601,13,"NEW YORK","NY","NEW YORK"
"10271","NEW YORK, NY",,"G",3143,"G",86538,"G",358449,84,"NEW YORK","NY","NEW YORK"
"10278","NEW YORK, NY",,"G",341,"G",4433,"G",19567,11,"NEW YORK","NY","NEW YORK"
"10279","NEW YORK, NY",,"H",1161,"H",49369,"G",159783,120,"NEW YORK","NY","NEW YORK"
"10280","NEW YORK, NY",,"H",1247,"G",13576,"G",54808,185,"NEW YORK","NY","NEW YORK"
"10282","NEW YORK, NY",,"G",1867,"G",46180,"G",133010,176,"NEW YORK","NY","NEW YORK"
"10301","STATEN ISLAND, NY",,"G",7660,"G",55682,"G",229659,671,"STATEN ISLAND","NY","RICHMOND"
"10302","STATEN ISLAND, NY",,"H",4659,"H",48284,"H",204082,406,"STATEN ISLAND","NY","RICHMOND"
"10303","STATEN ISLAND, NY",,"G",6502,"G",72202,"G",305366,411,"STATEN ISLAND","NY","RICHMOND"
"10304","STATEN ISLAND, NY",,"G",5336,"G",44599,"G",199011,645,"STATEN ISLAND","NY","RICHMOND"
"10305","STATEN ISLAND, NY",,"H",13355,"H",167867,"H",703987,835,"STATEN ISLAND","NY","RICHMOND"
"10306","STATEN ISLAND, NY",,"G",10753,"G",69049,"G",300989,1079,"STATEN ISLAND","NY","RICHMOND"
"10307","STATEN ISLAND, NY",,"G",1458,"G",11273,"G",52571,264,"STATEN ISLAND","NY","RICHMOND"
"10308","STATEN ISLAND, NY",,"G",1914,"G",12063,"G",54287,406,"STATEN ISLAND","NY","RICHMOND"
"10309","STATEN ISLAND, NY",,"G",8328,"G",70509,"G",308540,699,"STATEN ISLAND","NY","RICHMOND"
"10310","STATEN ISLAND, NY",,"G",6630,"G",70168,"G",286206,470,"STATEN ISLAND","NY","RICHMOND"
"10311","STATEN ISLAND, NY",,"G",210,"G",3776,"G",13593,17,"STATEN ISLAND","NY","RICHMOND"
"10312","STATEN ISLAND, NY",,"G",5262,"G",33163,"G",161643,860,"STATEN ISLAND","NY","RICHMOND"
"10314","STATEN ISLAND, NY",,"G",19182,"G",146692,"G",647034,1807,"STATEN ISLAND","NY","RICHMOND"
"10451","BRONX, NY",,"G",17905,"G",223455,"G",1101432,827,"BRONX","NY","BRONX"
"10452","BRONX, NY",,"G",5847,"G",35747,"G",169351,708,"BRONX","NY","BRONX"
"10453","BRONX, NY",,"H",4580,"H",33946,"H",144918,637,"BRONX","NY","BRONX"
"10454","BRONX, NY",,"G",7116,"G",66999,"G",297081,555,"BRONX","NY","BRONX"
"10455","BRONX, NY",,"G",7728,"G",53987,"G",228079,660,"BRONX","NY","BRONX"
"10456","BRONX, NY",,"H",7303,"H",71294,"H",297461,590,"BRONX","NY","BRONX"
"10457","BRONX, NY",,"H",10951,"H",130710,"H",557751,774,"BRONX","NY","BRONX"
"10458","BRONX, NY",,"H",13054,"G",88129,"G",384296,1028,"BRONX","NY","BRONX"
"10459","BRONX, NY",,"G",4249,"G",28851,"G",117931,557,"BRONX","NY","BRONX"
"10460","BRONX, NY",,"G",7116,"G",59995,"G",245037,516,"BRONX","NY","BRONX"
"10461","BRONX, NY",,"G",19833,"G",225965,"G",929395,1205,"BRONX","NY","BRONX"
"10462","BRONX, NY",,"G",12336,"G",114551,"G",484489,1028,"BRONX","NY","BRONX"
"10463","BRONX, NY",,"G",9984,"G",76043,"G",330617,1038,"BRONX","NY","BRONX"
"10464","BRONX, NY",,"G",1162,"G",6430,"G",34287,139,"BRONX","NY","BRONX"
"10465","BRONX, NY",,"G",8892,"G",107179,"G",454183,490,"BRONX","NY","BRONX"
"10466","BRONX, NY",,"G",5787,"G",44263,"G",187867,603,"BRONX","NY","BRONX"
"10467","BRONX, NY",,"G",26874,"G",365169,"G",1521589,1047,"BRONX","NY","BRONX"
"10468","BRONX, NY",,"H",7621,"H",59541,"H",257963,791,"BRONX","NY","BRONX"
"10469","BRONX, NY",,"G",7833,"G",63394,"G",265897,629,"BRONX","NY","BRONX"
"10470","BRONX, NY",,"G",2367,"G",21707,"G",87657,283,"BRONX","NY","BRONX"
"10471","BRONX, NY",,"H",7989,"G",74451,"G",311372,416,"BRONX","NY","BRONX"
"10472","BRONX, NY",,"G",4476,"G",32914,"G",129698,517,"BRONX","NY","BRONX"
