"ZIP","NAME","EMPFLAG","EMP","QP1","AP","EST"
"10001","NEW YORK, NY",,116371,1104623,4329205,7254
"10002","NEW YORK, NY",,16021,76487,330532,2003
"10003","NEW YORK, NY",,59751,598594,2615430,3649
"10004","NEW YORK, NY",,46960,1320309,4612406,1176
"10005","NEW YORK, NY",,39375,1111136,3639979,1270
"10006","NEW YORK, NY",,25578,687267,2390201,1030
"10007","NEW YORK, NY",,22320,264326,1073531,1282
"10009","NEW YORK, NY",,6345,41477,159018,786
"10010","NEW YORK, NY",,79338,934390,3528155,3152
"10011","NEW YORK, NY",,56082,448085,2003879,3599
"10012","NEW YORK, NY",,38441,268675,1246470,2761
"10013","NEW YORK, NY","L",0,0,0,5631
"10014","NEW YORK, NY",,33449,349487,1394322,2128
"10016","NEW YORK, NY",,103979,1126557,4795053,5968
"10017","NEW YORK, NY",,157039,3044326,10867876,5596
"10018","NEW YORK, NY",,97335,1030194,4220515,6283
"10019","NEW YORK, NY",,138915,3152209,10154358,5213
"10020","NEW YORK, NY",,37736,2365441,5212315,691
"10021","NEW YORK, NY",,75701,837683,3512177,5497
"10022","NEW YORK, NY",,134990,3138805,11150583,6962
"10023","NEW YORK, NY",,38159,388814,1566552,2175
"10024","NEW YORK, NY",,16985,102154,456996,1927
"10025","NEW YORK, NY",,35154,275999,1204275,1758
"10026","NEW YORK, NY",,822,3445,15166,162
"10027","NEW YORK, NY",,13445,71620,305757,698
"10028","NEW YORK, NY",,16185,112633,502697,1917
"10029","NEW YORK, NY",,22213,244004,1007228,671
"10030","NEW YORK, NY",,1174,5142,22358,174
"10031","NEW YORK, NY",,3436,17094,73732,487
"10032","NEW YORK, NY",,13216,127814,529664,626
"10033","NEW YORK, NY",,5706,28160,120151,864
"10034","NEW YORK, NY",,3745,27501,110704,501
"10035","NEW YORK, NY",,7356,56094,241265,385
"10036","NEW YORK, NY","M",0,0,0,6126
"10037","NEW YORK, NY",,5410,34662,150787,136
"10038","NEW YORK, NY",,38543,580784,2077413,2087
"10039","NEW YORK, NY",,721,3329,15263,109
"10040","NEW YORK, NY",,3242,19235,80366,481
"10044","NEW YORK, NY",,3012,26357,135345,59
"10069","NEW YORK, NY","B",0,0,0,6
"10103","NEW YORK, NY",,5248,83697,347122,156
"10110","NEW YORK, NY",,3132,42445,193268,198
"10111","NEW YORK, NY",,2427,72785,321345,218
"10112","NEW YORK, NY",,5806,194074,769258,89
"10115","NEW YORK, NY",,1866,18278,77701,62
"10119","NEW YORK, NY",,5322,77322,319737,235
"10128","NEW YORK, NY",,13208,101032,467015,1568
"10152","NEW YORK, NY",,909,69290,237330,125
"10153","NEW YORK, NY",,3591,214605,674415,127
"10154","NEW YORK, NY",,4828,160702,538743,50
"10162","NEW YORK, NY",,108,770,1719,22
"10165","NEW YORK, NY",,4089,45317,207962,542
"10167","NEW YORK, NY",,7541,175136,1667654,59
"10168","NEW YORK, NY",,2038,34042,125438,177
"10169","NEW YORK, NY",,2904,114872,399360,266
"10170","NEW YORK, NY",,6904,60290,262867,325
"10171","NEW YORK, NY",,1432,76448,304869,19
"10172","NEW YORK, NY",,9986,1143639,1996365,90
"10173","NEW YORK, NY",,1560,17807,79468,163
"10174","NEW YORK, NY",,1284,22147,76713,105
"10177","NEW YORK, NY",,1420,32131,130285,35
"10199","NEW YORK, NY",,62,277,931,6
"10271","NEW YORK, NY",,4492,95565,409754,115
"10278","NEW YORK, NY",,42,220,1062,6
"10279","NEW YORK, NY",,2407,40216,165975,116
"10280","NEW YORK, NY",,914,7346,36176,149
"10282","NEW YORK, NY",,970,11727,59048,76
"10301","STATEN ISLAND, NY",,7091,38640,173292,574
"10302","STATEN ISLAND, NY",,4203,23437,101506,377
"10303","STATEN ISLAND, NY",,4856,30081,137114,306
"10304","STATEN ISLAND, NY",,5918,37302,165244,544
"10305","STATEN ISLAND, NY",,10936,95791,416238,664
"10306","STATEN ISLAND, NY",,8086,36790,168794,916
"10307","STATEN ISLAND, NY",,806,3709,18558,182
"10308","STATEN ISLAND, NY",,1609,7649,34752,348
"10309","STATEN ISLAND, NY",,4793,31912,140068,468
"10310","STATEN ISLAND, NY",,6942,52004,230616,420
"10311","STATEN ISLAND, NY",,1475,16647,53985,16
"10312","STATEN ISLAND, NY",,4542,21937,99468,706
"10314","STATEN ISLAND, NY",,18413,102585,446324,1543
"10451","BRONX, NY",,14729,89648,458800,695
"10452","BRONX, NY",,3917,23247,99632,508
"10453","BRONX, NY",,3743,19718,87761,499
"10454","BRONX, NY",,7383,48851,232504,486
"10455","BRONX, NY",,5837,30365,135421,529
"10456","BRONX, NY",,5873,43760,190540,414
"10457","BRONX, NY",,10460,88752,380775,625
"10458","BRONX, NY",,11210,59972,252325,1014
"10459","BRONX, NY",,4248,19914,87697,465
"10460","BRONX, NY",,5473,27181,124921,389
"10461","BRONX, NY",,16552,126938,555674,1095
"10462","BRONX, NY",,12063,78061,338918,968
"10463","BRONX, NY",,7599,44417,198413,974
"10464","BRONX, NY",,1200,6096,31087,145
"10465","BRONX, NY",,8648,52932,232864,418
"10466","BRONX, NY",,8119,56230,248865,570
"10467","BRONX, NY",,20273,189277,790607,947
"10468","BRONX, NY",,6271,35333,151996,664
"10469","BRONX, NY",,6955,41696,186649,562
"10470","BRONX, NY",,2186,15159,63296,295
"10471","BRONX, NY",,5975,35516,155878,370
"10472","BRONX, NY",,2879,15479,66552,437
"10473","BRONX, NY",,6132,41910,183482,318
"10474","BRONX, NY",,9631,78417,362626,544
"10475","BRONX, NY",,6216,35480,149505,266
"11001","FLORAL PARK, NY",,4340,31659,141782,644
"11003","ELMONT, NY",,6824,36485,182409,666
"11004","GLEN OAKS, NY",,2308,15582,72589,194
"11005","FLORAL PARK, NY",,254,1837,7989,32
"11040","NEW HYDE PARK, NY",,22076,188713,810058,1344
"11101","LONG ISLAND CITY, NY",,57039,442442,1999256,2553
"11102","ASTORIA, NY",,5134,31849,154555,591
"11103","ASTORIA, NY",,6667,33350,148853,933
"11104","SUNNYSIDE, NY",,3683,19627,90835,460
"11105","ASTORIA, NY",,8474,73346,318041,755
"11106","ASTORIA, NY",,7689,53935,267278,865
"11109","LONG ISLAND CITY, NY",,8,59,701,4
"11201","BROOKLYN, NY",,42898,370240,1533113,2116
"11203","BROOKLYN, NY",,15468,162885,574932,668
"11204","BROOKLYN, NY",,8375,39509,176446,1444
"11205","BROOKLYN, NY",,9763,52432,235516,690
"11206","BROOKLYN, NY",,17693,130506,551619,775
"11207","BROOKLYN, NY",,10248,60430,251182,718
"11208","BROOKLYN, NY",,7215,44335,193972,595
"11209","BROOKLYN, NY",,12932,91550,388008,1681
"11210","BROOKLYN, NY",,6267,29586,132918,815
"11211","BROOKLYN, NY",,21881,119558,530573,1865
"11212","BROOKLYN, NY",,10895,79868,334713,519
"11213","BROOKLYN, NY",,4298,34696,144293,476
"11214","BROOKLYN, NY",,8521,46829,199727,1210
"11215","BROOKLYN, NY",,14365,99209,434149,1371
"11216","BROOKLYN, NY",,3465,16672,70623,482
"11217","BROOKLYN, NY",,8151,52389,226405,748
"11218","BROOKLYN, NY",,9499,45565,209737,1118
"11219","BROOKLYN, NY",,16106,115362,537997,1928
"11220","BROOKLYN, NY",,16699,104454,455923,1374
"11221","BROOKLYN, NY",,3055,16394,73123,379
"11222","BROOKLYN, NY",,15567,106239,489745,1138
"11223","BROOKLYN, NY",,8994,50614,223338,1416
"11224","BROOKLYN, NY",,5099,34929,149817,455
"11225","BROOKLYN, NY",,3006,15570,69267,416
"11226","BROOKLYN, NY",,7759,35946,152594,942
"11228","BROOKLYN, NY",,4948,29690,127378,656
"11229","BROOKLYN, NY",,9113,46242,202935,1528
"11230","BROOKLYN, NY",,13103,63235,280433,1605
"11231","BROOKLYN, NY",,8485,53936,238131,706
"11232","BROOKLYN, NY",,16360,84733,386047,1017
"11233","BROOKLYN, NY",,3057,18643,77650,266
"11234","BROOKLYN, NY",,15060,83836,379387,1557
"11235","BROOKLYN, NY",,13906,86054,377231,1729
"11236","BROOKLYN, NY",,9714,63729,274184,905
"11237","BROOKLYN, NY",,11795,76360,328287,714
"11238","BROOKLYN, NY",,7385,55483,231913,549
"11239","BROOKLYN, NY",,1405,8065,32759,52
"11351","FLUSHING, NY",,33,99,403,5
"11354","FLUSHING, NY",,18404,137229,571631,1803
"11355","FLUSHING, NY",,12333,91686,404726,1197
"11356","COLLEGE POINT, NY",,8035,62136,290570,524
"11357","WHITESTONE, NY",,6387,48016,207942,786
"11358","FLUSHING, NY",,4054,22839,99041,839
"11359","BAYSIDE, NY","C",0,0,0,3
"11360","BAYSIDE, NY",,2788,14689,67800,341
"11361","BAYSIDE, NY",,6694,38554,170800,851
"11362","LITTLE NECK, NY",,4065,28379,116260,360
"11363","LITTLE NECK, NY",,1255,11032,44643,183
"11364","OAKLAND GARDENS, NY",,2452,11696,54421,474
"11365","FRESH MEADOWS, NY",,4925,31314,141245,509
"11366","FRESH MEADOWS, NY",,2510,16953,72718,363
"11367","FLUSHING, NY",,3983,17257,76399,495
"11368","CORONA, NY",,9402,57452,303310,934
"11369","EAST ELMHURST, NY",,3197,17069,74828,194
"11370","EAST ELMHURST, NY",,3144,25823,109034,211
"11371","FLUSHING, NY",,11064,140896,547149,72
"11372","JACKSON HEIGHTS, NY",,6257,31244,138720,1351
"11373","ELMHURST, NY",,14327,93649,427796,1248
"11374","REGO PARK, NY",,7696,44826,192897,869
"11375","FOREST HILLS, NY",,16339,107097,460801,1949
"11377","WOODSIDE, NY",,14237,94239,430583,1363
"11378","MASPETH, NY",,20110,157091,691641,915
"11379","MIDDLE VILLAGE, NY",,4001,21978,99193,425
"11385","RIDGEWOOD, NY",,16852,95075,437296,1475
"11411","CAMBRIA HEIGHTS, NY",,731,3633,14584,110
"11412","SAINT ALBANS, NY",,1069,4951,22653,188
"11413","SPRINGFIELD GARDENS, NY",,4859,33348,144166,350
"11414","HOWARD BEACH, NY",,2647,11715,51873,430
"11415","KEW GARDENS, NY",,3657,20329,87731,376
"11416","OZONE PARK, NY",,4212,22367,95779,351
"11417","OZONE PARK, NY",,4020,21432,82221,355
"11418","RICHMOND HILL, NY",,8145,63696,289775,577
"11419","SOUTH RICHMOND HILL, NY",,2549,12367,56854,507
"11420","SOUTH OZONE PARK, NY",,1662,8905,40107,233
"11421","WOODHAVEN, NY",,2377,10233,44290,365
"11422","ROSEDALE, NY",,2283,13151,55801,277
"11423","HOLLIS, NY",,2478,15834,70349,305
"11424","JAMAICA, NY",,37,204,844,5
"11425","JAMAICA, NY","A",0,0,0,2
"11426","BELLEROSE, NY",,2430,13097,51171,203
"11427","QUEENS VILLAGE, NY",,2601,20350,85382,192
"11428","QUEENS VILLAGE, NY",,1589,8601,38322,244
"11429","QUEENS VILLAGE, NY",,1556,7352,33164,164
"11430","JAMAICA, NY",,36729,305970,1269389,320
"11432","JAMAICA, NY",,19367,137460,562345,1092
"11433","JAMAICA, NY",,4763,35566,155803,269
"11434","JAMAICA, NY",,10688,78254,330884,800
"11435","JAMAICA, NY",,6520,33647,154185,634
"11436","JAMAICA, NY",,904,2730,12233,51
"11451","JAMAICA, NY",,52,155,720,3
"11581","VALLEY STREAM, NY",,7560,38852,176658,697
"11691","FAR ROCKAWAY, NY",,9280,63740,281505,387
"11692","ARVERNE, NY",,1731,11406,53983,69
"11693","FAR ROCKAWAY, NY",,975,5068,23861,79
"11694","ROCKAWAY PARK, NY",,1872,9973,44792,291
"11697","BREEZY POINT, NY",,305,1281,7086,38
