"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"10465","BRONX, NY",,"G",9028,"G",100704,"G",436576,496,"BRONX","NY","BRONX"
"10466","BRONX, NY",,"G",5725,"G",42492,"G",184459,612,"BRONX","NY","BRONX"
"10467","BRONX, NY",,"G",26519,"G",339079,"G",1506814,1050,"BRONX","NY","BRONX"
"10468","BRONX, NY",,"H",8013,"H",56850,"H",252228,777,"BRONX","NY","BRONX"
"10469","BRONX, NY",,"G",8087,"G",63200,"G",271550,627,"BRONX","NY","BRONX"
"10470","BRONX, NY",,"G",2538,"G",24131,"G",98685,287,"BRONX","NY","BRONX"
"10471","BRONX, NY",,"H",8378,"G",69613,"G",302691,398,"BRONX","NY","BRONX"
"10472","BRONX, NY",,"G",4377,"G",31229,"G",138065,506,"BRONX","NY","BRONX"
"10473","BRONX, NY",,"G",5665,"G",46597,"G",204696,334,"BRONX","NY","BRONX"
"10474","BRONX, NY",,"G",11911,"G",137966,"G",643619,663,"BRONX","NY","BRONX"
"10475","BRONX, NY",,"G",8690,"G",65023,"G",282521,354,"BRONX","NY","BRONX"
"11001","FLORAL PARK, NY",,"G",4979,"G",37921,"G",170539,690,"FLORAL PARK","NY","NASSAU"
"11003","ELMONT, NY",,"H",6511,"H",51321,"H",226067,633,"ELMONT","NY","NASSAU"
"11004","GLEN OAKS, NY",,"H",2662,"H",27391,"H",112122,229,"GLEN OAKS","NY","QUEENS"
"11005","FLORAL PARK, NY",,"G",323,"G",3325,"G",13378,34,"FLORAL PARK","NY","QUEENS"
"11040","NEW HYDE PARK, NY",,"H",21724,"H",275537,"H",1203113,1494,"NEW HYDE PARK","NY","NASSAU"
"11101","LONG ISLAND CITY, NY",,"G",57472,"G",787094,"G",3241581,2744,"LONG ISLAND CITY","NY","QUEENS"
"11102","ASTORIA, NY",,"G",6104,"G",56684,"G",261306,679,"ASTORIA","NY","QUEENS"
"11103","ASTORIA, NY",,"H",10050,"H",77633,"H",345772,1108,"ASTORIA","NY","QUEENS"
"11104","SUNNYSIDE, NY",,"H",5435,"H",53017,"H",197763,538,"SUNNYSIDE","NY","QUEENS"
"11105","ASTORIA, NY",,"G",8813,"G",119137,"G",493083,903,"ASTORIA","NY","QUEENS"
"11106","ASTORIA, NY",,"G",9495,"G",81405,"G",349103,1028,"ASTORIA","NY","QUEENS"
"11109","LONG ISLAND CITY, NY",,"G",104,"G",853,"G",4638,34,"LONG ISLAND CITY","NY","QUEENS"
"11201","BROOKLYN, NY",,"G",52261,"G",634948,"G",2525004,2567,"BROOKLYN","NY","KINGS"
"11203","BROOKLYN, NY",,"G",19022,"G",231329,"G",990716,796,"BROOKLYN","NY","KINGS"
"11204","BROOKLYN, NY",,"G",11503,"G",70207,"G",310321,1902,"BROOKLYN","NY","KINGS"
"11205","BROOKLYN, NY",,"G",12316,"G",93829,"G",410553,953,"BROOKLYN","NY","KINGS"
"11206","BROOKLYN, NY",,"G",17756,"G",129386,"G",552864,1055,"BROOKLYN","NY","KINGS"
"11207","BROOKLYN, NY",,"G",12196,"G",89743,"G",385665,912,"BROOKLYN","NY","KINGS"
"11208","BROOKLYN, NY",,"G",9421,"G",75547,"G",325974,745,"BROOKLYN","NY","KINGS"
"11209","BROOKLYN, NY",,"G",14866,"G",135064,"G",573147,1842,"BROOKLYN","NY","KINGS"
"11210","BROOKLYN, NY",,"G",8413,"G",55800,"G",257729,990,"BROOKLYN","NY","KINGS"
"11211","BROOKLYN, NY",,"G",29348,"G",197123,"G",872136,2766,"BROOKLYN","NY","KINGS"
"11212","BROOKLYN, NY",,"H",9326,"H",89904,"H",387849,699,"BROOKLYN","NY","KINGS"
"11213","BROOKLYN, NY",,"H",5927,"H",53557,"H",231989,675,"BROOKLYN","NY","KINGS"
"11214","BROOKLYN, NY",,"G",11198,"G",76200,"G",334172,1679,"BROOKLYN","NY","KINGS"
"11215","BROOKLYN, NY",,"H",19574,"H",175283,"H",781449,1916,"BROOKLYN","NY","KINGS"
"11216","BROOKLYN, NY",,"G",4313,"G",25378,"G",107761,604,"BROOKLYN","NY","KINGS"
"11217","BROOKLYN, NY",,"G",14057,"H",125717,"H",523752,1117,"BROOKLYN","NY","KINGS"
"11218","BROOKLYN, NY",,"G",10703,"G",77377,"G",329887,1474,"BROOKLYN","NY","KINGS"
"11219","BROOKLYN, NY",,"H",25243,"H",227507,"H",992639,2581,"BROOKLYN","NY","KINGS"
"11220","BROOKLYN, NY",,"G",19527,"G",188033,"G",855995,2175,"BROOKLYN","NY","KINGS"
"11221","BROOKLYN, NY",,"G",4191,"G",26810,"G",119040,566,"BROOKLYN","NY","KINGS"
"11222","BROOKLYN, NY",,"G",14719,"G",150918,"G",668531,1375,"BROOKLYN","NY","KINGS"
"11223","BROOKLYN, NY",,"G",19530,"G",122357,"G",554231,1948,"BROOKLYN","NY","KINGS"
"11224","BROOKLYN, NY",,"G",5756,"G",46481,"G",200414,656,"BROOKLYN","NY","KINGS"
"11225","BROOKLYN, NY",,"G",3603,"G",23829,"G",102585,580,"BROOKLYN","NY","KINGS"
"11226","BROOKLYN, NY",,"G",8578,"G",50931,"G",222764,1127,"BROOKLYN","NY","KINGS"
"11228","BROOKLYN, NY",,"G",4219,"G",30225,"G",140163,787,"BROOKLYN","NY","KINGS"
"11229","BROOKLYN, NY",,"G",13515,"G",103263,"G",457347,1950,"BROOKLYN","NY","KINGS"
"11230","BROOKLYN, NY",,"G",17333,"G",111415,"G",494016,2026,"BROOKLYN","NY","KINGS"
"11231","BROOKLYN, NY",,"G",8362,"G",74981,"G",336912,985,"BROOKLYN","NY","KINGS"
"11232","BROOKLYN, NY",,"G",14622,"G",126505,"G",586108,1174,"BROOKLYN","NY","KINGS"
"11233","BROOKLYN, NY",,"G",3506,"G",23198,"G",104758,364,"BROOKLYN","NY","KINGS"
"11234","BROOKLYN, NY",,"G",15062,"G",122418,"G",557149,1717,"BROOKLYN","NY","KINGS"
"11235","BROOKLYN, NY",,"G",15355,"G",127939,"G",597035,2394,"BROOKLYN","NY","KINGS"
"11236","BROOKLYN, NY",,"G",10544,"G",89578,"G",394569,985,"BROOKLYN","NY","KINGS"
"11237","BROOKLYN, NY",,"G",9267,"G",85610,"G",386075,862,"BROOKLYN","NY","KINGS"
"11238","BROOKLYN, NY",,"G",6610,"G",53147,"G",240471,790,"BROOKLYN","NY","KINGS"
"11239","BROOKLYN, NY",,"G",3185,"G",20970,"G",91046,76,"BROOKLYN","NY","KINGS"
"11351","FLUSHING, NY","B","D",0,"D",0,"D",0,1,"FLUSHING","NY","QUEENS"
"11354","FLUSHING, NY",,"G",22132,"G",217776,"G",917321,2704,"FLUSHING","NY","QUEENS"
"11355","FLUSHING, NY",,"H",15447,"H",168220,"H",744570,1832,"FLUSHING","NY","QUEENS"
"11356","COLLEGE POINT, NY",,"G",7983,"G",88312,"G",393565,702,"COLLEGE POINT","NY","QUEENS"
"11357","WHITESTONE, NY",,"G",9541,"G",158064,"G",636438,917,"WHITESTONE","NY","QUEENS"
"11358","FLUSHING, NY",,"G",5136,"G",37400,"G",167972,1160,"FLUSHING","NY","QUEENS"
"11359","BAYSIDE, NY",,"H",232,"G",1694,"H",7060,11,"BAYSIDE","NY","QUEENS"
"11360","BAYSIDE, NY",,"G",3259,"H",22329,"H",104627,361,"BAYSIDE","NY","QUEENS"
"11361","BAYSIDE, NY",,"G",11225,"G",74178,"G",336880,1010,"BAYSIDE","NY","QUEENS"
"11362","LITTLE NECK, NY",,"G",4118,"H",34693,"H",152396,442,"LITTLE NECK","NY","QUEENS"
"11363","LITTLE NECK, NY",,"G",876,"G",9633,"G",41396,165,"LITTLE NECK","NY","QUEENS"
"11364","OAKLAND GARDENS, NY",,"G",2696,"G",16537,"G",75838,584,"OAKLAND GARDENS","NY","QUEENS"
"11365","FRESH MEADOWS, NY",,"G",7173,"G",74371,"G",313518,643,"FRESH MEADOWS","NY","QUEENS"
"11366","FRESH MEADOWS, NY",,"G",2535,"G",19425,"G",85678,449,"FRESH MEADOWS","NY","QUEENS"
"11367","FLUSHING, NY",,"G",4119,"G",25734,"G",120070,582,"FLUSHING","NY","QUEENS"
"11368","CORONA, NY",,"G",10069,"G",80863,"G",514110,1277,"CORONA","NY","QUEENS"
"11369","EAST ELMHURST, NY",,"G",3903,"G",38098,"G",173600,280,"EAST ELMHURST","NY","QUEENS"
"11370","EAST ELMHURST, NY",,"G",3207,"G",39765,"G",164016,297,"EAST ELMHURST","NY","QUEENS"
"11371","FLUSHING, NY",,"G",8263,"G",107770,"G",427447,95,"FLUSHING","NY","QUEENS"
"11372","JACKSON HEIGHTS, NY",,"G",7676,"G",53202,"G",232448,1629,"JACKSON HEIGHTS","NY","QUEENS"
"11373","ELMHURST, NY",,"G",16452,"G",134436,"G",592870,1498,"ELMHURST","NY","QUEENS"
"11374","REGO PARK, NY",,"G",10525,"G",87298,"G",360698,1089,"REGO PARK","NY","QUEENS"
"11375","FOREST HILLS, NY",,"G",19521,"G",182240,"G",766798,2060,"FOREST HILLS","NY","QUEENS"
"11377","WOODSIDE, NY",,"G",15876,"G",143954,"G",638015,1492,"WOODSIDE","NY","QUEENS"
"11378","MASPETH, NY",,"G",18002,"G",176588,"G",800645,1101,"MASPETH","NY","QUEENS"
"11379","MIDDLE VILLAGE, NY",,"G",4187,"G",32620,"G",141729,543,"MIDDLE VILLAGE","NY","QUEENS"
"11385","RIDGEWOOD, NY",,"G",13158,"G",110389,"G",482254,1742,"RIDGEWOOD","NY","QUEENS"
"11411","CAMBRIA HEIGHTS, NY",,"G",1125,"G",7605,"G",33628,140,"CAMBRIA HEIGHTS","NY","QUEENS"
"11412","SAINT ALBANS, NY",,"G",1373,"G",7828,"G",36630,239,"SAINT ALBANS","NY","QUEENS"
"11413","SPRINGFIELD GARDENS, NY",,"G",4921,"G",43516,"G",190158,433,"SPRINGFIELD GARDENS","NY","QUEENS"
"11414","HOWARD BEACH, NY",,"G",3272,"G",19379,"G",85747,438,"HOWARD BEACH","NY","QUEENS"
"11415","KEW GARDENS, NY",,"G",3864,"G",27776,"G",121903,419,"KEW GARDENS","NY","QUEENS"
"11416","OZONE PARK, NY",,"H",6213,"H",62659,"H",272359,393,"OZONE PARK","NY","QUEENS"
"11417","OZONE PARK, NY",,"H",3237,"H",23544,"G",86102,391,"OZONE PARK","NY","QUEENS"
"11418","RICHMOND HILL, NY",,"G",10273,"G",111172,"G",490335,718,"RICHMOND HILL","NY","QUEENS"
"11419","SOUTH RICHMOND HILL, NY",,"G",3022,"G",18630,"G",83703,682,"SOUTH RICHMOND HILL","NY","QUEENS"
"11420","SOUTH OZONE PARK, NY",,"G",2119,"G",13640,"G",62921,373,"SOUTH OZONE PARK","NY","QUEENS"
"11421","WOODHAVEN, NY",,"G",2348,"G",14492,"G",65541,443,"WOODHAVEN","NY","QUEENS"
"11422","ROSEDALE, NY",,"G",2399,"G",18271,"G",83175,307,"ROSEDALE","NY","QUEENS"
"11423","HOLLIS, NY",,"G",2698,"G",22171,"G",96254,359,"HOLLIS","NY","QUEENS"
"11424","JAMAICA, NY","B","S",0,"S",0,"H",1126,7,"JAMAICA","NY","QUEENS"
"11425","JAMAICA, NY",,"G",6,"H",45,"G",185,3,"JAMAICA","NY","QUEENS"
"11426","BELLEROSE, NY",,"H",1644,"H",12110,"H",52068,248,"BELLEROSE","NY","QUEENS"
"11427","QUEENS VILLAGE, NY",,"G",2662,"G",29922,"G",96879,237,"QUEENS VILLAGE","NY","QUEENS"
"11428","QUEENS VILLAGE, NY",,"G",1840,"G",13098,"G",58815,310,"QUEENS VILLAGE","NY","QUEENS"
"11429","QUEENS VILLAGE, NY",,"G",2159,"G",17941,"G",78567,222,"QUEENS VILLAGE","NY","QUEENS"
"11430","JAMAICA, NY",,"G",32803,"G",348916,"G",1454109,342,"JAMAICA","NY","QUEENS"
"11432","JAMAICA, NY",,"G",17141,"G",134967,"G",582318,1220,"JAMAICA","NY","QUEENS"
"11433","JAMAICA, NY",,"G",4413,"G",49745,"G",200462,298,"JAMAICA","NY","QUEENS"
"11434","JAMAICA, NY",,"G",10162,"G",93472,"G",402264,939,"JAMAICA","NY","QUEENS"
"11435","JAMAICA, NY",,"G",6113,"G",53065,"G",231929,823,"JAMAICA","NY","QUEENS"
"11436","JAMAICA, NY",,"G",1150,"G",7434,"G",30674,98,"JAMAICA","NY","QUEENS"
"11451","JAMAICA, NY","B","D",0,"D",0,"D",0,3,"JAMAICA","NY","QUEENS"
"11581","VALLEY STREAM, NY",,"G",7486,"G",47509,"G",212316,674,"VALLEY STREAM","NY","NASSAU"
"11691","FAR ROCKAWAY, NY",,"G",9230,"G",78882,"G",338663,490,"FAR ROCKAWAY","NY","QUEENS"
"11692","ARVERNE, NY",,"G",1516,"G",14203,"G",61092,90,"ARVERNE","NY","QUEENS"
"11693","FAR ROCKAWAY, NY",,"G",1365,"G",10872,"G",47794,132,"FAR ROCKAWAY","NY","QUEENS"
"11694","ROCKAWAY PARK, NY",,"G",2477,"G",18295,"G",77847,330,"ROCKAWAY PARK","NY","QUEENS"
"11697","BREEZY POINT, NY","E","S",0,"S",0,"H",12386,48,"BREEZY POINT","NY","QUEENS"
