"ZIP","NAME","EMPFLAG","EMP","QP1","AP","EST"
"11216","BROOKLYN, NY",,3402,16853,72073,488
"11217","BROOKLYN, NY",,8212,54332,245541,747
"11218","BROOKLYN, NY",,9711,50115,223674,1149
"11219","BROOKLYN, NY",,17579,135916,605108,1997
"11220","BROOKLYN, NY",,17866,106623,487361,1400
"11221","BROOKLYN, NY",,3342,17663,77559,379
"11222","BROOKLYN, NY",,15912,113795,521221,1141
"11223","BROOKLYN, NY",,9053,53609,238136,1475
"11224","BROOKLYN, NY",,4778,33751,148403,464
"11225","BROOKLYN, NY",,3165,16033,68930,409
"11226","BROOKLYN, NY",,7853,38641,166213,923
"11228","BROOKLYN, NY",,4907,29285,131747,641
"11229","BROOKLYN, NY",,9852,51483,228949,1544
"11230","BROOKLYN, NY",,14355,68883,303087,1670
"11231","BROOKLYN, NY",,9132,59303,258252,727
"11232","BROOKLYN, NY",,16762,90689,416632,1015
"11233","BROOKLYN, NY",,3508,19886,81678,277
"11234","BROOKLYN, NY",,15411,85843,375625,1575
"11235","BROOKLYN, NY",,13817,86641,385430,1754
"11236","BROOKLYN, NY",,9939,67317,292212,908
"11237","BROOKLYN, NY",,11284,77104,331801,716
"11238","BROOKLYN, NY",,9510,62681,271057,553
"11239","BROOKLYN, NY",,1300,8028,31949,56
"11351","FLUSHING, NY",,28,124,689,8
"11354","FLUSHING, NY",,18513,144947,603075,1861
"11355","FLUSHING, NY",,12321,95540,415244,1169
"11356","COLLEGE POINT, NY",,8434,69570,315674,544
"11357","WHITESTONE, NY",,6485,48101,231261,807
"11358","FLUSHING, NY",,4423,25692,117186,869
"11359","BAYSIDE, NY","C",0,0,0,2
"11360","BAYSIDE, NY",,2998,17157,76978,356
"11361","BAYSIDE, NY",,6887,40189,186105,841
"11362","LITTLE NECK, NY",,3301,22806,97923,370
"11363","LITTLE NECK, NY",,1313,6794,27570,177
"11364","OAKLAND GARDENS, NY",,2492,12519,56651,469
"11365","FRESH MEADOWS, NY",,5328,33052,168079,519
"11366","FRESH MEADOWS, NY",,2491,17767,77433,369
"11367","FLUSHING, NY",,3991,18171,79751,482
"11368","CORONA, NY",,9090,58243,334199,978
"11369","EAST ELMHURST, NY",,3503,20255,91575,189
"11370","EAST ELMHURST, NY",,3122,26523,112572,217
"11371","FLUSHING, NY",,11322,139926,543622,77
"11372","JACKSON HEIGHTS, NY",,6643,34020,154862,1376
"11373","ELMHURST, NY",,14377,98387,442652,1242
"11374","REGO PARK, NY",,7949,51201,222572,897
"11375","FOREST HILLS, NY",,16066,104656,447245,1975
"11377","WOODSIDE, NY",,14158,96754,446313,1377
"11378","MASPETH, NY",,20821,170525,762168,923
"11379","MIDDLE VILLAGE, NY",,4088,23067,99670,432
"11385","RIDGEWOOD, NY",,16202,90075,409297,1448
"11411","CAMBRIA HEIGHTS, NY",,869,4321,18113,110
"11412","SAINT ALBANS, NY",,1033,5086,24240,185
"11413","SPRINGFIELD GARDENS, NY",,4797,34709,144882,340
"11414","HOWARD BEACH, NY",,2770,12204,53925,438
"11415","KEW GARDENS, NY",,3851,22079,95124,366
"11416","OZONE PARK, NY",,4253,24248,99637,352
"11417","OZONE PARK, NY",,3498,20395,83249,344
"11418","RICHMOND HILL, NY",,9038,67359,317718,602
"11419","SOUTH RICHMOND HILL, NY",,2473,12526,59116,506
"11420","SOUTH OZONE PARK, NY",,1750,9939,45377,255
"11421","WOODHAVEN, NY",,2193,11545,51096,361
"11422","ROSEDALE, NY",,2263,12824,57506,274
"11423","HOLLIS, NY",,2647,16946,76039,310
"11424","JAMAICA, NY",,34,244,1234,7
"11425","JAMAICA, NY","A",0,0,0,2
"11426","BELLEROSE, NY",,2245,12278,51064,217
"11427","QUEENS VILLAGE, NY",,2962,22705,93163,203
"11428","QUEENS VILLAGE, NY",,1629,9729,45232,243
"11429","QUEENS VILLAGE, NY",,1782,7976,37072,160
"11430","JAMAICA, NY",,37199,328377,1355199,327
"11432","JAMAICA, NY",,19512,124290,535143,1079
"11433","JAMAICA, NY",,5097,43473,175943,273
"11434","JAMAICA, NY",,10925,80768,350206,808
"11435","JAMAICA, NY",,6269,35694,162853,632
"11436","JAMAICA, NY",,673,2987,13658,58
"11451","JAMAICA, NY",,47,160,714,3
"11581","VALLEY STREAM, NY",,7556,40205,179824,692
"11691","FAR ROCKAWAY, NY",,9213,64259,280085,388
"11692","ARVERNE, NY",,1589,11865,52211,73
"11693","FAR ROCKAWAY, NY",,928,5694,23314,79
"11694","ROCKAWAY PARK, NY",,1883,10570,47791,284
"11697","BREEZY POINT, NY",,312,1312,7815,38
