"ZIP","NAME","EMPFLAG","EMP","QP1","AP","EST"
"10001","NEW YORK, NY",,122847,1768396,5725797,7188
"10002","NEW YORK, NY",,19478,84880,349103,2543
"10003","NEW YORK, NY",,63733,862672,3018784,3602
"10004","NEW YORK, NY",,52111,2324739,6386651,1247
"10005","NEW YORK, NY",,38080,1294956,3762397,1249
"10006","NEW YORK, NY",,24312,956005,2708034,1026
"10007","NEW YORK, NY",,20923,309001,1160719,1233
"10009","NEW YORK, NY",,6947,43949,177839,869
"10010","NEW YORK, NY",,76470,4286472,8844892,3178
"10011","NEW YORK, NY",,57030,624449,2624675,3592
"10012","NEW YORK, NY",,46982,431421,1752229,2858
"10013","NEW YORK, NY","L",0,0,0,6648
"10014","NEW YORK, NY",,38503,638977,2209566,2197
"10016","NEW YORK, NY",,115172,1499839,5896366,6071
"10017","NEW YORK, NY",,163965,4960612,14445581,5583
"10018","NEW YORK, NY",,100223,1377720,5295156,6230
"10019","NEW YORK, NY",,171847,7919223,19243649,5163
"10020","NEW YORK, NY",,35422,1458539,3893099,756
"10021","NEW YORK, NY",,83697,1046472,4215642,5436
"10022","NEW YORK, NY",,142482,3930807,13970180,6907
"10023","NEW YORK, NY",,40154,450555,1818111,2236
"10024","NEW YORK, NY",,19584,140219,594906,1895
"10025","NEW YORK, NY",,18572,146574,619932,1739
"10026","NEW YORK, NY",,1430,6074,26902,207
"10027","NEW YORK, NY",,13732,87850,367508,707
"10028","NEW YORK, NY",,17377,180193,643266,1861
"10029","NEW YORK, NY",,24825,283947,1141840,685
"10030","NEW YORK, NY",,1343,6901,27844,211
"10031","NEW YORK, NY",,3677,18565,81084,507
"10032","NEW YORK, NY",,13614,134751,578251,628
"10033","NEW YORK, NY",,6013,36055,149186,864
"10034","NEW YORK, NY",,4086,31296,127208,491
"10035","NEW YORK, NY",,7913,66000,268430,405
"10036","NEW YORK, NY",,165893,3264988,10436501,6228
"10037","NEW YORK, NY",,5663,37976,162237,137
"10038","NEW YORK, NY",,46268,719957,2573742,2123
"10039","NEW YORK, NY",,745,4205,17134,94
"10040","NEW YORK, NY",,3563,23112,95202,474
"10044","NEW YORK, NY",,3093,28081,125149,66
"10069","NEW YORK, NY",,101,1610,5020,16
"10103","NEW YORK, NY",,6836,219762,560995,143
"10110","NEW YORK, NY",,3764,59935,312795,229
"10111","NEW YORK, NY",,3205,102103,379961,207
"10112","NEW YORK, NY",,6338,294299,1123356,121
"10115","NEW YORK, NY",,1770,20822,85869,66
"10119","NEW YORK, NY",,7954,178786,650167,280
"10128","NEW YORK, NY",,14893,127843,572988,1609
"10152","NEW YORK, NY",,994,54923,171988,120
"10153","NEW YORK, NY",,2555,132824,568999,111
"10154","NEW YORK, NY",,5382,295530,712968,54
"10162","NEW YORK, NY",,124,1205,4617,20
"10165","NEW YORK, NY",,4945,59816,246788,548
"10167","NEW YORK, NY",,2594,128474,271386,87
"10168","NEW YORK, NY",,2536,63053,188339,167
