"zip","name","empflag","emp","qp1","ap","est"
"10001","NEW YORK, NY",,146955,1571409,6761397,7370
"10002","NEW YORK, NY",,17153,89794,379920,2551
"10003","NEW YORK, NY",,62876,781130,3206338,3776
"10004","NEW YORK, NY",,59019,3735884,8408423,1283
"10005","NEW YORK, NY",,38937,1452518,3996213,1226
"10006","NEW YORK, NY",,18184,554364,1816627,869
"10007","NEW YORK, NY",,21862,323129,1331834,1635
"10009","NEW YORK, NY",,7426,53164,246902,982
"10010","NEW YORK, NY","L",0,0,0,3059
"10011","NEW YORK, NY",,55241,570150,2462048,3729
"10012","NEW YORK, NY",,43276,424663,1878854,2881
"10013","NEW YORK, NY",,61925,2393946,4963828,5847
"10014","NEW YORK, NY",,30586,494377,1860376,2247
"10016","NEW YORK, NY",,112291,1602376,6517808,6080
"10017","NEW YORK, NY",,145303,5963443,16572536,5384
"10018","NEW YORK, NY",,99042,1538046,5842611,6293
"10019","NEW YORK, NY",,140184,6429041,16736050,5068
"10020","NEW YORK, NY",,36364,1391828,4376027,791
"10021","NEW YORK, NY",,86111,1174684,4791456,5632
"10022","NEW YORK, NY",,135311,4312472,14384505,6648
"10023","NEW YORK, NY",,40938,452281,1908061,2296
"10024","NEW YORK, NY",,22462,157638,694275,2024
"10025","NEW YORK, NY",,22740,168648,716230,1898
"10026","NEW YORK, NY",,1549,7821,34261,272
"10027","NEW YORK, NY",,16125,103632,437564,847
"10028","NEW YORK, NY",,19758,167103,726699,1995
"10029","NEW YORK, NY",,23787,290352,1202973,799
"10030","NEW YORK, NY",,1597,8262,34970,218
"10031","NEW YORK, NY",,3780,21856,86744,594
"10032","NEW YORK, NY",,14263,171100,723083,716
"10033","NEW YORK, NY",,6408,43446,181057,952
"10034","NEW YORK, NY",,3825,28962,111834,543
"10035","NEW YORK, NY",,9663,77674,326793,480
"10036","NEW YORK, NY",,148575,3084161,10629156,6241
"10037","NEW YORK, NY",,3865,38563,155669,163
"10038","NEW YORK, NY",,46223,772756,2897351,2149
"10039","NEW YORK, NY",,905,5272,22254,140
"10040","NEW YORK, NY",,3886,25476,109663,537
