"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est"
"10001","NEW YORK, NY",,"G",139542,"G",1867428,"G",7456900,7472
"10002","NEW YORK, NY",,"G",19291,"G",122751,"G",526318,2691
"10003","NEW YORK, NY",,"G",79931,"G",1068981,"G",4518452,4071
"10004","NEW YORK, NY",,"G",54382,"H",7637454,"H",11936612,1376
"10005","NEW YORK, NY",,"G",42155,"G",3514143,"G",8031444,1291
"10006","NEW YORK, NY",,"G",17225,"G",552861,"G",1897911,845
"10007","NEW YORK, NY",,"G",24840,"G",580448,"G",1962586,1313
"10009","NEW YORK, NY",,"G",7279,"G",57401,"G",248916,1066
"10010","NEW YORK, NY",,"G",68782,"H",2922837,"H",7606463,3000
"10011","NEW YORK, NY",,"G",65016,"G",931538,"G",3759810,3887
"10012","NEW YORK, NY",,"G",50606,"G",619356,"G",2690183,2918
"10013","NEW YORK, NY",,"G",65982,"S",0,"H",6236501,5094
"10014","NEW YORK, NY",,"G",34153,"G",532365,"G",2106222,2276
"10016","NEW YORK, NY",,"G",105656,"G",1989998,"G",7819083,5906
"10017","NEW YORK, NY",,"G",148875,"G",8372053,"G",19702047,5271
"10018","NEW YORK, NY",,"G",116196,"G",2158753,"G",8102527,6551
"10019","NEW YORK, NY",,"G",149066,"G",8298975,"G",19546381,5035
"10020","NEW YORK, NY",,"G",30542,"G",1996967,"G",5369886,701
"10021","NEW YORK, NY",,"G",69268,"G",1154345,"G",4581638,4175
"10022","NEW YORK, NY",,"G",147474,"G",7612931,"G",23596379,6755
"10023","NEW YORK, NY",,"G",45155,"G",674013,"G",2575380,2251
"10024","NEW YORK, NY",,"G",19534,"G",169392,"G",741285,1969
"10025","NEW YORK, NY",,"G",20963,"H",198461,"H",848030,1934
"10026","NEW YORK, NY",,"G",2403,"G",14861,"G",66621,346
"10027","NEW YORK, NY",,"G",39214,"G",427384,"G",1787117,923
"10028","NEW YORK, NY",,"G",21003,"H",230970,"H",1054511,1983
"10029","NEW YORK, NY",,"G",24887,"G",320429,"G",1393071,895
"10030","NEW YORK, NY",,"G",2122,"G",13049,"G",52119,221
"10031","NEW YORK, NY",,"G",3788,"G",25450,"G",108720,639
"10032","NEW YORK, NY",,"G",14264,"G",204743,"G",842190,691
