"zip","name","empflag","emp","qp1","ap","est"
"10001","NEW YORK, NY",,127672,1599296,6474628,7415
"10002","NEW YORK, NY",,18361,104126,441557,2686
"10003","NEW YORK, NY",,69023,918253,3868166,3909
"10004","NEW YORK, NY",,50307,4398823,9985248,1311
"10005","NEW YORK, NY",,41503,3004660,6781536,1259
"10006","NEW YORK, NY",,17739,556537,1957476,874
"10007","NEW YORK, NY",,23564,504156,1649619,1292
"10009","NEW YORK, NY",,7613,59872,261301,1016
"10010","NEW YORK, NY",,80972,2814257,7063773,3047
"10011","NEW YORK, NY",,63305,765465,3246143,3823
"10012","NEW YORK, NY",,48481,548268,2367087,2975
"10013","NEW YORK, NY",,63637,3128623,6313837,5002
"10014","NEW YORK, NY",,30856,524043,1963540,2302
"10016","NEW YORK, NY",,111035,1758371,7238917,6088
"10017","NEW YORK, NY",,153739,6515608,17830537,5433
"10018","NEW YORK, NY",,106725,1862633,6988027,6365
"10019","NEW YORK, NY",,145413,7656822,18674226,5173
"10020","NEW YORK, NY",,36167,1731440,4864176,764
"10021","NEW YORK, NY",,85183,1328490,5408449,5527
"10022","NEW YORK, NY","M",0,0,0,6804
"10023","NEW YORK, NY",,44637,526808,2319593,2256
"10024","NEW YORK, NY",,23155,172985,755895,2007
"10025","NEW YORK, NY",,20007,182712,758621,1959
"10026","NEW YORK, NY",,2081,11969,48757,293
"10027","NEW YORK, NY",,37556,409217,1707808,877
"10028","NEW YORK, NY",,20724,217822,952143,2002
"10029","NEW YORK, NY",,24463,316521,1284707,819
"10030","NEW YORK, NY",,1922,10819,44821,231
"10031","NEW YORK, NY",,3768,23725,92860,628
"10032","NEW YORK, NY",,14077,209614,881660,718
"10033","NEW YORK, NY",,6551,49426,204682,944
"10034","NEW YORK, NY",,2944,15593,63352,544
"10035","NEW YORK, NY",,10454,90742,370776,496
"10036","NEW YORK, NY",,148056,5098416,13945858,6269
"10037","NEW YORK, NY",,4358,59347,214046,168
"10038","NEW YORK, NY",,43561,699624,2786702,2097
"10039","NEW YORK, NY",,1345,7721,31850,153
"10040","NEW YORK, NY",,4076,28945,123852,513
"10044","NEW YORK, NY",,2071,24924,103554,71
"10065","NEW YORK, NY",,406,5179,24450,85
"10069","NEW YORK, NY",,336,3106,17723,49
"10075","NEW YORK, NY",,91,471,3298,51
"10103","NEW YORK, NY",,4663,389315,827292,108
"10110","NEW YORK, NY",,3066,45139,189303,195
"10111","NEW YORK, NY",,3585,133515,574536,177
"10112","NEW YORK, NY",,5539,221807,813177,120
"10115","NEW YORK, NY",,1796,18878,79542,56
"10119","NEW YORK, NY",,7732,172182,656609,296
"10128","NEW YORK, NY",,14070,139409,568369,1681
