"zip","name","empflag","emp","qp1","ap","est"
"10001","New York, NY",,110105,838271,3505522,7088
"10002","New York, NY",,14009,63418,266160,1819
"10003","New York, NY",,63675,566812,2373336,3377
"10004","New York, NY",,39679,736288,2884126,1124
"10005","New York, NY",,42310,854795,2938190,1109
"10006","New York, NY",,27077,501744,1874580,1002
"10007","New York, NY",,24035,251509,942628,1274
"10009","New York, NY",,5737,34599,141201,633
"10010","New York, NY",,67483,646739,2444842,2987
"10011","New York, NY",,49558,368587,1551738,3340
"10012","New York, NY",,35921,202279,898668,2485
"10013","New York, NY",,62513,679559,2198606,5664
"10014","New York, NY",,27483,249747,1036957,1787
"10016","New York, NY",,95676,956881,3953636,5898
"10017","New York, NY",,137389,1941792,7564262,5830
"10018","New York, NY",,88663,863117,3518226,6116
"10019","New York, NY",,126600,2033818,7351437,5005
"10020","New York, NY",,35693,1176746,3200618,667
"10021","New York, NY",,70581,668181,2856947,5119
"10022","New York, NY",,129456,2188123,8577061,6629
"10023","New York, NY",,36366,364488,1387126,2090
"10024","New York, NY",,15014,80203,358187,1704
"10025","New York, NY",,32561,249696,1023715,1571
"10026","New York, NY",,773,3290,13571,161
"10027","New York, NY",,12144,59994,245017,692
"10028","New York, NY",,14217,100353,415033,1727
"10029","New York, NY",,22635,220519,907297,656
"10030","New York, NY",,1090,4500,18924,162
"10031","New York, NY",,3571,18402,74777,448
"10032","New York, NY",,12326,114031,451417,571
"10033","New York, NY",,5259,26502,105827,817
"10034","New York, NY",,3411,25211,93543,457
"10035","New York, NY",,8022,49390,203414,345
"10036","New York, NY",,107503,1307859,5137418,5949
"10037","New York, NY",,5256,38007,152109,141
"10038","New York, NY",,45566,614619,2267322,2083
"10039","New York, NY",,652,3076,12829,78
"10040","New York, NY",,3220,16733,69956,442
"10044","New York, NY",,3418,27574,109306,66
"10103","New York, NY",,2727,40661,166534,134
"10110","New York, NY",,3896,34446,170046,243
"10111","New York, NY",,2009,56253,213789,185
"10112","New York, NY",,5020,121460,464800,101
"10115","New York, NY",,2061,17554,73131,62
"10119","New York, NY",,4766,60864,242812,212
"10128","New York, NY",,13166,92059,403807,1528
"10152","New York, NY",,1001,20096,87187,113
"10153","New York, NY",,4683,143089,498164,127
"10154","New York, NY",,4888,77445,348299,60
"10162","New York, NY",,130,1070,4447,18
"10165","New York, NY",,3377,32515,136454,469
"10167","New York, NY",,7541,164185,1067054,88
"10168","New York, NY",,2546,29774,123437,193
"10169","New York, NY",,2382,53080,194136,263
