"zip","name","empflag","emp","qp1","ap","est"
"10001","New York, NY",,110513,822676,3506167,7075
"10002","New York, NY",,14146,64500,277815,1919
"10003","New York, NY",,73459,567323,2393188,3417
"10004","New York, NY",,39415,846400,2921408,1133
"10005","New York, NY",,36537,766951,2638723,1216
"10006","New York, NY",,27260,537205,2021442,969
"10007","New York, NY",,22162,236591,899637,1254
"10009","New York, NY",,6048,37502,148436,673
"10010","New York, NY",,69627,697214,2769314,3029
"10011","New York, NY",,49624,390720,1671695,3392
"10012","New York, NY",,36084,208898,927503,2531
"10013","New York, NY",,57724,849765,2480414,5637
"10014","New York, NY",,27069,282959,1086934,1819
"10016","New York, NY",,93276,981509,4132964,5884
"10017","New York, NY",,144173,2134235,8496385,5713
"10018","New York, NY",,87271,875839,3585805,6048
"10019","New York, NY",,133696,2551783,8681817,5006
"10020","New York, NY",,35550,1385073,3549745,676
"10021","New York, NY",,69748,684353,2884090,5207
"10022","New York, NY",,138797,2492089,9418083,6745
"10023","New York, NY",,35030,371881,1499436,2098
"10024","New York, NY",,14934,86577,383080,1741
"10025","New York, NY",,15304,109132,457567,1611
"10026","New York, NY",,734,3325,13356,156
"10027","New York, NY",,29835,209448,858286,705
"10028","New York, NY",,14512,102664,442080,1786
"10029","New York, NY",,23893,221934,912570,651
"10030","New York, NY",,1138,4897,20638,165
"10031","New York, NY",,3573,18598,76472,468
"10032","New York, NY",,12198,118569,469802,628
"10033","New York, NY",,5565,27138,115229,848
"10034","New York, NY",,3450,25208,98906,471
"10035","New York, NY",,8287,50194,210598,355
"10036","New York, NY",,112116,1407428,5506999,5956
"10037","New York, NY",,4724,35381,149012,141
"10038","New York, NY",,44717,604983,2194959,2075
"10039","New York, NY",,699,3035,13266,84
"10040","New York, NY",,3362,17199,71336,455
"10044","New York, NY",,3489,28623,115867,68
"10103","New York, NY",,2807,48478,191976,133
"10110","New York, NY",,5279,36754,178142,249
"10111","New York, NY",,2432,62497,247610,210
"10112","New York, NY",,5374,110637,438205,112
"10115","New York, NY",,2250,17387,67586,54
"10119","New York, NY",,5029,58897,258512,217
"10128","New York, NY",,12737,91142,407846,1541
"10152","New York, NY",,1152,32777,118380,123
"10153","New York, NY",,5051,165502,565123,110
"10154","New York, NY",,4502,105904,393292,56
"10162","New York, NY",,152,1480,6399,19
"10165","New York, NY",,3280,30454,137901,481
"10167","New York, NY",,7927,180934,1317470,74
