"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est"
"11362","LITTLE NECK, NY",,"G",4041,"H",32144,"H",138162,425
"11363","LITTLE NECK, NY",,"G",957,"G",8375,"G",38983,182
"11364","OAKLAND GARDENS, NY",,"G",2586,"G",16757,"G",72407,530
"11365","FRESH MEADOWS, NY",,"G",6878,"G",78913,"H",344631,617
"11366","FRESH MEADOWS, NY",,"G",2306,"G",15675,"G",68225,403
"11367","FLUSHING, NY",,"G",3423,"G",21853,"G",95147,566
"11368","CORONA, NY",,"G",9458,"H",70742,"G",444931,1188
"11369","EAST ELMHURST, NY",,"G",4164,"G",37264,"G",166771,253
"11370","EAST ELMHURST, NY",,"H",3317,"H",34621,"H",145155,277
"11371","FLUSHING, NY",,"G",9363,"G",131841,"G",511985,100
"11372","JACKSON HEIGHTS, NY",,"G",7621,"G",52494,"G",227431,1545
"11373","ELMHURST, NY",,"G",16711,"G",140760,"G",596731,1416
"11374","REGO PARK, NY",,"G",10046,"G",80324,"G",343155,1072
"11375","FOREST HILLS, NY",,"G",19222,"G",161657,"G",671657,2064
"11377","WOODSIDE, NY",,"G",16004,"G",149945,"G",642112,1494
"11378","MASPETH, NY",,"G",18289,"G",179804,"G",779990,1095
"11379","MIDDLE VILLAGE, NY",,"H",4280,"H",32328,"G",146806,538
"11385","RIDGEWOOD, NY",,"G",13745,"G",110055,"G",477019,1656
"11411","CAMBRIA HEIGHTS, NY",,"G",1048,"G",6465,"G",28828,130
"11412","SAINT ALBANS, NY",,"G",1469,"G",8646,"G",40643,231
"11413","SPRINGFIELD GARDENS, NY",,"G",4873,"G",43505,"G",187378,418
"11414","HOWARD BEACH, NY",,"G",3310,"G",21002,"G",86352,463
"11415","KEW GARDENS, NY",,"G",3529,"G",26784,"H",118713,412
"11416","OZONE PARK, NY",,"H",5902,"H",61268,"H",273656,365
"11417","OZONE PARK, NY",,"G",3594,"G",25630,"G",93114,372
"11418","RICHMOND HILL, NY",,"G",9770,"G",100592,"G",431194,650
"11419","SOUTH RICHMOND HILL, NY",,"G",2811,"G",17567,"G",74753,632
"11420","SOUTH OZONE PARK, NY",,"H",1860,"G",11474,"G",51001,361
"11421","WOODHAVEN, NY",,"G",3088,"G",24337,"G",106184,426
"11422","ROSEDALE, NY",,"G",2403,"G",17734,"G",75382,312
"11423","HOLLIS, NY",,"G",2503,"G",19404,"G",84944,343
"11424","JAMAICA, NY",,"H",45,"G",361,"G",1320,6
"11425","JAMAICA, NY","A","D",0,"D",0,"D",0,2
"11426","BELLEROSE, NY",,"G",1765,"H",13092,"H",55732,228
"11427","QUEENS VILLAGE, NY",,"G",2503,"G",29478,"G",90817,220
"11428","QUEENS VILLAGE, NY",,"G",2184,"G",14699,"G",61596,295
"11429","QUEENS VILLAGE, NY",,"G",2031,"G",15751,"G",79588,198
"11430","JAMAICA, NY",,"G",37065,"G",336814,"G",1566273,362
"11432","JAMAICA, NY",,"G",17250,"G",146928,"G",622177,1227
"11433","JAMAICA, NY",,"G",3832,"G",43478,"G",185704,285
"11434","JAMAICA, NY",,"G",11435,"G",102600,"G",436482,924
"11435","JAMAICA, NY",,"G",6066,"G",52970,"G",224867,780
"11436","JAMAICA, NY",,"G",1040,"G",6779,"G",32266,84
"11451","JAMAICA, NY",,"G",26,"G",198,"G",720,3
"11581","VALLEY STREAM, NY",,"G",8025,"G",56750,"G",250958,704
"11691","FAR ROCKAWAY, NY",,"G",10221,"G",86771,"G",383683,447
"11692","ARVERNE, NY",,"G",1587,"G",18232,"G",72500,69
"11693","FAR ROCKAWAY, NY",,"G",1089,"G",8797,"G",38083,110
"11694","ROCKAWAY PARK, NY",,"G",2416,"G",18761,"G",77412,332
"11697","BREEZY POINT, NY","E","S",0,"S",0,"H",11512,48
