"zip","name","empflag","emp","qp1","ap","est"
"10001","NEW YORK, NY",,112315,991216,4420165,7154
"10002","NEW YORK, NY",,15386,76296,317382,2049
"10003","NEW YORK, NY",,72200,583988,2464173,3535
"10004","NEW YORK, NY",,46625,1169553,4105688,1173
"10005","NEW YORK, NY",,37946,946583,3110400,1227
"10006","NEW YORK, NY",,26502,572029,2068600,990
"10007","NEW YORK, NY",,23179,285064,1080673,1287
"10009","NEW YORK, NY",,5951,34403,143948,747
"10010","NEW YORK, NY",,73947,816344,3160926,3112
"10011","NEW YORK, NY",,51676,424591,1829136,3541
"10012","NEW YORK, NY",,34865,238121,1072009,2676
"10013","NEW YORK, NY",,60521,685901,2408381,5780
"10014","NEW YORK, NY",,32553,307889,1212443,2020
"10016","NEW YORK, NY",,97796,1040691,4365348,5984
"10017","NEW YORK, NY",,156207,2627513,9880833,5630
"10018","NEW YORK, NY",,97045,980834,4011186,6216
"10019","NEW YORK, NY",,134415,2818809,9125619,5219
"10020","NEW YORK, NY",,36558,1640834,4204733,694
"10021","NEW YORK, NY",,75222,764037,3341164,5487
"10022","NEW YORK, NY",,142262,2631067,9954615,6778
"10023","NEW YORK, NY",,36043,386348,1587931,2173
"10024","NEW YORK, NY",,16059,94708,428966,1891
"10025","NEW YORK, NY",,33352,265543,969028,1727
"10026","NEW YORK, NY",,782,3309,14228,163
"10027","NEW YORK, NY",,13928,70687,298545,713
"10028","NEW YORK, NY",,15632,106385,467704,1894
"10029","NEW YORK, NY",,21723,229186,925521,653
"10030","NEW YORK, NY",,1127,5066,21852,171
"10031","NEW YORK, NY",,3568,18742,76538,481
"10032","NEW YORK, NY",,13536,138118,585819,636
"10033","NEW YORK, NY",,5913,30855,124216,869
"10034","NEW YORK, NY",,3698,25987,106958,472
"10035","NEW YORK, NY",,7657,56741,231268,372
"10036","NEW YORK, NY",,121593,1590969,5981079,6031
"10037","NEW YORK, NY",,5143,35085,149834,130
"10038","NEW YORK, NY",,41245,565456,2275349,2059
"10039","NEW YORK, NY",,723,3207,14168,103
"10040","NEW YORK, NY",,3177,17488,74745,492
"10044","NEW YORK, NY",,2921,25630,116481,57
"10103","NEW YORK, NY",,4592,58657,227905,154
"10110","NEW YORK, NY",,3202,36364,177101,253
"10111","NEW YORK, NY",,2415,62105,252252,216
"10112","NEW YORK, NY",,5875,188913,743401,96
"10115","NEW YORK, NY",,2065,16129,66683,58
"10119","NEW YORK, NY",,5624,66652,275662,210
"10128","NEW YORK, NY",,12559,93953,427329,1541
"10152","NEW YORK, NY",,1283,43044,138083,124
"10153","NEW YORK, NY",,3653,189244,609290,118
"10154","NEW YORK, NY",,4340,111474,462890,51
"10162","NEW YORK, NY",,131,1046,4510,17
"10165","NEW YORK, NY",,4859,41617,187156,536
"10167","NEW YORK, NY",,7883,331178,1311946,51
"10168","NEW YORK, NY",,2001,27089,104195,178
"10169","NEW YORK, NY",,3194,114499,436271,273
"10170","NEW YORK, NY",,4247,41846,195365,312
"10171","NEW YORK, NY",,1293,41038,144029,17
"10172","NEW YORK, NY",,6476,701831,1305972,87
"10173","NEW YORK, NY",,1956,19328,85912,171
"10174","NEW YORK, NY",,1078,18409,68616,104
"10177","NEW YORK, NY",,1402,32077,123530,41
"10199","NEW YORK, NY",,51,166,722,6
"10271","NEW YORK, NY",,4321,90144,382973,111
"10278","NEW YORK, NY",,66,318,1350,6
"10279","NEW YORK, NY",,2520,37880,157477,117
"10280","NEW YORK, NY",,980,7716,35918,157
"10282","NEW YORK, NY",,877,10419,52663,52
"10301","STATEN ISLAND, NY",,6604,35806,161503,563
"10302","STATEN ISLAND, NY",,4032,21477,93323,359
"10303","STATEN ISLAND, NY",,4396,28795,121843,313
"10304","STATEN ISLAND, NY",,6773,46022,191395,526
"10305","STATEN ISLAND, NY",,10479,89093,388155,653
"10306","STATEN ISLAND, NY",,9382,41087,175254,877
