"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"10001","NEW YORK, NY",,"G",142704,"G",2040835,"G",8118354,7235,"NEW YORK","NY","NEW YORK"
"10002","NEW YORK, NY",,"G",20723,"G",138005,"G",585960,2954,"NEW YORK","NY","NEW YORK"
"10003","NEW YORK, NY",,"G",81000,"G",1285593,"G",5244723,4214,"NEW YORK","NY","NEW YORK"
"10004","NEW YORK, NY",,"G",53145,"H",3928502,"H",9670296,1442,"NEW YORK","NY","NEW YORK"
"10005","NEW YORK, NY",,"G",39015,"G",2286124,"G",5947321,1273,"NEW YORK","NY","NEW YORK"
"10006","NEW YORK, NY",,"G",19470,"G",612991,"G",2130252,850,"NEW YORK","NY","NEW YORK"
"10007","NEW YORK, NY",,"G",27044,"G",705329,"G",2299621,1400,"NEW YORK","NY","NEW YORK"
"10009","NEW YORK, NY",,"G",9400,"H",84420,"H",378053,1176,"NEW YORK","NY","NEW YORK"
"10010","NEW YORK, NY",,"G",68812,"H",2022944,"H",8044200,3068,"NEW YORK","NY","NEW YORK"
"10011","NEW YORK, NY",,"G",64288,"G",1150196,"G",4399264,3841,"NEW YORK","NY","NEW YORK"
"10012","NEW YORK, NY",,"G",55169,"G",778765,"G",2920888,2951,"NEW YORK","NY","NEW YORK"
"10013","NEW YORK, NY",,"G",73621,"H",2414340,"H",6381052,5374,"NEW YORK","NY","NEW YORK"
"10014","NEW YORK, NY",,"G",42074,"G",640542,"G",2571695,2506,"NEW YORK","NY","NEW YORK"
"10016","NEW YORK, NY",,"G",109134,"G",2132958,"G",8483270,5933,"NEW YORK","NY","NEW YORK"
"10017","NEW YORK, NY",,"G",134222,"G",6808971,"G",19166152,5034,"NEW YORK","NY","NEW YORK"
"10018","NEW YORK, NY",,"G",126716,"G",2604069,"G",9874383,6691,"NEW YORK","NY","NEW YORK"
"10019","NEW YORK, NY",,"G",136659,"H",5814213,"H",17441129,4833,"NEW YORK","NY","NEW YORK"
"10020","NEW YORK, NY",,"G",32509,"G",2301904,"G",6226592,744,"NEW YORK","NY","NEW YORK"
"10021","NEW YORK, NY",,"G",63457,"G",1204713,"G",4782849,3269,"NEW YORK","NY","NEW YORK"
"10022","NEW YORK, NY",,"G",128871,"G",6353733,"G",20186272,6421,"NEW YORK","NY","NEW YORK"
"10023","NEW YORK, NY",,"G",41787,"G",656222,"G",2498714,2280,"NEW YORK","NY","NEW YORK"
"10024","NEW YORK, NY",,"G",19519,"G",182598,"G",789282,1966,"NEW YORK","NY","NEW YORK"
"10025","NEW YORK, NY",,"H",21836,"H",240057,"H",1007483,2052,"NEW YORK","NY","NEW YORK"
"10026","NEW YORK, NY",,"G",2798,"G",19874,"G",84881,455,"NEW YORK","NY","NEW YORK"
"10027","NEW YORK, NY",,"G",40018,"G",522654,"G",2135055,965,"NEW YORK","NY","NEW YORK"
"10028","NEW YORK, NY",,"G",21261,"H",271532,"H",1168628,1908,"NEW YORK","NY","NEW YORK"
"10029","NEW YORK, NY",,"G",24697,"G",410065,"G",1645908,1035,"NEW YORK","NY","NEW YORK"
"10030","NEW YORK, NY",,"G",2469,"G",16684,"G",70986,269,"NEW YORK","NY","NEW YORK"
"10031","NEW YORK, NY",,"G",4235,"G",31786,"G",127323,687,"NEW YORK","NY","NEW YORK"
"10032","NEW YORK, NY",,"G",16047,"G",237172,"G",1027849,803,"NEW YORK","NY","NEW YORK"
"10033","NEW YORK, NY",,"G",7023,"G",59209,"G",248456,1012,"NEW YORK","NY","NEW YORK"
"10034","NEW YORK, NY",,"G",4183,"G",24298,"G",104865,600,"NEW YORK","NY","NEW YORK"
"10035","NEW YORK, NY",,"H",10759,"H",100021,"H",394245,615,"NEW YORK","NY","NEW YORK"
"10036","NEW YORK, NY",,"G",143263,"G",6998705,"G",17934538,6118,"NEW YORK","NY","NEW YORK"
"10037","NEW YORK, NY",,"G",4071,"G",48732,"G",187355,209,"NEW YORK","NY","NEW YORK"
"10038","NEW YORK, NY",,"G",40734,"G",984663,"G",3179290,1935,"NEW YORK","NY","NEW YORK"
"10039","NEW YORK, NY",,"G",1506,"G",10507,"G",42711,195,"NEW YORK","NY","NEW YORK"
"10040","NEW YORK, NY",,"G",3752,"G",29520,"G",124378,566,"NEW YORK","NY","NEW YORK"
"10044","NEW YORK, NY",,"G",2325,"G",33697,"G",119005,100,"NEW YORK","NY","NEW YORK"
"10065","NEW YORK, NY",,"G",21942,"G",392436,"G",1589351,1393,"NEW YORK","NY","NEW YORK"
"10069","NEW YORK, NY",,"G",463,"H",6065,"G",23658,89,"NEW YORK","NY","NEW YORK"
"10075","NEW YORK, NY",,"G",6470,"G",76067,"G",361026,824,"NEW YORK","NY","NEW YORK"
"10103","NEW YORK, NY",,"G",3668,"S",0,"H",1157914,88,"NEW YORK","NY","NEW YORK"
"10110","NEW YORK, NY",,"G",2281,"G",49340,"G",201894,149,"NEW YORK","NY","NEW YORK"
"10111","NEW YORK, NY",,"G",3655,"G",161713,"G",702100,155,"NEW YORK","NY","NEW YORK"
"10112","NEW YORK, NY",,"H",4622,"H",251575,"H",893807,108,"NEW YORK","NY","NEW YORK"
"10115","NEW YORK, NY","G","S",0,"H",27570,"H",111509,68,"NEW YORK","NY","NEW YORK"
"10119","NEW YORK, NY",,"G",7928,"G",212324,"G",827821,295,"NEW YORK","NY","NEW YORK"
"10128","NEW YORK, NY",,"G",15083,"G",160128,"G",689122,1660,"NEW YORK","NY","NEW YORK"
"10152","NEW YORK, NY",,"G",1765,"G",246228,"G",551880,66,"NEW YORK","NY","NEW YORK"
"10153","NEW YORK, NY",,"G",6198,"G",348878,"G",1368831,120,"NEW YORK","NY","NEW YORK"
"10154","NEW YORK, NY",,"H",6216,"G",280062,"H",1124769,82,"NEW YORK","NY","NEW YORK"
"10162","NEW YORK, NY",,"G",166,"G",1278,"G",5269,21,"NEW YORK","NY","NEW YORK"
"10165","NEW YORK, NY",,"G",3133,"G",63361,"G",254882,372,"NEW YORK","NY","NEW YORK"
"10167","NEW YORK, NY",,"G",3741,"G",328225,"G",913545,129,"NEW YORK","NY","NEW YORK"
"10168","NEW YORK, NY",,"G",3750,"G",71029,"G",289544,199,"NEW YORK","NY","NEW YORK"
"10169","NEW YORK, NY",,"G",4449,"G",174904,"G",547975,174,"NEW YORK","NY","NEW YORK"
"10170","NEW YORK, NY",,"G",5784,"G",181997,"G",602193,295,"NEW YORK","NY","NEW YORK"
"10171","NEW YORK, NY",,"H",2168,"H",333689,"H",726601,54,"NEW YORK","NY","NEW YORK"
"10172","NEW YORK, NY",,"G",4818,"H",323504,"H",1040232,75,"NEW YORK","NY","NEW YORK"
"10173","NEW YORK, NY",,"G",1329,"G",65289,"G",192945,62,"NEW YORK","NY","NEW YORK"
"10174","NEW YORK, NY",,"H",3465,"H",92036,"H",340728,131,"NEW YORK","NY","NEW YORK"
"10177","NEW YORK, NY",,"H",1493,"H",80586,"H",289827,58,"NEW YORK","NY","NEW YORK"
"10199","NEW YORK, NY",,"G",32,"G",223,"G",790,12,"NEW YORK","NY","NEW YORK"
"10271","NEW YORK, NY",,"G",3823,"G",94548,"G",406406,97,"NEW YORK","NY","NEW YORK"
"10278","NEW YORK, NY",,"G",585,"G",8140,"G",33240,11,"NEW YORK","NY","NEW YORK"
"10279","NEW YORK, NY",,"H",1314,"G",32844,"G",132789,136,"NEW YORK","NY","NEW YORK"
