"ZIP","NAME","EMPFLAG","EMP","QP1","AP","EST"
"10001","NEW YORK, NY",,119948,1323499,5299047,7141
"10002","NEW YORK, NY",,16873,90963,369642,2269
"10003","NEW YORK, NY",,63031,757576,3022581,3616
"10004","NEW YORK, NY",,50693,2123167,5858218,1253
"10005","NEW YORK, NY",,51533,1671964,4547642,1244
"10006","NEW YORK, NY",,19108,609207,1985315,934
"10007","NEW YORK, NY",,22846,395479,1338325,1620
"10009","NEW YORK, NY",,6484,44067,197100,921
"10010","NEW YORK, NY",,69258,3999493,7501074,3085
"10011","NEW YORK, NY",,54303,588997,2457096,3682
"10012","NEW YORK, NY","K",0,0,0,2807
"10013","NEW YORK, NY",,58990,2528851,5082033,4863
"10014","NEW YORK, NY",,30797,495704,1808583,2245
"10016","NEW YORK, NY",,104384,1437990,5817408,6029
"10017","NEW YORK, NY",,156880,5235683,15181043,5310
"10018","NEW YORK, NY",,99186,1312837,5414520,6335
"10019","NEW YORK, NY",,167393,6347579,16742881,5001
"10020","NEW YORK, NY",,33321,1336790,3806924,736
"10021","NEW YORK, NY",,79134,1034374,4253052,5512
"10022","NEW YORK, NY",,140775,3690677,12723878,6588
"10023","NEW YORK, NY",,40417,442784,1805900,2228
"10024","NEW YORK, NY",,20014,141418,602809,1947
"10025","NEW YORK, NY",,18669,152408,628791,1851
"10026","NEW YORK, NY",,1240,6267,26614,241
"10027","NEW YORK, NY",,15031,97069,401010,798
"10028","NEW YORK, NY",,16998,142052,617386,1959
"10029","NEW YORK, NY",,24003,299583,1176851,744
"10030","NEW YORK, NY",,1510,7398,30803,217
"10031","NEW YORK, NY",,3807,21017,86507,559
"10032","NEW YORK, NY",,11889,142427,618651,704
"10033","NEW YORK, NY",,6177,39167,160863,913
"10034","NEW YORK, NY",,3859,31294,114606,540
"10035","NEW YORK, NY",,9341,74136,311075,450
"10036","NEW YORK, NY",,140043,2649365,9000501,6284
"10037","NEW YORK, NY",,3911,39704,159948,161
"10038","NEW YORK, NY",,46187,668057,2580140,2162
"10039","NEW YORK, NY",,858,4712,19732,115
"10040","NEW YORK, NY",,3959,25763,102031,510
"10044","NEW YORK, NY",,3707,41043,164013,62
"10069","NEW YORK, NY",,162,2230,8988,33
"10103","NEW YORK, NY",,7609,229509,604236,131
"10110","NEW YORK, NY",,2338,37534,163069,200
"10111","NEW YORK, NY",,2903,106448,434071,189
"10112","NEW YORK, NY",,6004,184213,665880,109
"10115","NEW YORK, NY",,1839,22062,86500,62
"10119","NEW YORK, NY",,7501,150362,560762,254
"10128","NEW YORK, NY",,15286,138433,570976,1629
"10152","NEW YORK, NY",,959,50646,170973,112
"10153","NEW YORK, NY",,2297,141317,453636,89
"10154","NEW YORK, NY",,5562,362074,864322,46
"10162","NEW YORK, NY",,148,1623,6880,25
"10165","NEW YORK, NY",,4374,49461,212977,506
"10167","NEW YORK, NY",,4354,338198,800862,93
"10168","NEW YORK, NY",,2932,43412,158910,158
"10169","NEW YORK, NY",,2385,56580,230552,251
"10170","NEW YORK, NY",,3756,43800,184542,296
"10171","NEW YORK, NY",,1965,254062,511033,37
"10172","NEW YORK, NY",,6377,768405,1188175,48
"10173","NEW YORK, NY",,858,9148,37191,74
"10174","NEW YORK, NY",,3058,64072,259986,128
"10177","NEW YORK, NY",,2194,50577,200124,36
"10199","NEW YORK, NY",,97,138,505,4
"10271","NEW YORK, NY",,3959,154274,438092,101
"10278","NEW YORK, NY",,83,808,3633,9
"10279","NEW YORK, NY",,4142,47345,193059,154
"10280","NEW YORK, NY",,888,10028,47860,141
"10282","NEW YORK, NY",,1268,19053,90313,144
"10301","STATEN ISLAND, NY",,7550,48156,205386,607
"10302","STATEN ISLAND, NY",,4668,38114,155721,353
"10303","STATEN ISLAND, NY",,5971,49293,207529,330
"10304","STATEN ISLAND, NY",,5171,37166,168488,543
"10305","STATEN ISLAND, NY",,12264,116674,475869,735
"10306","STATEN ISLAND, NY",,10413,56126,242988,974
"10307","STATEN ISLAND, NY",,1177,7204,32807,218
"10308","STATEN ISLAND, NY",,2543,27946,107861,367
"10309","STATEN ISLAND, NY",,6538,56899,227793,587
"10310","STATEN ISLAND, NY","H",0,0,0,453
"10311","STATEN ISLAND, NY",,1362,25417,51991,25
"10312","STATEN ISLAND, NY",,5047,28245,134181,794
"10314","STATEN ISLAND, NY",,19051,132703,560319,1670
"10451","BRONX, NY",,14059,131133,609435,695
"10452","BRONX, NY",,5544,34770,142522,604
"10453","BRONX, NY",,3597,22956,93418,530
"10454","BRONX, NY",,7812,62453,256787,543
"10455","BRONX, NY",,10122,54219,218997,556
"10456","BRONX, NY",,5920,49369,193046,477
"10457","BRONX, NY",,11005,108123,438555,675
"10458","BRONX, NY",,12585,73180,308859,987
"10459","BRONX, NY",,4091,23204,94275,486
"10460","BRONX, NY",,6096,40065,148702,442
"10461","BRONX, NY",,17290,169681,701968,1186
"10462","BRONX, NY",,12251,89298,371266,992
"10463","BRONX, NY",,9188,59047,249997,959
"10464","BRONX, NY",,1135,6311,31637,155
"10465","BRONX, NY",,7109,72477,283781,438
"10466","BRONX, NY",,8251,65574,281671,606
"10467","BRONX, NY",,20494,238287,945975,978
"10468","BRONX, NY",,7363,47465,199939,718
"10469","BRONX, NY",,7640,52557,220112,602
"10470","BRONX, NY",,2276,19117,79029,278
"10471","BRONX, NY",,6806,45742,192550,362
"10472","BRONX, NY",,3030,18337,78424,467
"10473","BRONX, NY",,6314,48267,196405,329
"10474","BRONX, NY",,11027,100346,437394,594
"10475","BRONX, NY",,7788,50364,211733,317
"11001","FLORAL PARK, NY",,6753,40501,175804,641
"11003","ELMONT, NY",,7987,47395,208024,670
"11004","GLEN OAKS, NY",,2672,21115,86774,214
"11005","FLORAL PARK, NY",,315,2348,10687,38
"11040","NEW HYDE PARK, NY","J",0,0,0,1398
"11101","LONG ISLAND CITY, NY",,55880,525585,2216825,2699
"11102","ASTORIA, NY",,6277,51815,216604,637
"11103","ASTORIA, NY",,9326,59185,232095,1010
"11104","SUNNYSIDE, NY",,4472,29436,118368,483
"11105","ASTORIA, NY",,9240,94064,391946,838
"11106","ASTORIA, NY",,10820,86087,417194,911
"11109","LONG ISLAND CITY, NY",,20,217,1158,11
"11201","BROOKLYN, NY",,47705,524644,1963047,2284
"11203","BROOKLYN, NY",,15516,198981,667184,697
"11204","BROOKLYN, NY",,7828,40983,172827,1569
"11205","BROOKLYN, NY",,10989,67585,281449,742
"11206","BROOKLYN, NY",,16114,132872,549419,856
"11207","BROOKLYN, NY",,11128,77563,315546,745
"11208","BROOKLYN, NY",,9300,63555,266133,658
"11209","BROOKLYN, NY",,13866,110518,447023,1815
"11210","BROOKLYN, NY",,6292,38576,170691,839
"11211","BROOKLYN, NY",,25917,168734,695145,2039
"11212","BROOKLYN, NY",,9187,77100,320559,577
"11213","BROOKLYN, NY",,6230,60351,241261,546
"11214","BROOKLYN, NY",,9835,65386,263788,1397
"11215","BROOKLYN, NY",,15177,125778,518478,1486
"11216","BROOKLYN, NY",,3759,19900,82083,507
"11217","BROOKLYN, NY",,9018,70319,300473,833
"11218","BROOKLYN, NY",,7017,40548,179465,1228
"11219","BROOKLYN, NY",,22005,168474,722479,2172
"11220","BROOKLYN, NY",,17805,145667,592164,1587
"11221","BROOKLYN, NY",,3591,21564,92716,391
"11222","BROOKLYN, NY",,15450,132820,560450,1257
"11223","BROOKLYN, NY",,12018,74333,313463,1575
"11224","BROOKLYN, NY",,4614,36339,156248,525
"11225","BROOKLYN, NY",,3296,18236,80894,479
"11226","BROOKLYN, NY",,7195,38781,165085,967
"11228","BROOKLYN, NY",,4778,33774,140261,652
"11229","BROOKLYN, NY",,10368,60959,259771,1654
"11230","BROOKLYN, NY","J",0,0,0,1829
"11231","BROOKLYN, NY",,8356,66009,281905,811
"11232","BROOKLYN, NY",,17540,113141,485896,1104
"11233","BROOKLYN, NY",,3015,17582,68780,289
"11234","BROOKLYN, NY",,16112,108314,464822,1603
"11235","BROOKLYN, NY",,14677,109271,462064,1936
"11236","BROOKLYN, NY",,9046,72682,285960,888
"11237","BROOKLYN, NY",,11522,87085,374014,725
"11238","BROOKLYN, NY",,6477,46996,195024,578
"11239","BROOKLYN, NY",,1559,9891,45985,72
"11351","FLUSHING, NY",,33,166,743,9
"11354","FLUSHING, NY",,19099,154751,677144,2086
"11355","FLUSHING, NY",,13170,128582,506455,1403
"11356","COLLEGE POINT, NY",,9249,83353,353563,616
"11357","WHITESTONE, NY",,9298,84224,343564,883
"11358","FLUSHING, NY",,4663,31617,134918,904
"11359","BAYSIDE, NY",,193,1461,5608,6
"11360","BAYSIDE, NY",,3067,18748,84304,349
"11361","BAYSIDE, NY",,6898,53381,241429,866
"11362","LITTLE NECK, NY",,4951,39278,156480,402
"11363","LITTLE NECK, NY",,1042,6417,27257,178
