"ZIP","NAME","EMPFLAG","EMP","QP1","AP","EST"
"10001","NEW YORK, NY",,124661,1608935,5568152,7317
"10002","NEW YORK, NY",,19185,91736,386460,2277
"10003","NEW YORK, NY",,66250,688955,3055233,3683
"10004","NEW YORK, NY",,51582,2331796,7022508,1294
"10005","NEW YORK, NY",,38640,1247362,3771552,1287
"10006","NEW YORK, NY",,25918,774898,2739860,1067
"10007","NEW YORK, NY",,23652,332954,1213558,1327
"10009","NEW YORK, NY",,6710,38441,165606,860
"10010","NEW YORK, NY",,76520,2158561,5764100,3203
"10011","NEW YORK, NY",,57101,597104,2569635,3653
"10012","NEW YORK, NY",,43892,366887,1732962,2864
"10013","NEW YORK, NY","L",0,0,0,6175
"10014","NEW YORK, NY",,36028,455139,1800889,2166
"10016","NEW YORK, NY",,114990,1384476,5665926,6109
"10017","NEW YORK, NY",,161000,3651143,12896496,5584
"10018","NEW YORK, NY",,98291,1242037,5171419,6231
"10019","NEW YORK, NY",,157972,6547860,16935056,5155
"10020","NEW YORK, NY",,37202,1335710,3938825,760
"10021","NEW YORK, NY",,79168,1002112,4070706,5455
"10022","NEW YORK, NY",,135453,3655671,13016398,6997
"10023","NEW YORK, NY",,39977,417316,1774164,2265
"10024","NEW YORK, NY",,18783,130995,566888,1894
"10025","NEW YORK, NY",,37137,329435,1369518,1776
"10026","NEW YORK, NY",,1243,5478,22984,187
"10027","NEW YORK, NY",,12570,79478,329516,702
"10028","NEW YORK, NY",,17186,133801,572968,1881
"10029","NEW YORK, NY",,23555,265356,1069281,683
"10030","NEW YORK, NY",,1281,6448,26404,193
"10031","NEW YORK, NY",,3491,17915,76669,487
"10032","NEW YORK, NY",,13048,124182,532230,630
"10033","NEW YORK, NY",,5523,32683,140624,888
"10034","NEW YORK, NY",,3998,29685,120382,473
"10035","NEW YORK, NY",,7765,62887,260330,398
"10036","NEW YORK, NY",,125080,2050375,8083059,6236
"10037","NEW YORK, NY",,5313,34750,152203,137
"10038","NEW YORK, NY",,42422,684605,2488333,2147
"10039","NEW YORK, NY",,754,3916,15891,97
"10040","NEW YORK, NY",,3513,21106,89638,487
"10044","NEW YORK, NY",,3099,27253,121693,63
"10069","NEW YORK, NY",,126,1928,7710,11
"10103","NEW YORK, NY",,7290,171454,573647,141
"10110","NEW YORK, NY",,3522,51108,285331,229
"10111","NEW YORK, NY",,3589,88532,406446,215
"10112","NEW YORK, NY",,5667,227622,874041,109
"10115","NEW YORK, NY",,1976,19310,78803,67
"10119","NEW YORK, NY",,7313,157747,630221,262
"10128","NEW YORK, NY",,14749,122608,529998,1640
"10152","NEW YORK, NY",,966,50790,191704,130
"10153","NEW YORK, NY",,3346,291236,1119041,113
"10154","NEW YORK, NY",,6196,280305,843984,56
"10162","NEW YORK, NY",,100,809,3632,21
"10165","NEW YORK, NY",,4703,54525,259386,558
"10167","NEW YORK, NY",,8653,727475,1902275,88
"10168","NEW YORK, NY",,2314,66880,197505,186
"10169","NEW YORK, NY",,2676,77663,269960,251
"10170","NEW YORK, NY",,6340,67539,290585,337
"10171","NEW YORK, NY",,1894,98453,389238,31
"10172","NEW YORK, NY",,6671,1370020,2170559,87
"10173","NEW YORK, NY",,2042,28431,133665,159
"10174","NEW YORK, NY",,2662,56974,196023,116
"10177","NEW YORK, NY",,1797,52298,201564,40
"10199","NEW YORK, NY",,99,195,781,4
"10271","NEW YORK, NY",,6227,240682,744146,109
"10278","NEW YORK, NY",,130,1019,4241,12
"10279","NEW YORK, NY",,5819,38718,182161,176
"10280","NEW YORK, NY",,998,9295,49475,157
"10282","NEW YORK, NY",,1122,15890,73362,110
"10301","STATEN ISLAND, NY",,7465,44273,193064,602
"10302","STATEN ISLAND, NY",,3895,25577,110572,360
"10303","STATEN ISLAND, NY",,6065,44278,188928,332
"10304","STATEN ISLAND, NY",,6390,49590,214567,552
"10305","STATEN ISLAND, NY",,11868,108991,433863,688
"10306","STATEN ISLAND, NY",,9959,47743,209088,972
"10307","STATEN ISLAND, NY",,973,4923,23968,194
"10308","STATEN ISLAND, NY",,1763,8620,38142,343
"10309","STATEN ISLAND, NY","I",0,0,0,535
"10310","STATEN ISLAND, NY",,6207,55040,224997,424
"10311","STATEN ISLAND, NY",,1379,28050,79515,23
"10312","STATEN ISLAND, NY",,4602,24394,113858,777
"10314","STATEN ISLAND, NY",,18707,117318,510391,1642
"10451","BRONX, NY",,15307,108623,557094,649
"10452","BRONX, NY",,4238,25925,108723,528
"10453","BRONX, NY",,3688,21711,88719,493
"10454","BRONX, NY",,9329,61462,259959,491
"10455","BRONX, NY",,6344,38802,166117,518
"10456","BRONX, NY",,5795,47491,197855,428
"10457","BRONX, NY",,11184,119023,482232,635
"10458","BRONX, NY",,12723,66159,277612,984
"10459","BRONX, NY",,4389,24620,101509,459
"10460","BRONX, NY",,6384,31574,138190,376
"10461","BRONX, NY",,16773,142269,606369,1104
"10462","BRONX, NY",,12598,83653,351283,954
"10463","BRONX, NY",,8109,51384,219672,935
"10464","BRONX, NY",,1205,9660,34704,147
"10465","BRONX, NY",,8715,54744,236206,422
"10466","BRONX, NY",,8576,66890,275094,562
"10467","BRONX, NY",,21010,206046,869972,922
"10468","BRONX, NY",,6884,40711,169276,656
"10469","BRONX, NY",,7587,49179,203302,568
"10470","BRONX, NY",,2127,16297,70454,267
"10471","BRONX, NY",,6664,43131,187002,386
"10472","BRONX, NY",,2710,14949,63864,434
"10473","BRONX, NY",,6638,44925,191546,317
"10474","BRONX, NY",,10368,91862,420334,547
"10475","BRONX, NY",,6728,41148,170301,281
"11001","FLORAL PARK, NY",,4371,31612,144435,651
"11003","ELMONT, NY",,7279,43242,196391,660
"11004","GLEN OAKS, NY",,2619,20334,81991,189
"11005","FLORAL PARK, NY",,256,2088,8855,33
"11040","NEW HYDE PARK, NY",,22333,212336,905713,1350
"11101","LONG ISLAND CITY, NY",,60890,517478,2223518,2619
"11102","ASTORIA, NY",,6279,46182,200382,603
"11103","ASTORIA, NY",,8859,45434,222113,978
"11104","SUNNYSIDE, NY",,4732,27409,113157,457
"11105","ASTORIA, NY",,9352,85438,349823,797
"11106","ASTORIA, NY",,9267,75684,317905,878
"11109","LONG ISLAND CITY, NY",,18,57,295,7
"11201","BROOKLYN, NY",,43249,411990,1579752,2131
"11203","BROOKLYN, NY",,15416,166077,587042,670
"11204","BROOKLYN, NY",,8918,45329,189901,1656
"11205","BROOKLYN, NY",,10298,59355,256802,717
"11206","BROOKLYN, NY",,15672,107320,453467,791
"11207","BROOKLYN, NY",,10477,64558,281369,708
"11208","BROOKLYN, NY",,7951,52064,224806,597
"11209","BROOKLYN, NY",,13399,96494,405092,1731
"11210","BROOKLYN, NY",,6523,34949,154404,792
"11211","BROOKLYN, NY",,28247,160411,687792,1955
"11212","BROOKLYN, NY",,10548,77697,315812,520
"11213","BROOKLYN, NY",,4411,33613,129593,477
"11214","BROOKLYN, NY",,9549,55975,229276,1276
"11215","BROOKLYN, NY",,14619,110008,468307,1409
"11216","BROOKLYN, NY",,3495,18130,77735,472
"11217","BROOKLYN, NY",,8710,63727,268227,783
"11218","BROOKLYN, NY",,10236,56940,242440,1161
"11219","BROOKLYN, NY",,17674,148409,638630,2079
"11220","BROOKLYN, NY",,19145,134707,562050,1456
"11221","BROOKLYN, NY",,3382,19726,82691,374
"11222","BROOKLYN, NY",,16110,125899,546614,1177
"11223","BROOKLYN, NY",,10729,67705,300184,1551
