"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est"
"10001","NEW YORK, NY",,"G",126800,"G",1717610,"G",6893788,7305
"10002","NEW YORK, NY",,"G",19330,"G",121082,"G",523726,2775
"10003","NEW YORK, NY",,"G",79105,"G",1087678,"G",4550535,4099
"10004","NEW YORK, NY",,"G",52439,"H",3812523,"H",7683459,1379
"10005","NEW YORK, NY",,"G",39266,"G",1804006,"G",5056547,1274
"10006","NEW YORK, NY",,"G",18217,"G",611042,"G",1941371,828
"10007","NEW YORK, NY",,"G",25215,"G",518484,"G",1911581,1277
"10009","NEW YORK, NY",,"G",7130,"G",55185,"G",245147,1049
"10010","NEW YORK, NY",,"G",67134,"H",2544456,"H",7523363,2938
"10011","NEW YORK, NY",,"G",64013,"G",933795,"G",3636146,3823
"10012","NEW YORK, NY",,"H",49011,"G",600227,"G",2471013,2868
"10013","NEW YORK, NY",,"G",65745,"H",2172019,"H",5471964,5029
"10014","NEW YORK, NY",,"G",32561,"G",495468,"G",2010384,2264
"10016","NEW YORK, NY",,"G",102836,"G",1859707,"G",7348924,5800
"10017","NEW YORK, NY",,"G",136332,"G",5383514,"G",15534307,5168
"10018","NEW YORK, NY",,"G",106887,"G",1928595,"G",7392825,6457
"10019","NEW YORK, NY",,"G",139599,"H",5752230,"G",16290743,4932
"10020","NEW YORK, NY",,"G",28588,"G",1380058,"G",4279278,735
"10021","NEW YORK, NY",,"G",66817,"G",1128460,"G",4640720,4029
"10022","NEW YORK, NY",,"G",137138,"G",6222535,"G",19021964,6620
"10023","NEW YORK, NY",,"G",42302,"G",638217,"G",2464866,2228
"10024","NEW YORK, NY",,"G",19453,"G",172670,"G",753029,1976
"10025","NEW YORK, NY",,"G",20577,"H",198936,"H",870801,1996
"10026","NEW YORK, NY",,"G",2447,"G",15841,"G",69999,364
"10027","NEW YORK, NY",,"G",38502,"G",468289,"G",1883789,939
"10028","NEW YORK, NY",,"G",19589,"H",229335,"H",1001030,1960
"10029","NEW YORK, NY",,"G",25167,"G",330608,"G",1446876,908
"10030","NEW YORK, NY",,"G",2000,"G",12550,"G",53988,231
"10031","NEW YORK, NY",,"G",3857,"G",27073,"G",111115,662
"10032","NEW YORK, NY",,"G",14111,"G",199031,"G",864727,727
"10033","NEW YORK, NY",,"G",6507,"G",56338,"G",236948,963
"10034","NEW YORK, NY",,"G",3150,"G",20937,"G",89979,560
"10035","NEW YORK, NY",,"H",12403,"H",108705,"H",459755,536
"10036","NEW YORK, NY",,"G",146911,"G",4847793,"G",14622168,6003
"10037","NEW YORK, NY",,"G",4129,"G",45084,"G",192983,196
"10038","NEW YORK, NY",,"G",36778,"G",672718,"G",2523051,2062
"10039","NEW YORK, NY",,"G",1423,"G",8654,"G",35914,161
"10040","NEW YORK, NY",,"G",3829,"G",29878,"G",124086,514
"10044","NEW YORK, NY",,"G",2288,"G",29044,"G",124399,94
"10065","NEW YORK, NY",,"G",16965,"G",290638,"G",1312830,1037
"10069","NEW YORK, NY",,"G",400,"H",5205,"G",21729,73
"10075","NEW YORK, NY",,"G",3804,"G",50546,"G",243308,556
"10103","NEW YORK, NY",,"G",3500,"H",422717,"H",783233,103
"10110","NEW YORK, NY",,"G",2021,"G",37638,"G",174162,168
"10111","NEW YORK, NY",,"G",3411,"G",164554,"G",612737,172
"10112","NEW YORK, NY","I","D",0,"D",0,"D",0,127
"10115","NEW YORK, NY",,"H",1952,"H",23578,"H",94400,66
"10119","NEW YORK, NY",,"G",7544,"G",165647,"G",669649,311
"10128","NEW YORK, NY",,"G",16113,"G",147615,"G",622808,1687
"10152","NEW YORK, NY",,"G",886,"G",80362,"G",253781,74
"10153","NEW YORK, NY",,"G",5517,"G",289000,"G",944079,95
"10154","NEW YORK, NY","I","D",0,"D",0,"D",0,53
"10162","NEW YORK, NY",,"G",139,"G",1144,"G",4898,19
"10165","NEW YORK, NY",,"G",3636,"G",65824,"G",261290,431
"10167","NEW YORK, NY",,"G",3757,"G",244223,"G",613577,129
"10168","NEW YORK, NY",,"G",3219,"G",53255,"G",211685,198
"10169","NEW YORK, NY",,"G",2970,"G",118953,"G",396978,212
"10170","NEW YORK, NY",,"G",5855,"G",106610,"G",457287,308
"10171","NEW YORK, NY",,"G",2316,"G",353966,"G",737545,57
"10172","NEW YORK, NY",,"G",4681,"H",416803,"H",942647,59
"10173","NEW YORK, NY",,"G",493,"G",26211,"G",105874,48
"10174","NEW YORK, NY",,"H",4129,"H",87183,"G",306623,127
"10177","NEW YORK, NY",,"H",1502,"G",60955,"G",255543,37
