"zip","name","empflag","emp","qp1","ap","est"
"10001","NEW YORK, NY",,124254,1407962,6126496,7312
"10002","NEW YORK, NY",,18651,97745,420611,2682
"10003","NEW YORK, NY",,66952,857666,3564746,3867
"10004","NEW YORK, NY",,48682,3075162,7170041,1260
"10005","NEW YORK, NY",,39839,2709398,6303768,1214
"10006","NEW YORK, NY",,18224,536637,1902157,870
"10007","NEW YORK, NY",,21597,380592,1425874,1311
"10009","NEW YORK, NY",,7157,50953,219352,1029
"10010","NEW YORK, NY",,78015,2940460,7321830,3060
"10011","NEW YORK, NY",,58269,651086,2936393,3784
"10012","NEW YORK, NY",,49091,511452,2235392,2963
"10013","NEW YORK, NY",,69346,2737767,5637799,4948
"10014","NEW YORK, NY",,29331,509301,1905384,2271
"10016","NEW YORK, NY",,113271,1658833,7060003,6116
"10017","NEW YORK, NY",,140927,5404503,16565566,5346
"10018","NEW YORK, NY",,101961,1623895,6155747,6344
"10019","NEW YORK, NY",,139607,5981882,15852018,5058
"10020","NEW YORK, NY",,36344,1766194,4776967,750
"10021","NEW YORK, NY",,84058,1249557,5075128,5670
"10022","NEW YORK, NY",,144376,4958086,16397504,6668
"10023","NEW YORK, NY",,41656,458060,1921746,2291
"10024","NEW YORK, NY",,22450,164830,735477,2009
"10025","NEW YORK, NY",,19559,169704,728540,1907
"10026","NEW YORK, NY",,1749,9262,41987,293
"10027","NEW YORK, NY",,37321,376263,1579321,877
"10028","NEW YORK, NY",,21034,204812,915392,2021
"10029","NEW YORK, NY",,24185,298693,1288900,813
"10030","NEW YORK, NY",,1878,9743,42175,226
"10031","NEW YORK, NY",,3653,21966,88981,608
"10032","NEW YORK, NY",,14274,185344,821033,718
"10033","NEW YORK, NY",,6351,41435,179170,939
"10034","NEW YORK, NY",,3214,22140,88256,536
"10035","NEW YORK, NY",,10049,79779,338795,491
"10036","NEW YORK, NY",,148290,4789170,12788794,6282
"10037","NEW YORK, NY",,3732,39421,157949,157
"10038","NEW YORK, NY",,42732,670225,2628353,2095
"10039","NEW YORK, NY",,966,5344,23133,144
"10040","NEW YORK, NY",,4149,27730,116620,535
"10044","NEW YORK, NY",,1958,23595,95748,67
"10069","NEW YORK, NY",,288,3761,18444,43
"10103","NEW YORK, NY",,5628,296595,694573,120
"10110","NEW YORK, NY",,2865,42201,189962,197
"10111","NEW YORK, NY",,3011,101842,444002,181
"10112","NEW YORK, NY",,6212,179065,664557,112
"10115","NEW YORK, NY",,1827,17791,74718,58
"10119","NEW YORK, NY",,6297,151524,589688,272
"10128","NEW YORK, NY",,13908,126993,534553,1719
"10152","NEW YORK, NY",,876,52342,176542,105
"10153","NEW YORK, NY",,3029,232465,598361,94
"10154","NEW YORK, NY",,4852,278654,691922,54
"10162","NEW YORK, NY",,193,2192,10674,23
"10165","NEW YORK, NY",,4713,61144,271510,492
