block,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
7055    ,2,3,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,1,0,0,1,0
7054    ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,1,1,0,1,1,1
7053    ,1,2,0,0,0,0,0,1,2,1,0,3,0,0,0,0,1,0,0,0,1,2,0
7052    ,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,1,1,0,0,0,1,0
7051    ,0,1,2,0,0,1,0,1,1,1,0,1,0,0,4,0,0,0,2,1,0,0,1
7050    ,1,1,0,1,1,0,0,0,4,1,1,2,0,6,1,0,4,0,2,5,1,1,2
7049    ,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1
7048    ,1,1,1,0,0,0,0,0,1,1,1,0,1,3,2,1,4,1,1,2,0,3,1
7047    ,0,0,1,0,0,0,0,0,1,1,0,3,2,2,3,1,1,0,1,1,1,0,1
7046    ,1,0,1,0,0,0,0,0,2,2,1,0,2,0,1,2,2,0,1,2,5,2,2
7045    ,0,2,3,1,2,1,3,0,1,1,2,1,2,4,4,0,3,0,1,4,1,2,0
7044    ,7,9,6,2,6,1,3,7,12,10,10,11,15,15,11,2,10,3,6,5,8,0,2
7043    ,1,0,1,4,1,0,0,1,3,4,0,6,8,5,7,1,1,3,2,4,3,0,3
7042    ,8,1,1,0,3,3,1,3,2,2,0,2,1,4,0,0,2,1,0,0,0,2,1
7041    ,4,4,1,0,3,0,0,12,8,8,1,5,8,5,8,2,3,1,3,1,2,1,5
7040    ,0,0,1,1,0,1,0,2,0,0,1,1,4,1,1,0,3,1,0,2,0,1,1
7039    ,1,3,3,1,0,2,0,2,1,0,6,3,4,2,2,1,0,1,2,3,0,3,2
7038    ,0,1,1,0,3,1,0,2,2,2,0,3,3,0,1,0,1,0,1,4,2,2,2
7037    ,0,4,4,2,1,1,0,2,0,4,1,5,5,7,3,0,3,1,0,2,1,0,1
7036    ,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,1,0,1
7035    ,1,2,3,2,0,2,1,1,3,4,1,6,1,1,3,0,1,1,0,0,0,3,0
7034    ,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,3,0,0,2,1,0,0
7033    ,10,3,9,6,4,1,2,5,3,11,8,11,17,5,6,1,1,0,2,1,0,1,3
7032    ,2,2,0,1,1,1,0,0,3,4,2,1,1,4,7,0,1,0,0,1,1,0,1
7031    ,2,2,3,3,0,0,1,1,3,5,3,3,5,6,2,0,2,0,0,1,1,2,1
7030    ,1,6,2,1,3,0,0,2,6,2,5,2,2,8,2,0,0,0,1,2,1,2,0
7029    ,0,1,3,0,1,0,0,0,2,1,2,0,1,2,3,0,0,0,0,0,0,0,0
