2289    ,0,3
2000    ,216417,737217
3008    ,26026,84355
5140    ,1,5
4286    ,0,0
4057    ,365,1267
6184    ,0,0
1036    ,4595,14542
1515    ,0,0
1583    ,0,0
5152    ,2,7
4349    ,0,0
4249    ,5,10
1190    ,26,95
4396    ,0,0
4344    ,0,0
3288    ,0,4
4218    ,0,0
1327    ,0,0
2056    ,1159,3662
1126    ,126,395
3027    ,4692,15744
0051    ,0,0
4023    ,3251,10450
4095    ,189,600
6193    ,0,0
5074    ,64,150
4074    ,105,359
7014    ,157,387
1130    ,90,448
7021    ,113,347
4242    ,2,1
1033    ,5313,18448
3340    ,0,1
1300    ,0,0
2264    ,8,25
4007    ,15930,51312
1340    ,4,38
1022    ,13089,44640
6099    ,5,15
2102    ,179,602
5051    ,193,672
6034    ,80,408
3368    ,0,5
3292    ,0,0
1018    ,16989,55999
4157    ,0,0
4103    ,87,230
0007    ,0,0
2241    ,8,24
1067    ,1334,4696
4158    ,0,4
1078    ,778,2657
1257    ,0,2
6057    ,7,41
4358    ,0,0
0016    ,0,0
8016    ,2,5
2179    ,19,81
4170    ,3,8
3145    ,29,67
1364    ,0,0
2345    ,0,0
5001    ,18728,73025
2144    ,58,242
5031    ,608,2165
1379    ,0,0
3116    ,53,210
6064    ,27,61
3215    ,0,0
2211    ,7,36
3125    ,18,78
6091    ,30,83
6071    ,18,81
6128    ,0,0
1239    ,6,24
2401    ,0,0
1408    ,0,0
3219    ,0,6
5122    ,7,46
3054    ,783,2618
1206    ,4,38
6200    ,0,0
3039    ,1990,6541
3061    ,623,1997
3036    ,2871,8814
2379    ,0,0
4303    ,0,0
3175    ,0,25
2311    ,0,0
1429    ,0,0
1029    ,7684,23486
2074    ,806,2508
6107    ,1,4
1281    ,0,0
3299    ,0,0
2306    ,0,0
3242    ,0,6
1450    ,0,0
5124    ,23,70
7043    ,14,99
2137    ,79,239
5170    ,0,0
0008    ,0,0
3362    ,0,0
3338    ,0,3
1430    ,0,0
4354    ,0,0
2017    ,15440,49054
2081    ,435,1746
2319    ,0,0
4004    ,20147,65290
4207    ,16,61
1000    ,204133,715776
3225    ,0,3
1201    ,10,27
3165    ,7,27
6011    ,1429,6468
5117    ,22,67
1528    ,0,0
2024    ,9348,28498
5078    ,79,255
3346    ,0,0
5081    ,28,58
1491    ,0,0
2169    ,17,54
2162    ,34,107
1075    ,711,4750
2338    ,0,0
2031    ,5494,18061
1129    ,173,537
1563    ,0,0
1175    ,34,118
7062    ,0,0
2110    ,139,491
0003    ,0,0
1568    ,0,0
3137    ,28,92
4215    ,0,0
3324    ,0,1
5060    ,108,379
6039    ,101,310
3126    ,57,282
7013    ,225,582
0046    ,0,0
6218    ,0,0
6019    ,336,1164
3170    ,4,8
4334    ,0,0
1191    ,11,56
1505    ,0,0
4140    ,14,50
8002    ,108,573
6174    ,0,0
0050    ,0,0
6119    ,5,13
3003    ,52878,172398
6141    ,0,0
5025    ,819,2660
4321    ,0,6
6116    ,0,5
4280    ,0,0
6095    ,4,21
1115    ,169,706
1416    ,0,0
1295    ,0,1
1082    ,809,2539
2207    ,16,1343
3320    ,0,5
7036    ,3,11
2312    ,0,0
1448    ,0,3
4316    ,0,0
2051    ,1713,6524
3178    ,5,3
2271    ,7,27
5135    ,0,11
3237    ,3,9
3263    ,5,8
1224    ,5,7
4230    ,0,0
3238    ,0,0
4307    ,0,0
1180    ,67,161
1213    ,3,24
3349    ,1,6
1387    ,0,0
3210    ,0,9
1488    ,0,4
1025    ,9769,32240
1372    ,2,12
3022    ,7590,25425
4191    ,2,23
2332    ,0,0
5174    ,0,4
1253    ,0,9
4056    ,474,1526
3296    ,0,1
5057    ,118,387
1423    ,0,5
7020    ,17,77
4350    ,0,3
2250    ,6,16
3328    ,0,0
4250    ,0,11
2350    ,0,0
1399    ,0,0
2079    ,560,2015
4151    ,4,20
3053    ,1015,3373
1268    ,5,21
2059    ,1240,4147
1342    ,0,0
3190    ,0,1
4008    ,12848,42125
2395    ,0,0
2294    ,2,4
6003    ,2569,10300
2381    ,0,0
2181    ,19,85
3316    ,1,17
1353    ,4,26
1019    ,17469,56053
3093    ,260,663
4176    ,4,18
4102    ,50,185
4243    ,0,4
3083    ,257,913
1071    ,1091,3538
4276    ,2,15
6090    ,5,23
2132    ,113,263
1324    ,0,0
5011    ,4101,13851
0062    ,0,0
6123    ,1,2
4090    ,162,519
1151    ,73,452
1529    ,0,0
4211    ,15,33
1079    ,722,2335
1305    ,0,6
1552    ,0,0
2265    ,0,0
4000    ,88077,319987
6098    ,18,69
3160    ,7,53
