block,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
8014    ,1,2,5,2,1,0,1,2,1,2,3,5,0,0,2,0,0,0,0,1,0,0,0
8013    ,12,7,11,2,3,3,4,8,6,8,5,5,6,6,8,2,5,0,3,2,0,2,2
8012    ,1,2,2,1,0,0,1,0,4,2,0,3,0,2,4,0,0,0,1,1,2,0,0
8011    ,1,0,0,1,0,2,0,1,0,2,0,1,0,2,0,0,1,1,0,1,1,1,0
8010    ,1,2,9,1,1,1,1,3,7,5,5,5,7,8,4,4,8,1,0,4,2,3,1
8009    ,7,5,3,3,3,1,1,4,3,6,4,14,18,11,3,5,3,2,7,6,2,2,0
8008    ,2,2,1,1,1,0,0,3,4,3,5,3,1,0,3,2,3,0,2,2,4,1,0
8007    ,8,2,4,6,2,1,1,9,4,9,9,4,15,9,8,3,4,2,3,3,3,0,0
8006    ,9,15,13,8,7,3,3,11,13,13,17,18,21,11,16,2,5,1,3,7,4,1,3
8005    ,15,27,18,20,6,2,6,13,16,17,18,18,28,28,23,7,8,4,5,13,16,5,5
8004    ,11,13,18,15,5,1,2,5,8,7,17,10,17,14,16,6,9,4,5,9,4,6,3
8003    ,11,17,13,10,5,2,4,11,13,17,18,16,19,16,13,0,6,3,11,5,6,4,2
8002    ,19,14,18,14,6,2,2,23,46,27,12,14,20,24,27,8,7,4,8,8,10,4,6
8001    ,72,69,65,37,19,9,15,128,186,114,99,108,97,106,98,34,62,41,46,52,60,39,39
8000    ,426,305,286,141,146,68,45,304,807,770,576,519,470,420,408,161,233,119,161,168,151,117,95
7074    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7073    ,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7072    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7071    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7070    ,2,3,0,1,2,0,0,1,0,3,1,1,3,6,2,1,1,0,1,3,4,1,0
7069    ,4,2,0,0,0,1,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0
7068    ,0,2,2,2,1,0,0,0,3,1,0,1,0,5,1,0,1,0,0,0,0,0,0
7067    ,1,2,0,1,0,0,0,1,3,1,1,2,3,3,1,1,0,0,1,1,0,0,0
7066    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
7065    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
