BBLE,Market_Value
1000151300,123279
1000151301,131842
1000151302,137579
1000151303,170421
1000151304,173290
1000151305,160836
1000151306,224368
1000151307,194409
1000151308,123894
1000151309,131842
1000151310,138198
1000151311,171082
1000151312,173962
1000151313,161516
1000151314,225660
1000151315,195750
1000151316,124582
1000151317,133130
1000151318,138874
1000151319,141970
1000151320,151996
1000151321,157455
1000151322,215638
1000151323,177176
1000151324,124582
1000151325,135390
1000151326,138536
1000151327,128742
1000151328,139436
1000151329,144896
1000151330,183198
1000151331,178521
1000151332,125243
1000151333,139387
1000151334,137468
1000151335,129418
1000151336,140113
1000151337,145583
1000151338,184550
1000151339,181556
1000151340,125923
1000151341,140010
1000151342,140173
1000151343,174969
1000151344,195924
1000151345,183087
1000151346,145245
1000151347,150142
1000151348,144170
1000151349,176268
1000151350,196323
1000151351,153356
1000151352,128742
1000151353,120407
1000151354,122998
1000151355,177617
1000151356,195924
1000151357,154648
1000151358,129418
1000151359,118990
1000151360,123666
1000151361,175539
1000151362,198964
1000151363,155993
1000151364,130038
1000151365,121866
1000151366,124343
1000151367,180269
1000151368,198572
1000151369,157292
1000151370,130710
1000151371,122542
1000151372,124970
1000151373,181556
1000151374,201608
1000151375,158648
1000151376,131386
1000151377,123161
1000151378,125650
1000151379,191476
1000151380,207587
1000151381,163256
1000151382,138642
1000151383,130486
1000151384,130946
1000157501,0
1000157502,0
1000160001,15869000
1000160003,278747000
1000160010,68345000
1000160012,8143000
1000160015,42267000
1000160020,36361000
1000160040,46104000
1000160100,350920000
1000160120,327777777
1000160125,417586000
1000160140,421283000
1000160150,423026000
1000160160,6295000
1000160180,101523000
1000160185,79148000
1000160190,88741000
1000160195,87550000
1000160200,102264000
1000160205,84931000
1000160210,82930000
1000160215,134558000
1000160220,37310000
1000160221,55689000
1000160225,128562000
1000160260,661735000
1000161001,321000
1000161002,362648
1000161003,238591
1000161004,228278
1000161005,228278
1000161006,231711
1000161007,230838
1000161008,230838
1000161009,234282
1000161010,233402
1000161011,233402
1000161012,236842
1000161013,236020
1000161014,233402
1000161015,237719
1000161016,235155
1000161017,235155
1000161018,240353
1000161019,237719
1000161020,237719
1000161021,242908
1000161022,502238
1000161023,240353
1000161024,245480
1000161025,242908
1000161026,251542
1000161027,237719
1000161028,197261
1000161029,198960
1000161030,200702
1000161031,202392
1000161032,204138
1000161033,205888
1000161034,207586
1000161035,209324
1000161036,211022
1000161037,212768
1000161038,215328
1000161039,301495
1000161040,239468
1000161041,239468
1000161042,239468
1000161043,242032
1000161044,242032
1000161045,259284
1000161046,261859
1000161048,261859
1000161049,264423
1000161050,264423
1000161051,273053
1000161052,284246
1000161053,275608
1000161054,277362
1000161055,279933
1000161056,281671
1000161057,283370
1000161058,285111
1000161059,288552
1000161060,290305
1000161061,292861
1000161062,223089
1000161063,223089
1000161064,236842
1000161065,193821
1000161066,194643
1000161067,195512
1000161068,203265
1000161069,203265
1000161070,215328
1000161071,217895
1000161072,217895
1000161073,220521
1000161074,220521
1000161075,220521
1000161076,229147
1000161077,142115
1000161078,133493
1000161079,134370
1000161080,135243
1000161081,136116
1000161082,136929
1000161083,137802
1000161084,138675
1000161085,139552
1000161086,140421
1000161087,141258
1000161088,142115
1000161089,223965
1000161090,193821
1000161091,194643
1000161092,195512
1000161093,203265
1000161094,203265
1000161095,220521
1000161096,223089
1000161097,223089
1000161098,223089
1000161099,225652
1000161100,225652
1000161101,234282
1000161102,396221
1000161103,142996
1000161104,143869
1000161105,144694
1000161106,145559
1000161107,146432
1000161108,147301
1000161109,148182
1000161110,148992
1000161111,149873
1000161112,150749
1000161113,292861
1000161114,222216
1000161115,222216
1000161116,222216
1000161117,224823
1000161118,224823
1000161119,242032
1000161120,244603
1000161121,244603
1000161122,244603
1000161123,247221
1000161124,247221
1000161125,255852
1000161126,172248
1000161127,172248
1000161128,172248
1000161129,174874
1000161130,174874
1000161131,174874
1000161132,177442
1000161133,177442
1000161134,177442
1000161135,180013
1000161136,235155
1000161137,236020
1000161138,236842
1000161139,241167
1000161140,242032
1000161141,242908
1000161142,247221
1000161143,248098
1000161144,248920
1000161145,253225
1000161146,254106
1000161147,254979
1000161148,263605
1000161149,228278
1000161150,142996
1000161151,143869
1000161152,144694
1000161153,145559
1000161154,146432
1000161155,147301
1000161156,148182
1000161157,148992
1000161158,149873
1000161159,150749
1000161160,311815
1000161161,308371
1000161162,313553
1000161163,316997
1000161164,313553
1000161165,318692
1000161166,323001
1000161167,320434
1000161168,324747
1000161169,327314
1000161170,331631
1000161171,331631
1000161172,348828
1000161173,146432
1000161174,147301
1000161175,148182
1000161176,148992
1000161177,149873
1000161178,150749
1000161179,151618
1000161180,152440
1000161181,153313
1000161182,154178
1000161183,155062
