name,parent,CPU,SIZE,COMMAND,RUSER,S
1836,1,0.0,520,gvfsd-metadata,ubuntu,S
1838,1306,0.0,223956,update-notifier,ubuntu,S
1867,1,0.1,300688,gnome-terminal,ubuntu,S
1876,1867,0.0,324,gnome-pty-helpe,ubuntu,S
1877,1867,0.0,2504,bash,ubuntu,S
1933,1306,0.0,221832,deja-dup-monito,ubuntu,S
1953,1,0.0,221928,gvfsd-network,ubuntu,S
1962,1,0.0,524,gvfsd-dnssd,ubuntu,S
1965,1,0.0,222092,gvfsd-smb-brows,ubuntu,S
1973,1,0.0,222212,gvfsd-smb,ubuntu,S
1979,1,0.0,222212,gvfsd-smb,ubuntu,S
1990,1,0.2,466640,gedit,ubuntu,S
2041,2,0.0,0,kworker/0:0,root,S
2069,1877,0.0,664,ps,ubuntu,R

