X,Y,GISPROPNUM,LOCATION,WATERFRONT,SIGNNAME,BOROUGH,COMFORTSTA,TYPECATEGO,EAPPLY,SHAPE_area,SHAPE_len,ZCTA5CE00,CLASSFP00,MTFCC00,FUNCSTAT00
999268.58471000159625,192268.396999966324074,B439,Tompkins Ave. and Willoughby Ave.,N,All People's Church of the Apostolic Faith Community Garden,B,N-CONFSTA-PARK,Garden,All People's Church Of The Apostolic Fa*,3160.41643618000,248.82646804300,11206,B5,G6350,S
1008132.586941078305244,181650.989797291200375,B440,Blake Ave. between Herzl St. and Amboy St.,N,Amboy Neighborhood Center,B,N-CONFSTA-PARK,Garden,Amboy Neighborhood Center,17554.00927910000,646.69282752500,11212,B5,G6350,S
999034.334321123431437,191824.723900643468369,B441,Hart St. between Marcy Ave. and Tompkins Ave.,N,American Heart,B,N-CONFSTA-PARK,Garden,American Heart,2284.82243864000,250.94822770700,11206,B5,G6350,S
1014187.49454106471967,183286.350271426141262,B442,Sutter Ave. between Wyona St. and Bradford St.,N,P.S. 149 Artsy Bloom Community Garden,B,N-CONFSTA-PARK,Garden,Ps 149 Artsy Bloom Community Garden,2462.47913642000,256.90587379000,11207,B5,G6350,S
1017946.839557238272391,184781.71783203369705,B443,Atkins Ave. between Belmont Ave. and Pitkin Ave.,N,Atkins Gardeners,B,N-CONFSTA-PARK,Garden,Atkins Gardeners,2883.38764259000,260.41385872700,11208,B5,G6350,S
994358.141064064111561,199172.527962227788521,B444,Berry St. between S. 3 St. and S. 2 St.,N,Berry Street Garden,B,N-CONFSTA-PARK,Garden,Berry Street Garden,5946.01563223000,368.99240136500,11211,B5,G6350,S
998073.154263467527926,197879.928823177702725,B445,Ten Eyck St. between Union Ave. and Lorminer St.,N,Ten Eych Houses Hdfc,B,Y-CONFSTA-PARK,Garden,Ten Eych Houses Hdfc,4997.15977646000,301.44814072100,11206,B5,G6350,S
1014891.058648466598243,182815.705708133231383,B447,Blake Ave. and Van Siclen Ave.,N,Causa Festival Garden,B,N-CONFSTA-PARK,Garden,Causa Festival Garden,9010.15479006000,430.87593871800,11207,B5,G6350,S
995586.138651531538926,189846.191990952793276,B448,Greene Ave. between Classon Ave. and Franklin Ave.,N,Cedar Tree Garden,B,N-CONFSTA-PARK,Garden,Cedar Tree Garden,7988.51071572000,412.44529386600,11238,B5,G6350,S
1015564.992832425516099,181938.868055867351359,B449,Livonia Ave. between Hendrix St. and Schenck Ave.,N,New Vision Garden,B,N-CONFSTA-PARK,Garden,New Vision Garden,15138.05243080000,618.06843897200,11207,B5,G6350,S
1015006.973212373210117,184994.266749759524828,B450,Glenmore Ave. between Schenck Ave. and Hendrix St.,N,Clara's Garden,B,N-CONFSTA-PARK,Garden,Clara's Garden,6206.23671669000,315.12060201700,11207,B5,G6350,S
996830.037053134758025,190135.823083390627289,B451,Clifton Pl. and Bedford Ave.,N,Clifton Pl Memorial Park and Garden,B,N-CONFSTA-PARK,Garden,Clifton Pl Memorial Park and Garden,7569.50996727000,348.66369292500,11216,B5,G6350,S
1018046.977317795390263,184805.762283840711461,B453,Montauk Ave. between Pitkin Ave. and Belmont Ave.,N,Concerned Residents of Montauk Avenue,B,N-CONFSTA-PARK,Garden,Concerned Residents of Montauk Avenue,4154.68066089000,287.73884304600,11208,B5,G6350,S
1009007.296649105264805,188739.50798809871776,B454,Cooper St. between Bushwick Ave. and Broadway,N,Cooper St Block Buster Bl Association,B,N-CONFSTA-PARK,Garden,Cooper St Block Buster Bl Association,7178.70347643000,348.05101183600,11207,B5,G6350,S
1018811.367215348291211,186341.867525468114763,B455,Wells St. and Crystal St.,N,Crystal Wells Block Association,B,N-CONFSTA-PARK,Garden,Crystal Wells Block Association,15022.18649850000,498.73248971100,11208,B5,G6350,S
997107.925985221168958,186085.558389752055518,B456,Dean St. between Bedford Ave. and Franklin Ave.,N,Walt L Shemal Garden,B,N-CONFSTA-PARK,Garden,Walt L Shemal Garden,6529.50542360000,330.91377609400,11216,B5,G6350,S
1014545.480281171272509,184729.857423537177965,B458,Glenmore Ave. and Van Siclen Ave.,N,East End Community Garden,B,N-CONFSTA-PARK,Garden,E End Community Garden,7457.84336321000,458.98210155100,11207,B5,G6350,S
995555.879957144730724,183504.190982464235276,B459,Eastern Pkwy. to Union St. between Franklin Ave. and Classon Ave.,N,Eastern Parkway Coalition,B,N-CONFSTA-PARK,Garden,Eern Parkway Coalition,19068.74646510000,600.45949095800,11225,B5,G6350,S
1017028.356364638428204,182911.771026237111073,B460,Elton St. between Dumont Ave. and Blake Ave.,N,Elton St Block Association,B,N-CONFSTA-PARK,Garden,Elton St Block Association,4283.79309122000,275.19690167700,11208,B5,G6350,S
1019795.715112885343842,184736.156522361474345,B461,Doscher St. - Euclid Ave. bet. Belmont Ave. and Sutter Ave.,N,Euclid Garden,B,N-CONFSTA-PARK,Garden,Euclid Garden,8073.39183153000,479.00781955600,11208,B5,G6350,S
1017167.684064255328849,181708.744372905843193,B462,Cleveland St. between Hegeman Ave. and New Lots Ave.,N,Family Community Garden,B,N-CONFSTA-PARK,Garden,Family Community Garden,11943.35970330000,439.05692418100,11208,B5,G6350,S
