,BOROUGH,COMFORTSTA,EAPPLY,GISPROPNUM,LOCATION,SHAPE_area,SHAPE_len,SIGNNAME,TYPECATEGO,WATERFRONT
175,X,Y-CONFSTA-PARK,Captain Rivera Playground,X194,E 156 St bet. Jackson Av and Forest Av,43050.3146094,830.003138667,Captain Rivera Playground,Playground,N
176,X,N-CONFSTA-PARK,St. Ann's Block Association Garden,X345,St Ann's Ave. at Rae St.,1152.92290046,177.928879204,St. Ann's Block Association Garden,Garden,N
177,Q,N-CONFSTA-PARK,Kissena Corridor West,Q300,"Booth Memorial Ave., Crommelin St., Colden St. bet. College Pt. Blvd. and Kissena Blvd.",4578151.12789,20201.029247,Kissena Corridor Park,Community Park,N
178,X,N-CONFSTA-PARK,Eagle Slope,X276,Westchester Av bet. St Ann's Av and Eagle Ave,16474.2446218,633.71990889,Eagle Slope,Undeveloped,N
179,X,N-CONFSTA-PARK,Isla Verde Garden,X314,E 151 St bet. Concord Av and Wales Av,6581.64038739,336.181111506,Isla Verde Garden,Garden,N
180,X,N-CONFSTA-PARK,Courtlandt Avenue Association Garden,X338,E 158 St bet. Melrose Av and Courtlandt Av,7404.06123365,348.495313482,Courtlandt Avenue Association Garden,Garden,N
181,X,Y-CONFSTA-PARK,Playground One Thirty Four CXXXIV,X138,E. 133 St. and Bruckner Blvd. bet. St Ann's Pl. and Cypress Ave.,70231.7702273,1760.37274465,Playground One Thirty Four CXXXIV,Neighborhood Park,N
182,X,N-CONFSTA-PARK,Co-op City Field,X251,Co-op City Blvd. and the Hutch. River bet. Carver Loop and Bellamy Loop,147354.055325,1575.04562818,Co-op City Field,Recreation Field/Courts,N
183,M,N-CONFSTA-PARK,James J Walker Park,M038,"Hudson St, St Luke's Pl, Clarkson St, 7 Av",72630.5779384,1186.8192593,James J Walker Park,Neighborhood Park,N
184,M,N-CONFSTA-PARK,J. Hood Wright Park,M099,W. 173 St. bet. Haven Ave. and Ft. Washington Ave.,291980.999919,2196.940343,J. Hood Wright Park,Neighborhood Park,N
185,M,N-CONFSTA-PARK,Worth Square,M101,"Broadway, 5 Ave., W. 24 St. to W. 25 St.",11738.584399,470.539757083,Worth Square,Triangle/Plaza,N
186,Q,N-CONFSTA-PARK,Sunset Cove Park,Q498,W. 19 Rd. bet Jamaica Bay and Cross Bay Blvd.,407629.899284,2698.52995794,Sunset Cove Park,Undeveloped,Y
187,M,Y-CONFSTA-PARK,Bradhurst Urban Renewal Park,M355,W. 146 St. bet. Fredrick Douglass Blvd. and Adam Clayton Powell Blvd.,19044.8712227,578.968577701,Bradhurst Urban Renewal Park,Garden,N
188,B,N-CONFSTA-PARK,Hart to Hart,B474,Hart St. bet. Marcy Ave. and Tompkins Ave.,14489.811915,487.088216878,Hart To Hart,Garden,N
189,Q,N-CONFSTA-PARK,Broad Channel American Park,Q467,Cross Bay Blvd. bet. W. 20 Rd. and Beach Channel,818214.894899,5231.17585784,Broad Channel American Park,Recreation Field/Courts,Y
190,M,N-CONFSTA-PARK,Haven Avenue,M092A,"E/s Riverside Dr., Haven Ave., W. 176 St. To W. 178 St.",62853.2870385,1622.18457552,Haven Avenue,Parkway,N
191,M,N-CONFSTA-PARK,Father Duffy Square,M093,"Broadway, W. 46 St. To W. 47 St., 7 Ave.",3344.6293087,343.532661616,Father Duffy Square,Triangle/Plaza,N
192,M,N-CONFSTA-PARK,Broadway Malls,M095,"Broadway, W. 135 St. To W. 156 St.",101855.159561,9895.69633421,Broadway Malls,Mall,N
193,M,N-CONFSTA-PARK,Broadway Malls,M095A,"Broadway, W 156 St To W 168 St",51700.0816725,5546.08329948,Broadway Malls,Mall,N
194,M,N-CONFSTA-GREENST,Adam Clayton Powell Jr. Malls,M096,"7 Ave., W. 110 St. To W. 152 St.",83006.8831627,17293.63034,Adam Clayton Powell Jr. Malls,Mall,N
195,M,N-CONFSTA-PARK,Verdi Square,M097,"Broadway, Amsterdam Ave. and W. 73 St.",4132.17087353,387.994215954,Verdi Square,Triangle/Plaza,N
196,M,N-CONFSTA-PARK,Straus Park,M085,"Broadway, W. 106 St., W. End Ave.",3451.08994161,310.23108232,Straus Park,Triangle/Plaza,N
197,M,N-CONFSTA-PARK,Stuyvesant Square,M086,"Rutherford Pl. To N D Perlman Pl., E 15 St. To E 17 St.",175916.95753,2583.56390772,Stuyvesant Square,Neighborhood Park,N
