,BOROUGH,COMFORTSTA,EAPPLY,GISPROPNUM,LOCATION,SHAPE_area,SHAPE_len,SIGNNAME,TYPECATEGO,WATERFRONT
363,X,Y-CONFSTA-ZONE,Crotona Parkway Malls,X011,Crotona Pkwy bet. Bronx Park South and E 175 St,156459.535857,6853.52064392,Crotona Parkway Malls,Mall,N
364,X,N-CONFSTA-PARK,Mott Playground,X115,Morris Av bet. Mc Clellan St and E 166 St,41760.851594,818.418288211,Mott Playground,Jointly Operated Playground,N
365,X,N-CONFSTA-PARK,Cpl Fischer Park,X269,Nelson Av bet. W 169 St and W 170 St,24251.2531167,1008.78956675,Cpl Fischer Park,Undeveloped,N
366,X,Y-CONFSTA-PLGD,Arcilla Playground,X219,E 164 St bet. Teller Av and Clay Av at Park Ave,62093.5255968,999.15072109,Arcilla Playground,Jointly Operated Playground,N
367,M,N-CONFSTA-PARK,Hancock Park,M034,"St Nicholas Av, Manhattan Av, W 123 St",3215.87185198,252.29659465,Hancock Park,Triangle/Plaza,N
368,M,N-CONFSTA-PARK,Colonel Charles Young Triangle,M035,"7 Ave., Macombs Pl., At W. 153 St.",38438.9985899,802.098543838,Colonel Charles Young Triangle,Triangle/Plaza,N
369,M,N-CONFSTA-PARK,Herald Square,M036,"Broadway, Av Of Americas, bet. W 34 St and W 35 St",9114.70829424,523.983096329,Herald Square,Triangle/Plaza,N
370,X,N-CONFSTA-PARK,Park,X226,E 170 St bet. Grant Av and Sheridan Av,592.630724361,122.823648288,Park,Undeveloped,N
371,X,N-CONFSTA-PARK,Dred Scott Bird Sanctuary,X271A,Grant Av bet. E 169 St and E 170 St,20625.4601178,611.700104997,Dred Scott Bird Sanctuary,Garden,N
372,M,N-CONFSTA-PARK,Gorman Park,M031,"Broadway To Wadsworth Terr, W 189 St To W 190 St",77197.7460679,1115.79480843,Gorman Park,Neighborhood Park,N
373,M,N-CONFSTA-PARK,Greeley Square Park,M032,"Broadway, Av Of Americas, bet. W 32 St and W 33 St",6423.28597451,447.424639076,Greeley Square Park,Triangle/Plaza,N
374,X,Y-CONFSTA-PARK,Claremont Neighborhood Garden,X321,E 169th St bet. Teller Av and Clay Av,8500.08164875,370.003212715,Claremont Neighborhood Garden,Garden,N
375,M,Y-CONFSTA-PARK,Coleman Playground,M019,"Cherry St, Pike St, Monroe St",92345.0372345,1598.1537839,Coleman Playground,Playground,N
376,M,N-CONFSTA-PARK,Donnellan Square,M023,"St Nicholas Av, W 150 St To St Nicholas Av",4707.49296119,323.411842478,Donnellan Square,Triangle/Plaza,N
377,M,N-CONFSTA-PARK,Duane Park,M025,"Hudson St., Duane St.",5009.87840169,324.395846402,Duane Park,Triangle/Plaza,N
378,M,N-CONFSTA-PARK,Dyckman House Museum,M026,Broadway and W. 204 St.,23710.6325409,651.293085151,Dyckman House Museum,Historic House Park,N
379,X,N-CONFSTA-PARK,Highbridge Park,X120,Dr. MLK Jr. Blvd. at W. 170 St.,35315.2673348,1022.8806489,Highbridge Park,Neighborhood Park,N
380,X,N-CONFSTA-PARK,Ogden Plimpton Playground,X287,"Ogden Av, Plimpton Av, W 170 St",10417.7539196,408.443846211,Ogden Plimpton Playground,Playground,N
381,X,N-CONFSTA-PARK,Goble Playground,X114,Goble Pl bet. Inwood Av and Macombs Rd,20093.1057483,592.56959593,Goble Playground,Playground,N
382,X,N-CONFSTA-PARK,Mount Eden Malls,X081,Mount Eden Pkwy bet. Weeks Av and Walton Av,70401.4266979,2755.80577174,Mount Eden Malls,Mall,N
383,M,Y-CONFSTA-PARK,Downing Street Playground,M027,"Downing St to Carmine St, Av Of Americas",10135.2004751,561.46911538,Downing Street Playground,Playground,N
384,X,Y-CONFSTA-ZONE,Cedar Playground,X111,W 179 St bet. Cedar Av and Sedgwick Av,78439.0867609,1323.24823131,Cedar Playground,Neighborhood Park,N
385,X,N-CONFSTA-PARK,Beanstalk Playground,X283,Billingsley Ter bet. Phelan Pl and Sedwick Av,14447.9933967,542.248040711,Beanstalk Playground,Playground,N
386,Q,N-CONFSTA-PARK,Strip,Q360A,53 Ave.bet. 43 St. and 44 St.,473.818355598,780.342546433,Park,Strip,N
387,X,N-CONFSTA-PARK,Jerome Playground South,X148C7,S/s Cross Bronx Exwy bet. Townsend Av and Jerome Av,14624.2843914,691.520797743,Jerome Playground South,Recreation Field/Courts,N
388,X,N-CONFSTA-PARK,Mount Hope Playground,X257,E. 177 St. at Walton Ave.,30469.6309697,774.981727388,Mount Hope Playground,Playground,N
389,X,Y-CONFSTA-PLGD,Galileo Playground,X265,Macombs Rd bet. W 176 St and W 175 St,32849.4732691,781.225372918,Galileo Playground,Playground,N
390,X,N-CONFSTA-PARK,University Malls,X082,University Av bet. W 174 St and W Tremont Av,32387.4191072,2726.1331782,University Malls,Mall,N
391,X,Y-CONFSTA-PARK,Half-Nelson Playground,X295,Nelson Av bet. Featherbed La and W 174 St,28134.3073858,697.682283166,Half-Nelson Playground,Playground,N
392,X,N-CONFSTA-PARK,Featherbed Triangle,X077,Dr. MLK Jr. Blvd and Featherbed La.,5393.0919555,384.129868129,Featherbed Triangle,Triangle/Plaza,N
393,X,N-CONFSTA-PARK,Plimpton Playground,X148A2,Plimpton Ave. bet. W. 172 St. and  Edward L Grant Hwy.,40376.6542836,1045.21511901,Plimpton Playground,Playground,N
394,X,N-CONFSTA-PARK,Park,X148B2,W. Mount Eden Ave. at Macombs Rd.,1699.37575099,271.042646346,Park,Triangle/Plaza,N
395,X,N-CONFSTA-PARK,Inwood Park,X148C3,W Mount Eden Av bet. Inwood and Jerome Av,15441.5819188,738.904923003,Inwood Park,Triangle/Plaza,N
396,X,N-CONFSTA-PARK,Cleopatra Playground,X258,Anthony Av bet. Prospect Pl and Ittner Pl,27206.8851685,919.195889638,Cleopatra Playground,Playground,N
397,X,Y-CONFSTA-PLGD,Richman (Echo) Park,X017,Valentine Av bet. E Tremont Av and E Burnside Ave,191999.791405,2146.97154598,Richman (Echo) Park,Neighborhood Park,N
398,X,N-CONFSTA-PARK,Aqueduct Walk,X001,Aqueduct Ave. W. bet. W. Fordham Rd. and W. Kingsbridge Rd.,91450.2393433,4366.06097754,Aqueduct Walk,Community Park,N
399,X,N-CONFSTA-PARK,Ambrosini Field,X253,City Island Ave bet. Centre St. and Winter St.,263831.264214,2635.61017489,Ambrosini Field,Recreation Field/Courts,Y
400,Q,N-CONFSTA-PARK,Flight 587 Memorial Park,Q494,"Beach 116 St.,  Ocean Promenade",6547.11643973,403.979313684,Flight 587 Memorial Park,Triangle/Plaza,Y
401,M,Y-CONFSTA-PARK,De Witt Clinton Park,M022,"W. 52 St. To W. 54 St., 11 Ave. To 12 Ave.",252293.847371,2015.77998925,De Witt Clinton Park,Playground,N
402,M,N-CONFSTA-PARK,Dorrance Brooks Square,M024,"W 136 St To W 137 St, St Nicholas Av, Edgecom Av",1736.74163132,307.622190713,Dorrance Brooks Square,Triangle/Plaza,N
403,X,N-CONFSTA-PARK,Walton Slope,X148D,"Walton Av, E 174 St, Below Grand Concourse",23379.6656665,695.431890846,Walton Slope,Parkway,N
404,X,N-CONFSTA-PARK,O'Brien Oval,X037,E. Tremont Ave. at Valentine Ave. bet. C,281.243674223,59.5268725964,O'Brien Oval,Triangle/Plaza,N
405,X,N-CONFSTA-PARK,Park,X148A4,Cross Bronx Exwy bet. Dr MLK Jr Blvd and Plimton Av,6654.32139762,537.529914916,Park,Parkway,N
406,X,N-CONFSTA-PARK,Bridge Playground,X148A3,"Boscobel Pl, bet. Dr MLK Jr Blvd and Undercliff Av",25370.8635654,718.195704369,Bridge Playground,Playground,N
407,X,N-CONFSTA-PARK,Strip,X148A,"Cross BX Exwy, Plimpton, Nelson Avs",739.440110186,322.988277101,Park,Strip,N
408,X,N-CONFSTA-PARK,Strip,X148C,Cross BX Exwy bet. Featherbed La and Inwood Av,1252.68969545,521.064136283,Park,Strip,N
409,X,N-CONFSTA-PARK,Park,X148E1,Cross Bronx Exwy Service Rd N bet. Monroe Av and Topping Av,1578.2754374,225.49640361,Park,Undeveloped,N
410,X,N-CONFSTA-PARK,Townsend Garden,X331,E. 175th St. at Walton Ave.,7186.319871,344.246271032,Townsend Garden,Garden,N
411,X,N-CONFSTA-PARK,Park,X148C1,Fetherbed La bet. Davidson Av and Jerome Av,8589.68228984,407.561762738,Park,Parkway,N
412,X,N-CONFSTA-PARK,Townsend Walk,X148C4,Cross Bronx Exwy bet. Townsend Av and Jerome Av,1604.67489375,417.080081236,Townsend Walk,Strip,N
413,X,N-CONFSTA-PARK,Walton Walk,X148C6,Cross Bronx Exwy bet. Townsend Av and Walton Av,1604.87771946,416.242464017,Walton Walk,Strip,N
414,X,N-CONFSTA-PARK,Peace Park,X148E,Cross Bronx Exwy Service Rd N bet. Topping Av and Clay Av,6024.09855743,483.838220481,Peace Park,Playground,N
415,X,N-CONFSTA-PARK,Morris Mesa,X148D1,N/s Cross Bronx Exwy bet. Morris Av and Grand Concourse,11337.2570052,686.006731904,Morris Mesa,Playground,N
416,X,N-CONFSTA-PARK,Strip,X148B,Cross BX Exwy bet. Jesup Av and Macombs Rd,1173.57755874,526.251901491,Park,Strip,N
417,X,N-CONFSTA-PARK,Bergen Triangle,X006,"E. 181 St., Anthony Ave., Grand Concourse",7480.86240119,503.789171517,Bergen Triangle,Triangle/Plaza,N
418,X,N-CONFSTA-PARK,Jardin De Las Rosas,X322,Buchanan Pl. bet. Jerome Ave. and Davidso,2334.00914342,248.379644738,Jardin De Las Rosas,Garden,N
419,X,N-CONFSTA-PARK,Morris Garden,X292,E. 181 St. bet. Morris Ave. and Creston,20063.4568272,787.300119744,Morris Garden,Playground,N
420,X,N-CONFSTA-PARK,Walton Park,X291,E. 181 St. bet. Walton Ave. and Jerome A,15188.3639123,502.605195005,Walton Park,Playground,N
421,X,N-CONFSTA-PARK,Grand Playground,X244,W. 181 St. bet. Grand Ave. and Davidson,16812.3249831,549.54960604,Grand Playground,Playground,N
422,X,N-CONFSTA-PARK,Davidson Playground,X300,W. 180 St. bet. Davidson Ave. and Grand,9361.93047464,387.480283204,Davidson Playground,Playground,N
423,X,N-CONFSTA-PARK,Mount Hope Garden,X274,Creston Ave. bet. E. Burnside Ave. and E,13397.3658029,464.124638209,Mount Hope Garden,Garden,N
424,X,N-CONFSTA-PARK,Strip,X148B1,S/s Cross Bronx Exwy bet. Jesup Av and Macombs Rd,1209.94288378,500.662964296,Park,Strip,N
425,X,Y-CONFSTA-PARK,Slattery Playground,X085,E. 183 St. bet. Valentine Ave. and Ryer,40658.2085321,808.1969526,Slattery Playground,Playground,N
426,M,N-CONFSTA-PARK,Ahearn Park,M002,"Grand St, E Broadway and Willet St",3910.78559216,323.90063674,Ahearn Park,Triangle/Plaza,N
427,X,N-CONFSTA-PARK,Park,X110C,Henry Hudson Pkwy E bet. W 230th St and W 2,29713.458181,962.035445085,Park,Parkway,N
428,X,N-CONFSTA-PARK,Phyliss Post Goodman Park,X110B,Kappock St at the Henry Hudson Pkwy,18303.9052219,536.47934907,Phyliss Post Goodman Park,Parkway,N
429,B,N-CONFSTA-PARK,Freedom Triangle,B037,"Bushwick Ave., Myrtle Ave., Willoughby Ave.",195.447957666,73.4158689165,Freedom Triangle,Triangle/Plaza,N
430,X,N-CONFSTA-PARK,Park,X091,Palisade Av at Independence Av,9158.37464943,579.634142534,Park,Triangle/Plaza,N
431,X,N-CONFSTA-PARK,Muller Triangle,X035,"E. Fordham Rd., Creston Ave., E. 190 St.",1535.65801689,161.313205867,Muller Triangle,Triangle/Plaza,N
432,X,N-CONFSTA-PARK,Davidson Ave. Community Gardeners Group,X343,Davidson Ave. at W. 190 St.,4847.24130428,297.456548643,Davidson Ave. Community Gardeners Group,Garden,N
433,X,N-CONFSTA-PARK,Bryan Park,X005,E. Kingsbridge Rd. at E. Fordham Rd.,6066.30276018,346.192232864,Bryan Park,Triangle/Plaza,N
434,X,N-CONFSTA-PARK,Fordham Bedford Lot Busters,X359,Bainbridge Ave. at E. 193 St.,6025.69090025,496.26037762,Fordham Bedford Lot Busters,Garden,N
435,X,Y-CONFSTA-PARK,Rose Hill Park,X042,Webster Ave. bet. E. Fordham Rd. and E.,38332.2399339,1243.25324854,Rose Hill Park,Triangle/Plaza,N
436,X,Y-CONFSTA-PARK,Devoe Park,X013,W. Fordham Rd. bet. Sedgwick Ave. and Un,237708.861487,2944.91242398,Devoe Park,Neighborhood Park,N
437,X,N-CONFSTA-PARK,Park,X150M,Bailey Ave. at Sedgwick Ave.,4996.55825759,302.981039858,Park,Triangle/Plaza,N
438,X,N-CONFSTA-PARK,Fordham Landing Playground,X150E,"Landing Rd., Major Deegan Exwy., Bailey",195717.189504,4946.63246858,Fordham Landing Playground,Playground,N
439,X,N-CONFSTA-PARK,Gasoline Alley,X150D,"Major Deegan Exwy, Cedar Ave., W. Fordha",3999.49718033,1960.72774794,Gasoline Alley,Strip,N
440,Q,Y-CONFSTA-PARK,Margaret I. Carman Green (Weeping Beech),Q022,37 Ave. bet. Bowne St. and Parsons Blvd.,111799.760994,1744.66638867,Margaret I. Carman Green - Weeping Beech,Playground,N
441,X,Y-CONFSTA-PARK,Harris Park,X136,Paul Ave. - Goulden Ave. bet. Bedford Par,637345.36545,3234.31613526,Harris Park,Neighborhood Park,N
442,X,N-CONFSTA-PARK,Risse Street Park,X335,"Jerome Ave., Mosholu Pkwy, Grand Concour",36543.1678019,912.587281103,Risse Street Park,Neighborhood Park,N
443,X,N-CONFSTA-PARK,Valentine Varian House,X215,Bainbridge Ave. bet. Van Cortlandt Ave.,20153.2232753,707.185565536,Valentine Varian House,Historic House Park,N
444,X,N-CONFSTA-PARK,Williamsbridge Oval,X104,"Van Cortlandt Ave. East, Resevoir Oval E",822557.276981,3324.71891626,Williamsbridge Oval,Neighborhood Park,N
445,X,N-CONFSTA-PARK,Cooney Grauer Field,X150I,Bailey Ave. bet. W. 233 St. and W. 234 S,56443.8018107,969.428787781,Cooney Grauer Field,Recreation Field/Courts,N
446,X,N-CONFSTA-PARK,Poe Park,X040,Grand Concourse bet. E. 192 St. and E. K,99358.0244224,1533.97417734,Poe Park,Playground,N
447,X,Y-CONFSTA-PARK,St. James Park,X044,"Jerome Ave., E. 193 St., Creston Ave., E",506776.055956,2956.33320266,St. James Park,Neighborhood Park,N
448,M,Y-CONFSTA-PARK,Carmansville Playground,M018,"Amsterdam Av, W 151 St To W 152 St",26661.4627612,676.279171256,Carmansville Playground,Playground,N
449,M,N-CONFSTA-PARK,Dante Park,M020,"Broadway, Columbus Av, W 63 St",7390.38061226,436.037362937,Dante Park,Triangle/Plaza,N
450,M,Y-CONFSTA-PARK,Corlears Hook Park,M017,"Jackson St, Cherry St, FDR Drive",195587.097095,1957.37697793,Corlears Hook Park,Neighborhood Park,N
451,X,Y-CONFSTA-PARK,Kingsbridge Heights Community Center,X250,Kingsbridge Ter bet. Perot St and Summilt P,14297.6917361,485.43428785,Kingsbridge Heights Community Center,Buildings/Institutions,N
452,X,N-CONFSTA-PARK,Siren Slope,X150G,"W 230 St, Bailey Av, Major Deegan Exwy",13249.5675649,725.591332268,Siren Slope,Parkway,N
453,X,Y-CONFSTA-PARK,Bailey Playground,X150J,Bailey Av bet. W 234 St and W 237 St,141342.493027,3154.01586089,Bailey Playground,Playground,N
454,X,N-CONFSTA-PARK,Jerome Park,X137,Goulden Av bet. W 205 St and Sedgwick Av,184876.159747,5274.2041611,Jerome Park,Neighborhood Park,N
455,X,N-CONFSTA-PARK,Strip,X150K,Major Deegan Exwy bet. W 238 St and Van Cor,4279.72639859,1585.79860671,Park,Strip,N
456,X,N-CONFSTA-PARK,Hilton White Playground,X112,Cauldwell Ave bet. E. 161 St  and E. 163 St.,20790.0863167,606.00277759,Hilton White Playground,Jointly Operated Playground,N
457,X,N-CONFSTA-PARK,Dunbar Playground,X185,"E 161 St, Trinity Av, E 163 St, Cauldwel",57170.0459349,958.479277346,Dunbar Playground,Jointly Operated Playground,N
458,X,N-CONFSTA-PARK,El Batey Borincano Garden,X313,Eagle Av bet. E 158 St and E 159 St,7919.10946115,360.547562514,El Batey Borincano Garden,Garden,N
459,X,N-CONFSTA-PARK,Van Cortlandt's Tail,X150L,Broadway bet. W 239 St and Van Cortlandt Pa,14824.9824174,553.431070452,Van Cortlandt's Tail,Triangle/Plaza,N
460,X,Y-CONFSTA-PARK,Marble Hill Playground,X202,Marble Hill Av bet. W 230 St and W 228 St,79655.6834619,1181.12500422,Marble Hill Playground,Playground,N
461,M,N-CONFSTA-PARK,A Philip Randolph Square,M021,"7 Av, St Nicholas Av, W 117 St",3827.28600582,311.036062285,A Philip Randolph Square,Triangle/Plaza,N
462,X,N-CONFSTA-PARK,Fort Independence Playground,X020,Jerome Park Resevoir and Sedgwick Av bet. W,118819.110853,2619.53409159,Fort Independence Playground,Playground,N
463,X,N-CONFSTA-PARK,Washington's Walk,X038,Resevoir Av bet. Sedgwick Av and Goulden Av,208688.352004,4878.54293266,Washington's Walk,Neighborhood Park,N
464,X,N-CONFSTA-PARK,Hackett Park,X110A,"W 254 St, Riverdale Av, Henry Hudson Pkw",36285.4242286,702.245510758,Hackett Park,Triangle/Plaza,N
465,X,N-CONFSTA-PARK,Rita Ley Triangle,X096,"E 238 St, Oneida Av, Van Cortlandt Park E",820.600288796,162.088336597,Rita Ley Triangle,Triangle/Plaza,N
466,M,N-CONFSTA-PARK,Broadway Malls,M094,"Broadway, Columbus Circle To W 110 St",235377.517891,24481.1497712,Broadway Malls,Mall,N
467,M,Y-CONFSTA-PARK,Bennett Park,M009,"Ft Washington Av, W 183 St, Pinehurst Av",79363.1783475,1194.30377994,Bennett Park,Neighborhood Park,N
468,M,N-CONFSTA-PARK,Chelsea Park,M011,"9 Av To 10 Av, W 27 St To W 28 St",152970.395563,2386.42565187,Chelsea Park,Playground,N
469,M,N-CONFSTA-PARK,Christopher Park,M012,"Christopher St, Grove St, W 4 St",8120.63794654,534.986434382,Christopher Park,Triangle/Plaza,N
470,M,N-CONFSTA-PARK,City Hall Park,M013,"Broadway, Park Row and Chambers St",410763.084732,2679.76647728,City Hall Park,Buildings/Institutions,N
471,M,N-CONFSTA-PARK,Jackie Robinson Park,M014,"Bradhurst Av and Edgecombe Av, W 145 St To",565819.097358,5694.33931336,Jackie Robinson Park,Neighborhood Park,N
472,M,N-CONFSTA-PARK,Columbus Park,M015,"Baxter St, Mulberry St, Bayard St and Park",130554.588127,1748.45307496,Columbus Park,Playground,N
473,M,N-CONFSTA-PARK,Cooper Triangle,M016,"3 Av To 4 Av, E 6 St To E 7 St",7198.03304602,456.838919206,Cooper Triangle,Triangle/Plaza,N
474,X,N-CONFSTA-PARK,Crescent Park,X150H,"Albany Crescent, W 233 St, Major Deegan",14610.4292674,615.329631531,Crescent Park,Triangle/Plaza,N
475,X,N-CONFSTA-PARK,Wave Hill,X209,"W 248 St, Independence Av , W 252 St , P",913919.274919,4626.85194162,Wave Hill,Historic House Park,N
476,X,N-CONFSTA-PARK,Riverdale Playground,X186,Hudson Manor Ter bet. W 237 St and W 236 St,121101.809488,1649.22613281,Riverdale Playground,Jointly Operated Playground,N
477,X,Y-CONFSTA-PARK,Henry Hudson Park,X080,"Palisade Av, Kappock St,  Independence A",379630.59704,3728.04098002,Henry Hudson Park,Neighborhood Park,N
478,X,N-CONFSTA-PARK,Spuyten Duyvil Shorefront Park,X090,"Palisade Av, Johnson Av, Edsall Ave",291794.324463,5165.06003416,Spuyten Duyvil Shorefront Park,Nature Area,N
479,X,N-CONFSTA-PARK,Ewen Park,X019,"Johnson Av, W 232 St, Riverdale Av",343357.213763,2349.42819798,Ewen Park,Neighborhood Park,N
480,X,N-CONFSTA-PARK,MacLaughlin Playground,X224,Greystone Av bet. W 236 St and W 240 St,13948.8930214,606.967286615,MacLaughlin Playground,Playground,N
481,X,N-CONFSTA-PARK,Brust Park,X055,"Manhattan College Pkwy, Dash Pl, Greysto",91484.0698684,1850.73830055,Brust Park,Neighborhood Park,N
482,M,N-CONFSTA-PARK,Abingdon Square,M001,"Hudson St, 8 Av, W 12 St",8023.00020921,424.872811747,Abingdon Square,Triangle/Plaza,N
483,M,Y-CONFSTA-PARK,Annunciation Park,M003,"Convent and Amsterdam Av, W 135 St",54850.0524141,1026.9022602,Annunciation Park,Playground,N
484,R,N-CONFSTA-PARK,Forest Grove,R050,"Forest Ave., Elizabet.h Grove Rd.",17540.6273964,739.513893325,Forest Grove,Nature Area,N
485,R,N-CONFSTA-PARK,Joseph Manna Park,R127,"Forest Ave., Goethals Rd. N., Meeker Ave.",36363.7534637,1000.52847463,Joseph Manna Park,Triangle/Plaza,N
486,X,N-CONFSTA-PARK,River Garden,X245,E 180 St bet. the Bronx River and Devoe Av,20232.5918568,582.832404623,River Garden,Garden,Y
487,X,N-CONFSTA-PARK,I-Am-Park,X228,Jackson Av bet. E 147 St and E 145 St,28940.1221181,681.054390895,I-Am-Park,Jointly Operated Playground,N
488,R,Y-CONFSTA-PARK,Crescent Beach Park,R135,Tennyson Dr. bet.ween Hales Ave. and Wiman Ave.,4833448.32815,23853.4647332,Crescent Beach Park,Nature Area,Y
489,B,N-CONFSTA-PARK,Machate Circle,B070,"Park Cir., Parkside Ave., Ocean Pkwy.",38776.6014193,698.774323146,Machate Circle,Triangle/Plaza,N
490,X,N-CONFSTA-PARK,Fountain Of Youth Playground,X233,Union Av bet. E 150 St and  e 152 St,52786.6566134,1182.33047414,Fountain Of Youth Playground,Jointly Operated Playground,N
491,X,N-CONFSTA-PARK,Merriam Playground,X153,W. 168 St. bet. Dr. MLK Jr. Blvd. and Merriam Ave.,123783.403129,2848.17946755,Merriam Playground,Playground,N
492,X,N-CONFSTA-PARK,Mosaic Success Garden,X275,Ogden Av bet. W 169 St and W 170 St,12020.3980307,593.258743884,Mosaic Success Garden,Garden,N
493,X,N-CONFSTA-PARK,Daly Ave Garden,X326,E. 179 St. and Honeywell Ave.,7482.98592191,349.659855653,Daly Ave Garden,Garden,N
494,X,Y-CONFSTA-PARK,Vidalia Park,X266,E. 180 St. bet. Daly Ave. and Vyse Ave.,88856.6680393,1726.48036842,Vidalia Park,Neighborhood Park,N
495,X,N-CONFSTA-PARK,Sedgwick Playground,X158,Cross Bronx Exwy. Sr. Ramp bet. Undercliff Ave. and Dr. MLK Jr. Blvd.,44962.5798608,952.895454406,Sedgwick Playground,Playground,N
496,R,N-CONFSTA-PARK,Graniteville Swamp Park,R141,"Goethals Rd. N., Meeker Ave., Morrow St.",400216.45914,3959.76619026,Graniteville Swamp Park,Nature Area,N
497,X,N-CONFSTA-PARK,Castle Hill Park,X007,"Barrett Ave., Hart St. bet. Olmstead Ave. and Zerega Ave.",373469.125289,5716.55967245,Castle Hill Park,Neighborhood Park,Y
498,X,N-CONFSTA-PARK,El Flamboyan Garden,X233A,"Tinton Av, E 150th St and Union Av",18353.2818749,711.377380617,El Flamboyan Garden,Garden,N
499,M,N-CONFSTA-PARK,Canal Park,M379,Canal St. bet. West St. and Washington St.,29210.6866871,844.76176483,Canal Park,Neighborhood Park,N
500,M,N-CONFSTA-PARK,110th Street Block Association Garden,M382,Madison Ave. bet. E. 110 St. and E. 111 St.,2099.03188907,207.588641622,110th Street Block Association Garden,Garden,N
501,M,N-CONFSTA-PARK,Catherine Slip Malls,M178,Catherine Slip bet.ween Cherry St. and South St.,10887.4633479,702.221151367,Catherine Slip Malls,Mall,N
502,M,N-CONFSTA-PARK,Staraus Square,M224,"Canal St., Rutgers St. and E. Broadway",5256.33412859,312.887559464,Straus Square,Triangle/Plaza,N
503,M,N-CONFSTA-PARK,Schiff Mall,M080,Delancey St bet. Bowery and Essex St,23059.6029322,3644.39884251,Schiff Mall,Mall,N
504,M,N-CONFSTA-PARK,Abe Lebewohl Triangle,M188A,E. 10 St. and Stuyvesant Pl.,549.730354173,117.400589681,Abe Lebewohl Triangle,Triangle/Plaza,N
505,M,N-CONFSTA-PARK,Broadway Malls,M094A,"Broadway, W 110 StTo W 122 St",56859.3097072,5781.74973018,Broadway Malls,Mall,N
506,M,N-CONFSTA-PARK,Sherman Square,M083,Broadway and Amsterdam Ave. At W. 70 St.,2895.92724775,243.521639102,Sherman Square,Triangle/Plaza,N
507,M,N-CONFSTA-PARK,Plaza Lafayette,M061,"Riverside Dr., W. 181 St. To Haven Ave.",3693.23104272,399.892544269,Plaza Lafayette,Triangle/Plaza,N
508,R,N-CONFSTA-PARK,Amundsen Circle,R009,"Amboy Rd., Clarke Ave., and Savoy St.",39935.3834501,757.431741319,Amundsen Circle,Triangle/Plaza,N
509,Q,N-CONFSTA-PARK,South Gate Mall,Q277,Southgate Plaza bet. 140 Ave. and 139 Ave.,4647.22180803,544.008533619,South Gate Mall,Mall,N
510,Q,N-CONFSTA-PARK,Turtle Playground,Q357G,"Horace Harding Exwy. Sr. Rd. S., 138 St., 61 Rd.",20769.7235173,649.011961162,Turtle Playground,Playground,N
511,Q,N-CONFSTA-PARK,Middle Village Veterans Triangle,Q383,"Gray St., 77 St., 66 Rd.",1410.12785822,157.785850373,Middle Village Veterans Triangle,Triangle/Plaza,N
512,Q,Y-CONFSTA-PARK,London Planetree Playground,Q128,"Atlantic Ave., 95 Ave. bet. 88 St., 89 St.",78642.2445429,1193.21866947,London Planetree Playground,Neighborhood Park,N
513,Q,N-CONFSTA-PARK,MacDonald Park,Q207,Queens Blvd. bet. Yellowstone Blvd. and 70 Rd.,81561.6307094,1711.35245962,MacDonald Park,Neighborhood Park,N
514,Q,N-CONFSTA-PARK,American Triangle,Q173,"41 Av, 102 St, National Av",2567.82610108,200.915607179,American Triangle,Triangle/Plaza,N
515,Q,N-CONFSTA-PARK,sixteen Oaks Grove,Q284,"37 Ave., 14 St., 21 St.",11101.0015712,507.439968653,Sixteen Oaks Grove,Triangle/Plaza,N
516,M,N-CONFSTA-PARK,Pearl St Playground,M378,Pearl St. bet. Fulton St. and Beekman St.,6893.50892501,377.96474711,Pearl St Playground,Playground,N
517,M,N-CONFSTA-PARK,Vietnam Veterans Plaza,M046,N/S South St bet. Broad St and Old Slip,36256.5630595,939.327587169,Vietnam Veterans Plaza,Triangle/Plaza,N
518,M,N-CONFSTA-PARK,Lt. Joseph Petrosino Square,M170,"Kenmare St., Lafayette St., and Cleveland Pl.",2063.5080079,252.879359688,Petrosino Square,Triangle/Plaza,N
519,M,N-CONFSTA-PARK,McCarthy Square,M172,"7 Ave., Charles St. and Waverly Pl.",1886.54103737,188.398677453,McCarthy Square,Triangle/Plaza,N
520,M,N-CONFSTA-PARK,Father Demo Square,M191,"Ave. of Americas, Bleecker St. and Carmine St.",10784.3157142,479.4456112,Father Demo Square,Triangle/Plaza,N
521,M,N-CONFSTA-PARK,Ralph Bunche Park,M203B,"1 Ave., E. 42 St. to E. 43 St.",18427.2830624,662.81874207,Ralph Bunche Park,Triangle/Plaza,N
522,X,N-CONFSTA-PARK,Gouverneur Morris Triangle,X139,"Bruckner Blvd., Jackson Ave., E. 138 St.",1631.0095519,163.577856293,Gouverneur Morris Triangle,Triangle/Plaza,N
523,X,Y-CONFSTA-PARK,Abigail Playground,X216,E 156 St bet. Tinton Av and Union Av,32959.4607642,933.54482075,Abigail Playground,Playground,N
524,X,N-CONFSTA-PARK,Alexander's Alley,X119,E. 141 St. bet. Willis Ave. and Alexander Ave.,4621.66868045,295.355969581,Alexander's Alley,Neighborhood Park,N
525,X,Y-CONFSTA-PARK,Flynn Playground,X146,Brook Av to 3 Av bet. E 157 St and E 158 St,36078.546787,764.327983158,Flynn Playground,Playground,N
526,X,N-CONFSTA-PARK,Tiffany Playground,X190,Fox St to Tiffany St bet. E 167 St and E 165 St,49834.2520078,1078.16729067,Tiffany Playground,Jointly Operated Playground,N
