Zipcode,PercentParksCoverage
00083,0.953891782391
10001,0.0156947697472
10002,0.133809480528
10003,0.0375505780086
10004,0.246688651262
10005,0.00245907482846
10007,0.0949556680862
10009,0.0578960094682
10010,0.0409605446332
10011,0.0333566119492
10012,0.0163413394714
10013,0.0229927407702
10014,0.0181505277109
10016,0.0173815514745
10017,0.0245550153657
10018,0.0391342204929
10019,0.0163112253475
10021,0.00869209939661
10022,0.017701933322
10023,0.0751361047779
10024,0.389244239014
10025,0.0368806448324
10026,0.137649784174
10027,0.0828119219016
10028,0.0635731105985
10029,0.0602816094399
10030,0.0197095275955
10031,0.0891310926047
10032,0.322933215171
10033,0.209122060912
10034,0.362224209332
10035,0.966065086606
10036,0.00811285758158
10037,0.115841844066
10038,0.0269648996004
10039,0.144362224661
10040,0.405213049074
10041,0.0140265480117
10065,0.0237902996698
10069,0.22313885158
10075,0.0380723414412
10128,0.0389780425475
10280,0.222097714134
10281,0.140185074527
10282,0.291770139581
10301,0.207356086676
10302,0.0212034528938
10303,0.0660948654972
10304,0.0537757221943
10305,0.147249578461
10306,0.0996132148627
10307,0.134671318995
10308,0.04812943686
10309,0.155302710913
10310,0.123606930549
10312,0.161332318438
10314,0.254283726223
10451,0.111710375186
10452,0.0933175399734
10453,0.0317144637171
10454,0.076957711526
10455,0.0173348399268
10456,0.0556204791929
10457,0.212179985078
10458,0.237026107386
10459,0.0576079648028
10460,0.214880829796
10461,0.059665357764
10462,0.238430986822
10463,0.0721813919025
10464,0.960030272648
10465,0.266505839284
10466,0.0382809583184
10467,0.146330522626
10468,0.072518012656
10469,0.0494384471122
10470,0.295988635601
10471,0.499236162819
10472,0.0595886639123
10473,0.18229842966
10474,0.0160000039032
10475,0.0958948962268
11004,0.0113881182105
11005,0.0255548784854
11096,0.744614864195
11101,0.0158941321166
11102,0.0422614969245
11103,0.00810326138957
11104,0.0156352486971
11105,0.0555932450882
11106,0.0370581891539
11201,0.116807961803
11203,0.0159615394492
11204,0.0168934089197
11205,0.02816423163
11206,0.0300036564642
11207,0.038905413995
11208,0.0743685854493
11209,0.0935252264032
11210,0.00898292006782
11211,0.0335492162015
11212,0.0393744999012
11213,0.0757230624744
11214,0.122876100298
11215,0.353139057955
11216,0.0411850260917
11217,0.0197439387366
11218,0.0220961052067
11219,0.00559347295429
11220,0.0618864369909
11221,0.0153702673094
11222,0.0415025905703
11223,0.0215318892873
11224,0.248365009686
11225,0.0184576728715
11226,0.0413426813055
11228,0.227166602849
11229,0.0624865393725
11230,0.0221398288963
11231,0.0765294729524
11232,0.022992424726
11233,0.0368621849351
11234,0.184376466341
11235,0.0939393704836
11236,0.111027238977
11237,0.0211270366069
11238,0.134531976027
11239,0.133585962827
11249,0.0560304404278
11354,0.0398762718353
11355,0.118252845032
11356,0.057909487469
11357,0.0231162359106
11358,0.00453806277479
11359,0.0688523939601
11360,0.208878697751
11361,0.0825282541117
11362,0.240559389307
11363,0.131845837483
11364,0.304242851344
11365,0.18442939909
11366,0.0169920880214
11367,0.264802940191
11368,0.356824090683
11369,0.0302639315258
11370,0.0388270958319
11371,0.00335651567371
11372,0.0117430845586
11373,0.0180121246584
11374,0.0134353752378
11375,0.0608785202493
11377,0.0129095758878
11378,0.00964908247431
11379,0.04216065515
11385,0.22887801836
11411,0.048124075646
11412,0.00347218467952
11413,0.120607982859
11414,0.0719031738589
11415,0.0591219980215
11416,0.0109797233274
11417,0.0326922139856
11418,0.00052134430144
11419,0.0104663699843
11420,0.0149949085668
11421,0.00524341563164
11422,0.169609949533
11423,0.132141051132
11426,0.122789451815
11427,0.172046994665
11428,0.00011530930136
11429,0.0267832623571
11430,0.00507755186997
11432,0.0446758127749
11433,0.0281456170591
11434,0.102017985462
11435,0.0234925133688
11436,0.0217665655099
11451,0.313051857108
11691,0.208578630452
11692,0.214463855321
11693,0.108311071379
11694,0.0998069337939
