0003562,[-1.]
0003563,[ 71250.]
0003564,[ 75833.]
0003565,[ 32328.]
0003566,[ 29491.]
0003567,[ 22706.]
0003568,[ 13556.]
0003569,[-1.]
0003570,[ 14776.]
0003571,[ 26272.]
0003572,[ 20563.]
0003573,[ 49583.]
0003574,[ 34250.]
0003575,[ 21282.]
0003576,[ 21359.]
0003577,[ 26116.]
0003578,[ 37125.]
0003579,[ 23528.]
0003580,[ 46418.]
0003581,[ 18590.]
0003582,[ 26378.]
0003583,[ 22674.]
0003584,[ 22478.]
0003585,[ 23654.]
0003586,[ 24928.]
0003587,[ 30504.]
0003588,[ 30898.]
0003589,[ 19558.]
0003590,[ 27500.]
0003591,[ 16582.]
0003592,[ 30226.]
0003593,[ 25035.]
0003594,[ 36250.]
0003595,[ 40743.]
0003596,[ 42839.]
0003597,[ 26758.]
0003598,[ 33051.]
0003599,[ 41875.]
0003600,[ 20938.]
0003601,[ 18846.]
0003602,[ 27969.]
0003603,[ 25010.]
0003604,[ 34464.]
0003605,[ 45847.]
0003606,[ 40928.]
0003607,[ 23197.]
0003608,[ 53347.]
0003609,[ 25813.]
0003610,[ 48955.]
0003611,[ 30640.]
0003612,[ 40815.]
0003613,[ 15826.]
0003614,[ 16711.]
0003615,[ 53333.]
0003616,[ 20707.]
0003617,[ 19118.]
0003618,[ 26142.]
0003619,[ 17515.]
0003620,[ 26197.]
0003621,[ 39036.]
0003622,[ 30723.]
0003623,[ 45227.]
0003624,[ 50302.]
0003625,[ 44125.]
0003626,[ 18505.]
0003627,[ 14600.]
0003628,[ 74325.]
0003629,[ 23895.]
0003630,[ 35165.]
0003631,[ 12688.]
0003632,[ 16500.]
0003633,[ 21790.]
0003634,[ 14870.]
0003635,[ 13245.]
0003636,[ 81250.]
0003637,[ 25518.]
0003638,[ 87000.]
0003639,[ 21551.]
0003640,[ 19315.]
0003641,[ 69779.]
0003642,[ 29167.]
0003643,[ 11635.]
0003644,[ 21944.]
0003645,[ 20600.]
0003646,[ 15538.]
0003647,[ 16505.]
0003648,[ 24322.]
0003649,[ 28577.]
0003650,[ 52632.]
0003651,[ 20805.]
0003652,[ 30064.]
0003653,[ 28116.]
0003654,[ 54508.]
0003655,[ 16724.]
0003656,[ 83021.]
0003657,[ 19213.]
0003658,[ 67500.]
0003659,[-1.]
0003660,[ 81250.]
0003661,[ 26136.]
0003662,[ 60391.]
0003663,[ 38625.]
0003664,[ 31324.]
0003665,[-1.]
0003666,[ 22452.]
0003667,[ 16196.]
0003668,[ 23848.]
0003669,[ 20906.]
0003670,[ 22513.]
0003671,[ 25964.]
0003672,[ 33109.]
0003673,[ 39851.]
0003674,[ 31054.]
0003675,[ 42708.]
0003676,[ 72500.]
0003677,[ 22036.]
0003678,[ 24000.]
0003679,[ 18820.]
0003680,[ 50151.]
0003681,[ 33969.]
0003682,[ 30106.]
0003683,[ 24226.]
0003684,[ 33467.]
0003685,[ 31582.]
0003686,[ 43106.]
0003687,[ 43182.]
0003688,[ 24615.]
0003689,[ 24476.]
0003690,[ 45869.]
0003691,[ 28372.]
0003692,[ 49066.]
0003693,[ 49804.]
0003694,[ 26080.]
0003695,[ 52677.]
0003696,[ 26000.]
0003697,[ 23855.]
0003698,[ 34485.]
0003699,[ 19397.]
0003700,[ 24524.]
0003701,[ 47970.]
0003702,[ 17207.]
0003703,[ 31510.]
0003704,[ 31250.]
0003705,[ 13793.]
0003706,[ 30875.]
0003707,[ 21302.]
0003708,[ 37500.]
0003709,[ 29522.]
0003710,[ 39695.]
0003711,[ 35031.]
0003712,[ 47753.]
0003713,[ 32127.]
0003714,[ 36651.]
0003715,[ 48250.]
0003716,[ 41100.]
0003717,[ 44789.]
0003718,[ 22441.]
0003719,[ 21238.]
0003720,[ 33088.]
0003721,[ 26938.]
0003722,[ 46680.]
0003723,[ 27923.]
0003724,[ 19753.]
0003725,[ 33816.]
0003726,[ 22625.]
0003727,[ 38203.]
0003728,[ 18565.]
0003729,[ 35304.]
0003730,[ 23041.]
0003731,[ 47036.]
0003732,[ 22404.]
0003733,[ 35676.]
0003734,[ 24208.]
0003735,[ 23944.]
0003736,[ 77614.]
0003737,[ 27144.]
0003738,[ 26698.]
0003739,[ 62269.]
0003740,[ 51250.]
0003741,[ 63411.]
0003742,[-1.]
0003743,[ 47639.]
0003744,[ 32440.]
0003745,[ 52902.]
0003746,[ 28586.]
0003747,[ 46758.]
0003748,[ 21889.]
0003749,[ 46875.]
0003750,[ 31728.]
0003751,[ 64293.]
0003752,[ 26576.]
0003753,[ 58173.]
0003754,[ 30424.]
0003755,[ 52743.]
0003756,[ 44752.]
0003757,[ 26935.]
0003758,[ 38765.]
0003759,[ 27851.]
0003760,[ 44152.]
0003761,[ 52992.]
0003762,[ 78750.]
0003763,[ 86875.]
0003764,[ 28198.]
0003765,[ 45585.]
0003766,[ 56789.]
0003767,[ 42353.]
0003768,[ 49861.]
0003769,[ 46080.]
0003770,[ 36532.]
0003771,[ 48375.]
0003772,[ 55667.]
0003773,[ 53327.]
0003774,[ 105682.]
0003775,[ 92479.]
0003776,[ 82177.]
0003777,[ 39479.]
0003778,[ 90250.]
0003779,[ 50543.]
0003780,[ 78036.]
0003781,[ 47276.]
0003782,[ 89485.]
0003783,[ 79426.]
0003784,[ 93250.]
0003785,[ 66250.]
0003786,[ 85301.]
0003787,[ 73370.]
0003788,[ 53125.]
0003789,[-1.]
0003790,[ 73885.]
0003791,[ 30608.]
0003792,[ 73592.]
0003793,[ 34702.]
0003794,[ 44938.]
0003795,[ 37375.]
0003796,[ 28684.]
0003797,[ 44154.]
0003798,[ 94500.]
0003799,[ 27738.]
0003800,[ 91063.]
0003801,[ 37921.]
0003802,[ 40583.]
0003803,[ 48355.]
0003804,[ 67953.]
0003805,[ 64625.]
0003806,[ 68860.]
0003807,[ 43478.]
0003808,[ 71436.]
0003809,[ 66445.]
0003810,[ 57500.]
0003811,[ 62991.]
0003812,[ 25979.]
0003813,[ 67768.]
0003814,[ 14133.]
0003815,[ 20171.]
0003816,[ 45924.]
0003817,[ 22344.]
