ParkID,SiteName,Date,OverallCondition,OverallCleanliness,Glass,Graffiti,Litter,Weeds,Ice,Lawns,Trees,WaterBodies,HorticulturalAreas,AthleticFields,Trails,Benches,Fences,PavedSurfaces,PlayEquipment,SafetySurface,Sidewalks
B027,Veterans Triangle,4/3/2014,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,,Acceptable,Acceptable,,Unacceptable,Acceptable,Acceptable,Acceptable,,Unacceptable
B028-01,Bay 8 Playground,10/18/2013,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,,Acceptable,,,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable
B028-03,Dyker Plgd,12/12/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B028-G01,Dyker Beach Golf Course,8/16/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable,,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B028-ZN01,Dyker Beach Park - Zone 1,11/15/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,
B028-ZN02,Dyker Beach Park - Zone 2,2/11/2014,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,Not Rated,,Acceptable,Acceptable,Not Rated,,,Acceptable
B029-ZN01,Eastern Parkway Mall Zone 1,8/29/2013,Unacceptable,Unacceptable,Acceptable,Unacceptable,Unacceptable,Unacceptable,,Acceptable,Acceptable,,,Acceptable,,Acceptable,Acceptable,Acceptable,,,Unacceptable
B029-ZN02,Eastern Parkway Mall Zone 2,4/4/2014,Unacceptable,Unacceptable,Acceptable,Unacceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B029-ZN03,Eastern Parkway Mall Zone 3,12/10/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable
B029-ZN04,Eastern Parkway Mall Zone 4,3/4/2014,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B029-ZN05,Eastern Parkway Mall Zone 5,11/26/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B029-ZN06,Eastern Parkway Mall Zone 6,2/7/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,Not Rated,Acceptable,Not Rated,Not Rated,Not Rated,Acceptable
B031,Fidelity Triangle,8/9/2013,Unacceptable,Unacceptable,Acceptable,Unacceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Unacceptable
B032-01,Fort Greene Plgd,4/14/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B032-02,Fort Greene Park,10/10/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B032-ZN01,Fort Greene Park Zone 1,4/28/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
B032-ZN02,Fort Greene Park Zone 2,11/25/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
B032-ZN03,Fort Greene Park Zone 3,3/7/2014,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B033,Fort Hamilton Triangle,9/13/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,,,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B035,John Paul Jones Park,12/23/2013,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,
B036,Fort Stirling Park,8/19/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,
B037,Freedom Triangle,3/21/2014,Unacceptable,Unacceptable,Acceptable,Unacceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B038,Fulton Park,12/30/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
B040-02,Greenstreet,9/23/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable,,Acceptable,Unacceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B040-03,Greenstreet,2/18/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,Not Rated,,,Not Rated,Acceptable,Not Rated,Not Rated,,Acceptable
B041,Grant Gore,4/25/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,
B042,Gravesend Park,10/28/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,
B043,Greenpoint Playground,7/15/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable,
B044,Dr. Ronald McNair Park,12/26/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable,
B045,Heisser Triangle,11/6/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Unacceptable,Acceptable,Acceptable,,,Acceptable,Acceptable,Acceptable,,,
B049,Irving Square Park,7/22/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Unacceptable,Acceptable,Acceptable,,,Acceptable,Acceptable,Acceptable,,,
B050,Van Voorhees Park,12/5/2013,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Unacceptable,,,Acceptable,,Unacceptable,Acceptable,Unacceptable,Acceptable,,Acceptable
B051,Kelly Park,3/25/2014,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B052,Leif Ericson Park,9/24/2013,Unacceptable,Acceptable,Acceptable,Acceptable,Not Rated,Unacceptable,,Acceptable,Unacceptable,,Unacceptable,Unacceptable,,Unacceptable,Unacceptable,Unacceptable,Acceptable,,Acceptable
B052-01,Leif Ericson Park,2/11/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,Acceptable,,Acceptable,,,Acceptable
B052-02,Leif Ericson Park,8/16/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,,Acceptable,,,Acceptable
B052-03,Leif Ericson Park,11/13/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B054-01,Lincoln Terrace Park / Arthur S. Somers Plgd,3/5/2014,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B054-ZN01,Lincoln Terr Pk/Arthur S Somers Zone 1,9/4/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B054-ZN02,Lincoln Terr Pk/Arthur S Somers Zone 2,4/3/2014,Unacceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Unacceptable,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,,,Acceptable
B054-ZN03,Lincoln Terr Pk/Arthur S Somers Zone 3,10/16/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B055,Sternberg Park,7/16/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B056,Martin Luther King Jr. Playground,12/24/2013,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
