ParkID,SiteName,Date,OverallCondition,OverallCleanliness,Glass,Graffiti,Litter,Weeds,Ice,Lawns,Trees,WaterBodies,HorticulturalAreas,AthleticFields,Trails,Benches,Fences,PavedSurfaces,PlayEquipment,SafetySurface,Sidewalks
B254,Wingate Park,9/25/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable,,Acceptable,Acceptable,,Acceptable,Unacceptable,,Unacceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B255C,Park,4/14/2014,Unacceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Unacceptable,,,,,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable
B255D,Park,10/28/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable
B255E,Park,3/6/2014,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B255F,Detective Joseph Mayrose Park,11/12/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B255G,Butterfly Gardens,2/21/2014,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Not Rated,Unacceptable,,,,,Acceptable,Acceptable,Not Rated,Acceptable,Not Rated,Acceptable
B255H,Thomas J. Cuite Park,11/7/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B255I,PARK,3/24/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B255J,Seeley Park,1/3/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,,,,Not Rated,Acceptable,Not Rated,Not Rated,,Not Rated
B255K,Sitting Area,10/1/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B255L,Park,12/30/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable
B255M,Park,8/9/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B255N,Park,3/6/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
B255O,Park,9/6/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B255P,PARK,4/21/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B257,Frost Playground,10/28/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B258,Brevoort Playground,12/9/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,Acceptable,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
B259,Underwood Park,2/21/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,Acceptable,Acceptable,Not Rated,Acceptable,Not Rated,Acceptable
B260,Howard Playground,9/9/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B261,Schenck Playground,3/24/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B262,Potomac Playground,9/30/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B263,Sumner Playground,4/28/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Not Rated,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B264,Roebling Playground,10/23/2013,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Unacceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
B265,Rainbow Playground,3/17/2014,Unacceptable,Unacceptable,Unacceptable,Acceptable,Unacceptable,,Acceptable,,Acceptable,,,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B266,Star Spangled Playground,9/16/2013,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,,Acceptable,,,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B267,Parkside Playground,4/4/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Unacceptable,,,Not Rated,,Not Rated,Acceptable,Acceptable,,,Unacceptable
B268,Nautilus Playground,10/15/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,,Not Rated,,Not Rated,Acceptable,Not Rated,,,Acceptable
B269,Jesse Owens Playground,1/28/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Not Rated,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B270,Brownsville Playground,9/30/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B271,Railroad Playground,12/30/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable
B272,Marlboro Playground,9/30/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B273,Aimee Triangle,12/2/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B274,Bayview Playground,11/27/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
B276,Person Triangle,11/27/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
B277,Benson Playground,4/14/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B278,SAM LEGGIO TRIANGLE,10/10/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B279,Wilson Playground,2/28/2014,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B282,Patrick O'Rourke Park,8/23/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Not Rated,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B283,Belmont Playground,11/25/2013,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B284,Marc And Jason's Playground,3/6/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,,,,,,Acceptable,,,Acceptable
B285,Harry Maze Playground,12/26/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
B286,Bartlett Playground,12/31/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
B287,Andries Playground,1/16/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable
B288,Slope Park,7/15/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B289,Cutinella Triangle,3/25/2014,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,Acceptable
B290,Public Place,9/24/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,Acceptable
B291,Power Playground,11/25/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable,,Acceptable,,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,
B292,Pratt Playground,3/31/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,Acceptable,,,,Acceptable,Acceptable,,,Acceptable
B293,Classon Playground,1/28/2014,Unacceptable,Unacceptable,Acceptable,Acceptable,Acceptable,,Unacceptable,Not Rated,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable
B294,Jackie Robinson Park,8/12/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
B295,Oxport Playground,2/10/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Unacceptable,,,,,Not Rated,Acceptable,Not Rated,Not Rated,Not Rated,Not Rated
B296,Luna Park,8/12/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable
B297,Albemarle Playground,2/28/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,Not Rated,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B298,Stockton Playground,8/23/2013,Unacceptable,Unacceptable,Acceptable,Unacceptable,Unacceptable,Unacceptable,,Acceptable,Acceptable,,,Unacceptable,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B300,Oracle Playground,4/18/2014,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,Unacceptable,,Unacceptable,Acceptable,Unacceptable,Unacceptable,Acceptable,Acceptable
B301,Greene Playground,1/16/2014,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable
B302,Charlie's Place,9/30/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable,,Acceptable,Unacceptable,,,Acceptable,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
B304,Kennedy King Playground,11/27/2013,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Unacceptable,Unacceptable
B306,Playground 286,3/14/2014,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,,Acceptable,,Acceptable,Acceptable,,,Acceptable
B307,Tiger Playground,10/30/2013,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,Acceptable,,Acceptable,Acceptable,,,Acceptable
B308,Yak Playground,12/31/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,Acceptable,,Acceptable,Unacceptable,Acceptable,Acceptable,,Acceptable
B309,Pink Playground,3/4/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Unacceptable,,Acceptable,Not Rated,,Acceptable,Acceptable,Acceptable,Not Rated,,Acceptable
B310,Bushwick Playground,10/16/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B311,Ten Eyck Playground,4/18/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,
B312,Woodruff Playground,10/28/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,
B313,El Shabazz Playground,2/18/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,Not Rated,,,,,,,,Acceptable
B315,Surf Playground,10/23/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,Acceptable,,,,,,,,Acceptable
B316,Di Gilio Playground,2/10/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Not Rated,Acceptable,Not Rated,Not Rated,Not Rated,Not Rated
B317,Lafayette Gardens Playground,10/1/2013,Unacceptable,Unacceptable,Acceptable,Unacceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B320,Park Slope Playground,4/28/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B321,Edmonds Playground,11/25/2013,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B322,Pulaski Playground,12/23/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B323,Hattie Carthan Playground,4/17/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,,,,,Acceptable,Unacceptable,Acceptable,,,
B324,Jacob Joffe Fields,10/22/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,,,,,,,Acceptable,Acceptable,Acceptable,,,
B325,Fish Playground,4/17/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B326,Cobble Hill Park,12/11/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,Acceptable,,,Acceptable,Acceptable,Not Rated,,,Acceptable
B329,Lindower Park,4/17/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,,,Acceptable,Acceptable,Acceptable,Not Rated,Not Rated,Acceptable
B329-01,Lindower,10/22/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,Acceptable,,,Acceptable,Acceptable,Unacceptable,Unacceptable,Acceptable,Acceptable
B330,Hickman Playground,2/20/2014,Unacceptable,Unacceptable,Acceptable,Acceptable,Acceptable,,Unacceptable,Not Rated,,,,,,Acceptable,Acceptable,Not Rated,Acceptable,,Acceptable
B331,Neptune Playground,8/29/2013,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable,,,,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable
B332,Evergreen Playground,12/27/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B334,Fermi Playground,8/14/2013,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B335,Bildersee Playground,2/11/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,Not Rated,,,Acceptable,Acceptable,Not Rated,Acceptable,,Acceptable
B337,Century Playground,8/14/2013,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,,,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable
B338,Tom McDonald Triangle,3/20/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,Acceptable,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B339,Newport Playground,9/20/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,,,Acceptable,Acceptable,Unacceptable,,,Acceptable
B340,Garden Playground,1/10/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,
B342,100% Playground,3/20/2014,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,Acceptable,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B343,Osborn Playground,9/20/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable,,Acceptable,Acceptable,,Acceptable,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B345,Ethan Allen Playground,1/10/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,,,,,,Acceptable,Acceptable,Acceptable,Not Rated,Not Rated,
B346,Ericsson Playground,12/27/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,,,Acceptable,,,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable
B347,Carver Playground,3/14/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,Unacceptable,,,Acceptable
B348,Willoughby Playground,9/5/2013,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,,,,,,,,Acceptable,Acceptable,Unacceptable,,,Acceptable
B349,Bath Playground,12/11/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,,,Acceptable,,,Not Rated,Acceptable,Not Rated,,,
B350,Stroud Playground,3/20/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,Unacceptable,,,
B352,Curtis Playground,9/20/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,,,,,,Acceptable,Acceptable,Unacceptable,,,
B353,Bergen Beach Playground,3/14/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B356,North Pacific Playground,9/5/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,,,,,,Acceptable,Acceptable,Unacceptable,,,
B357,Jackie Robinson Playground,3/6/2014,Acceptable,Acceptable,Acceptable,Unacceptable,Not Rated,,Acceptable,Unacceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B358,De Hostos Playground,9/30/2013,Unacceptable,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B359,Eleanor Roosevelt Playground,2/11/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Not Rated,Acceptable,Not Rated,Acceptable
B360,Remsen Playground,9/4/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B361,Boerum Park,4/23/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,,,Acceptable
B362,Chester Playground,11/19/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,,,,Acceptable,,Acceptable,,,Unacceptable
B363,Houston Playground,10/10/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,Acceptable,,,Acceptable,,Acceptable,,,Acceptable
B364,Woods Playground,11/13/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B366,Duke Park,2/10/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,Not Rated,,,,,Not Rated,,,Not Rated
B367,Livonia Park,1/28/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
B372,Friends Field,7/31/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
B375,Chiarantano Playground,1/28/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
B376,Fidler-Wyckoff House Park,7/31/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
B377,Floyd Patterson Ballfields,12/11/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
B378,University Place,10/15/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,Acceptable,,,Acceptable,,Acceptable,Acceptable,,Acceptable
B379,Coney Island Creek Park,4/14/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,,Unacceptable,Acceptable,,,Acceptable
B380,Robert E. Venable Park,11/27/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
B381,Thomas Boyland Park,1/14/2014,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,,Acceptable,,Acceptable,,Acceptable,,,,,Acceptable,,,Acceptable
B382A,Roberto Clemente Ballfield,8/16/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,Acceptable,,,,,Acceptable,,,Acceptable
B382B,Jacob's Ladder Playground,1/16/2014,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,,Acceptable,Acceptable,Unacceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B384,Fresh Creek Nature Preserve,8/12/2013,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Unacceptable,Acceptable,,,,,Acceptable,Unacceptable,Unacceptable,Unacceptable,Acceptable,Acceptable
B386,Ten Eyck Plaza,4/22/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B387,Saratoga Ballfields,10/24/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,Unacceptable,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B388,Gateway Triangle,12/3/2013,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,Acceptable,,Acceptable,Unacceptable,Unacceptable,Acceptable,Acceptable,Acceptable
B389,Umma Park,1/9/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,Acceptable,,,,Acceptable,Acceptable,,,Acceptable
B390,Mother Cabrini Park,1/9/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,Acceptable,,,Acceptable,,Acceptable,,,Acceptable
B391,Lt. Federico Narvaez Tot Lot,11/27/2013,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Unacceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B392,Lott Park,3/3/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,Acceptable,Acceptable,Not Rated,Acceptable,Not Rated,Acceptable
B395,Green Central Knoll,9/3/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Unacceptable,Unacceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B396,Nehemiah Park,1/28/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B397,Carter G. Woodson Children's Park,8/9/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B401,Grand Ferry Park,2/28/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,Acceptable,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B402,George Walker Jr. Park,1/24/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Unacceptable,,Acceptable,,,,,Acceptable,Acceptable,Not Rated,Acceptable,Not Rated,Acceptable
B403,Harmony Park,10/15/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B404,East Flatbush Children's Park,11/13/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Unacceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B405,Epiphany Playground,2/28/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
